Step,Value
20480,492.0
40960,548.0
60416,532.0
80896,376.0
100352,440.0
120832,508.0
140288,444.0
160768,284.0
180224,532.0
200704,504.0
220160,596.0
240640,680.0
260096,420.0
280576,676.0
300032,576.0
320512,432.0
340992,800.0
360448,640.0
380928,672.0
400384,640.0
420864,692.0
440320,840.0
460800,716.0
480256,700.0
500736,532.0
520192,780.0
540672,788.0
560128,832.0
580608,624.0
600064,368.0
620544,976.0
640000,812.0
660480,1104.0
680960,764.0
700416,540.0
720896,1052.0
740352,568.0
760832,1016.0
780288,1096.0
800768,1120.0
820224,832.0
840704,936.0
860160,740.0
880640,744.0
900096,652.0
920576,956.0
940032,980.0
960512,676.0
980992,440.0
1000448,668.0
1020928,732.0
1040384,416.0
1060864,872.0
1080320,1244.0
1100800,720.0
1120256,436.0
1140736,1284.0
1160192,932.0
1180672,764.0
1200128,840.0
1220608,668.0
1240064,628.0
1260544,988.0
1280000,988.0
1300480,1260.0
1320960,1112.0
1340416,1356.0
1360896,780.0
1380352,692.0
1400832,648.0
1420288,776.0
1440768,1284.0
1460224,800.0
1480704,1016.0
1500160,980.0
1520640,768.0
1540096,524.0
1560576,876.0
1580032,748.0
1600512,892.0
1620992,592.0
1640448,1212.0
1660928,700.0
1680384,624.0
1700864,1048.0
1720320,812.0
1740800,668.0
1760256,632.0
1780736,844.0
1800192,536.0
1820672,1132.0
1840128,840.0
1860608,1332.0
1880064,660.0
1900544,504.0
1920000,1240.0
1940480,712.0
1960960,1008.0
1980416,684.0
2000896,568.0
2020352,780.0
2040832,1348.0
2060288,1240.0
2080768,1348.0
2100224,1416.0
2120704,928.0
2140160,1076.0
2160640,792.0
2180096,1100.0
2200576,1192.0
2220032,664.0
2240512,692.0
2260992,1244.0
2280448,548.0
2300928,872.0
2320384,928.0
2340864,1020.0
2360320,1128.0
2380800,1184.0
2400256,472.0
2420736,708.0
2440192,984.0
2460672,1532.0
2480128,920.0
2500608,892.0
2520064,796.0
2540544,1120.0
2560000,1500.0
2580480,844.0
2600960,1204.0
2620416,1200.0
2640896,1088.0
2660352,1244.0
2680832,664.0
2700288,1116.0
2720768,976.0
2740224,992.0
2760704,1212.0
2780160,1032.0
2800640,508.0
2820096,600.0
2840576,976.0
2860032,1392.0
2880512,1116.0
2900992,844.0
2920448,676.0
2940928,820.0
2960384,1232.0
2980864,1528.0
3000320,1232.0
3020800,844.0
3040256,960.0
3060736,1092.0
3080192,1188.0
3100672,472.0
3120128,1156.0
3140608,880.0
3160064,884.0
3180544,804.0
3200000,668.0
3220480,968.0
3240960,1060.0
3260416,704.0
3280896,1308.0
3300352,860.0
3320832,964.0
3340288,792.0
3360768,1176.0
3380224,1404.0
3400704,900.0
3420160,1180.0
3440640,996.0
3460096,720.0
3480576,728.0
3500032,620.0
3520512,1044.0
3540992,1048.0
3560448,1012.0
3580928,864.0
3600384,1004.0
3620864,1132.0
3640320,1092.0
3660800,1036.0
3680256,1088.0
3700736,1068.0
3720192,1168.0
3740672,784.0
3760128,1076.0
3780608,904.0
3800064,1264.0
3820544,1020.0
3840000,832.0
3860480,1192.0
3880960,1016.0
3900416,984.0
3920896,988.0
3940352,908.0
3960832,1032.0
3980288,904.0
4000768,980.0
4020224,864.0
4040704,960.0
4060160,748.0
4080640,608.0
4100096,1372.0
4120576,884.0
4140032,748.0
4160512,536.0
4180992,1024.0
4200448,976.0
4220928,1036.0
4240384,824.0
4260864,1144.0
4280320,732.0
4300800,1532.0
4320256,632.0
4340736,812.0
4360192,748.0
4380672,780.0
4400128,592.0
4420608,1008.0
4440064,1136.0
4460544,1020.0
4480000,956.0
4500480,848.0
4520960,1048.0
4540416,1576.0
4560896,968.0
4580352,916.0
4600832,1104.0
4620288,932.0
4640768,996.0
4660224,812.0
4680704,1008.0
4700160,1224.0
4720640,916.0
4740096,992.0
4760576,1020.0
4780032,904.0
4800512,724.0
4820992,620.0
4840448,640.0
4860928,976.0
4880384,1020.0
4900864,940.0
4920320,1144.0
4940800,708.0
4960256,552.0
4980736,772.0
5000192,852.0
