Step,Value
20480,270.0
40960,140.0
60416,100.0
80896,20.0
100352,210.0
120832,140.0
140288,140.0
160768,280.0
180224,240.0
200704,40.0
220160,220.0
240640,50.0
260096,240.0
280576,160.0
300032,160.0
320512,70.0
340992,170.0
360448,360.0
380928,140.0
400384,280.0
420864,210.0
440320,130.0
460800,230.0
480256,280.0
500736,160.0
520192,310.0
540672,160.0
560128,180.0
580608,370.0
600064,280.0
620544,280.0
640000,190.0
660480,430.0
680960,140.0
700416,410.0
720896,230.0
740352,140.0
760832,340.0
780288,540.0
800768,340.0
820224,380.0
840704,190.0
860160,310.0
880640,110.0
900096,150.0
920576,80.0
940032,230.0
960512,360.0
980992,410.0
1000448,370.0
1020928,300.0
1040384,160.0
1060864,470.0
1080320,330.0
1100800,280.0
1120256,250.0
1140736,250.0
1160192,460.0
1180672,430.0
1200128,180.0
1220608,360.0
1240064,120.0
1260544,180.0
1280000,280.0
1300480,440.0
1320960,380.0
1340416,330.0
1360896,450.0
1380352,440.0
1400832,140.0
1420288,160.0
1440768,130.0
1460224,260.0
1480704,140.0
1500160,480.0
1520640,180.0
1540096,290.0
1560576,180.0
1580032,350.0
1600512,140.0
1620992,260.0
1640448,300.0
1660928,280.0
1680384,20.0
1700864,140.0
1720320,250.0
1740800,280.0
1760256,180.0
1780736,610.0
1800192,440.0
1820672,380.0
1840128,470.0
1860608,140.0
1880064,320.0
1900544,230.0
1920000,310.0
1940480,230.0
1960960,250.0
1980416,310.0
2000896,320.0
2020352,430.0
2040832,470.0
2060288,240.0
2080768,430.0
2100224,180.0
2120704,270.0
2140160,200.0
2160640,530.0
2180096,320.0
2200576,320.0
2220032,210.0
2240512,180.0
2260992,300.0
2280448,320.0
2300928,240.0
2320384,240.0
2340864,380.0
2360320,350.0
2380800,370.0
2400256,230.0
2420736,110.0
2440192,160.0
2460672,210.0
2480128,230.0
2500608,250.0
2520064,260.0
2540544,230.0
2560000,450.0
2580480,190.0
2600960,380.0
2620416,240.0
2640896,240.0
2660352,250.0
2680832,230.0
2700288,260.0
2720768,220.0
2740224,470.0
2760704,230.0
2780160,200.0
2800640,280.0
2820096,500.0
2840576,380.0
2860032,620.0
2880512,350.0
2900992,190.0
2920448,430.0
2940928,500.0
2960384,400.0
2980864,240.0
3000320,410.0
3020800,300.0
3040256,370.0
3060736,350.0
3080192,420.0
3100672,250.0
3120128,390.0
3140608,490.0
3160064,380.0
3180544,330.0
3200000,440.0
3220480,310.0
3240960,510.0
3260416,570.0
3280896,240.0
3300352,320.0
3320832,280.0
3340288,260.0
3360768,380.0
3380224,350.0
3400704,430.0
3420160,650.0
3440640,430.0
3460096,400.0
3480576,310.0
3500032,540.0
3520512,380.0
3540992,540.0
3560448,480.0
3580928,590.0
3600384,330.0
3620864,420.0
3640320,420.0
3660800,210.0
3680256,300.0
3700736,530.0
3720192,430.0
3740672,280.0
3760128,450.0
3780608,380.0
3800064,280.0
3820544,420.0
3840000,340.0
3860480,400.0
3880960,310.0
3900416,330.0
3920896,400.0
3940352,320.0
3960832,530.0
3980288,350.0
4000768,620.0
4020224,250.0
4040704,400.0
4060160,300.0
4080640,390.0
4100096,320.0
4120576,480.0
4140032,620.0
4160512,410.0
4180992,290.0
4200448,480.0
4220928,360.0
4240384,270.0
4260864,220.0
4280320,330.0
4300800,370.0
4320256,340.0
4340736,150.0
4360192,350.0
4380672,460.0
4400128,450.0
4420608,300.0
4440064,270.0
4460544,540.0
4480000,460.0
4500480,520.0
4520960,420.0
4540416,520.0
4560896,310.0
4580352,280.0
4600832,480.0
4620288,140.0
4640768,480.0
4660224,380.0
4680704,370.0
4700160,440.0
4720640,260.0
4740096,400.0
4760576,250.0
4780032,360.0
4800512,530.0
4820992,380.0
4840448,350.0
4860928,470.0
4880384,500.0
4900864,380.0
4920320,250.0
4940800,400.0
4960256,480.0
4980736,380.0
5000192,390.0
