Step,Value
20480,-8.399999618530273
40960,-7.800000190734863
60416,-10.399999618530273
80896,-9.800000190734863
100352,-8.800000190734863
120832,-9.199999809265137
140288,-6.0
160768,-9.0
180224,-6.199999809265137
200704,-8.600000381469727
220160,-5.800000190734863
240640,-5.199999809265137
260096,-8.399999618530273
280576,-8.199999809265137
300032,-8.0
320512,-6.0
340992,-5.800000190734863
360448,-6.800000190734863
380928,-7.400000095367432
400384,-6.199999809265137
420864,-9.199999809265137
440320,-6.199999809265137
460800,-6.0
480256,-7.800000190734863
500736,-7.400000095367432
520192,-6.0
540672,-7.400000095367432
560128,-7.0
580608,-8.600000381469727
600064,-6.199999809265137
620544,-6.599999904632568
640000,-8.800000190734863
660480,-5.599999904632568
680960,-6.599999904632568
700416,-5.0
720896,-5.400000095367432
740352,-5.599999904632568
760832,-8.199999809265137
780288,-4.199999809265137
800768,-4.599999904632568
820224,-6.0
840704,-5.800000190734863
860160,-6.0
880640,-8.399999618530273
900096,-6.800000190734863
920576,-6.599999904632568
940032,-6.599999904632568
960512,-5.199999809265137
980992,-4.800000190734863
1000448,-5.0
1020928,-5.0
1040384,-5.400000095367432
1060864,-8.0
1080320,-5.0
1100800,-6.800000190734863
1120256,-7.800000190734863
1140736,-3.799999952316284
1160192,-2.4000000953674316
1180672,-2.799999952316284
1200128,-4.199999809265137
1220608,-3.5999999046325684
1240064,-6.0
1260544,-3.4000000953674316
1280000,-5.800000190734863
1300480,-5.199999809265137
1320960,-4.199999809265137
1340416,-5.400000095367432
1360896,-6.400000095367432
1380352,-6.800000190734863
1400832,-4.199999809265137
1420288,-4.599999904632568
1440768,-7.0
1460224,-6.0
1480704,-5.599999904632568
1500160,-3.4000000953674316
1520640,-5.599999904632568
1540096,-4.599999904632568
1560576,-6.0
1580032,-5.800000190734863
1600512,-7.199999809265137
1620992,-6.599999904632568
1640448,-6.599999904632568
1660928,-4.0
1680384,-2.799999952316284
1700864,-5.400000095367432
1720320,-6.199999809265137
1740800,-5.400000095367432
1760256,-6.199999809265137
1780736,-7.400000095367432
1800192,-5.800000190734863
1820672,-7.0
1840128,-6.800000190734863
1860608,-7.400000095367432
1880064,-7.0
1900544,-4.800000190734863
1920000,-4.199999809265137
1940480,-4.199999809265137
1960960,-6.400000095367432
1980416,-8.0
2000896,-4.599999904632568
2020352,-8.0
2040832,-7.0
2060288,-9.0
2080768,-5.800000190734863
2100224,-7.599999904632568
2120704,-8.0
2140160,-5.199999809265137
2160640,-5.599999904632568
2180096,-7.199999809265137
2200576,-7.199999809265137
2220032,-4.800000190734863
2240512,-4.0
2260992,-6.0
2280448,-5.0
2300928,-6.400000095367432
2320384,-5.199999809265137
2340864,-6.199999809265137
2360320,-6.400000095367432
2380800,-6.199999809265137
2400256,-5.599999904632568
2420736,-6.199999809265137
2440192,-5.800000190734863
2460672,-6.0
2480128,-6.0
2500608,-7.400000095367432
2520064,-7.400000095367432
2540544,-7.199999809265137
2560000,-5.0
2580480,-6.199999809265137
2600960,-6.0
2620416,-4.800000190734863
2640896,-3.0
2660352,-6.199999809265137
2680832,-4.400000095367432
2700288,-4.400000095367432
2720768,-6.599999904632568
2740224,-4.800000190734863
2760704,-7.0
2780160,-4.800000190734863
2800640,-6.0
2820096,-8.0
2840576,-5.400000095367432
2860032,-5.0
2880512,-7.0
2900992,-4.400000095367432
2920448,-3.5999999046325684
2940928,-6.400000095367432
2960384,-4.199999809265137
2980864,-4.800000190734863
3000320,-5.599999904632568
3020800,-6.400000095367432
3040256,-4.400000095367432
3060736,-5.199999809265137
3080192,-5.0
3100672,-4.199999809265137
3120128,-5.800000190734863
3140608,-4.800000190734863
3160064,-3.200000047683716
3180544,-5.599999904632568
3200000,-4.199999809265137
3220480,-7.400000095367432
3240960,-6.599999904632568
3260416,-7.800000190734863
3280896,-4.800000190734863
3300352,-5.199999809265137
3320832,-5.0
3340288,-7.400000095367432
3360768,-7.400000095367432
3380224,-4.599999904632568
3400704,-7.400000095367432
3420160,-5.800000190734863
3440640,-5.800000190734863
3460096,-6.199999809265137
3480576,-6.800000190734863
3500032,-4.0
3520512,-7.0
3540992,-5.599999904632568
3560448,-5.199999809265137
3580928,-7.199999809265137
3600384,-8.0
3620864,-4.400000095367432
3640320,-7.199999809265137
3660800,-3.799999952316284
3680256,-6.400000095367432
3700736,-5.800000190734863
3720192,-5.0
3740672,-8.0
3760128,-5.0
3780608,-6.400000095367432
3800064,-6.0
3820544,-7.599999904632568
3840000,-5.199999809265137
3860480,-6.800000190734863
3880960,-4.400000095367432
3900416,-6.199999809265137
3920896,-5.599999904632568
3940352,-4.199999809265137
3960832,-6.599999904632568
3980288,-5.599999904632568
4000768,-5.400000095367432
4020224,-5.400000095367432
4040704,-6.800000190734863
4060160,-5.400000095367432
4080640,-7.599999904632568
4100096,-6.400000095367432
4120576,-6.800000190734863
4140032,-7.599999904632568
4160512,-5.400000095367432
4180992,-4.599999904632568
4200448,-5.400000095367432
4220928,-3.799999952316284
4240384,-5.199999809265137
4260864,-7.199999809265137
4280320,-7.0
4300800,-6.800000190734863
4320256,-6.400000095367432
4340736,-9.399999618530273
4360192,-6.599999904632568
4380672,-4.800000190734863
4400128,-4.800000190734863
4420608,-6.400000095367432
4440064,-8.0
4460544,-8.0
4480000,-6.800000190734863
4500480,-6.400000095367432
4520960,-5.800000190734863
4540416,-4.599999904632568
4560896,-5.800000190734863
4580352,-3.0
4600832,-4.400000095367432
4620288,-6.199999809265137
4640768,-7.0
4660224,-5.0
4680704,-4.800000190734863
4700160,-7.599999904632568
4720640,-4.800000190734863
4740096,-6.0
4760576,-7.199999809265137
4780032,-6.0
4800512,-7.400000095367432
4820992,-2.200000047683716
4840448,-6.800000190734863
4860928,-4.400000095367432
4880384,-5.0
4900864,-6.199999809265137
4920320,-4.199999809265137
4940800,-7.199999809265137
4960256,-5.199999809265137
4980736,-5.0
5000192,-5.599999904632568
