Step,Value
20480,0.0
40960,60.0
60416,60.0
80896,30.0
100352,90.0
120832,30.0
140288,80.0
160768,40.0
180224,40.0
200704,70.0
220160,30.0
240640,80.0
260096,80.0
280576,70.0
300032,30.0
320512,30.0
340992,50.0
360448,60.0
380928,10.0
400384,30.0
420864,40.0
440320,0.0
460800,0.0
480256,40.0
500736,10.0
520192,50.0
540672,30.0
560128,30.0
580608,50.0
600064,20.0
620544,50.0
640000,20.0
660480,40.0
680960,40.0
700416,10.0
720896,0.0
740352,10.0
760832,10.0
780288,30.0
800768,30.0
820224,20.0
840704,0.0
860160,0.0
880640,50.0
900096,10.0
920576,80.0
940032,10.0
960512,60.0
980992,40.0
1000448,90.0
1020928,30.0
1040384,60.0
1060864,90.0
1080320,70.0
1100800,100.0
1120256,70.0
1140736,110.0
1160192,140.0
1180672,130.0
1200128,160.0
1220608,220.0
1240064,180.0
1260544,240.0
1280000,220.0
1300480,250.0
1320960,310.0
1340416,170.0
1360896,180.0
1380352,310.0
1400832,260.0
1420288,180.0
1440768,250.0
1460224,260.0
1480704,360.0
1500160,280.0
1520640,280.0
1540096,250.0
1560576,270.0
1580032,340.0
1600512,280.0
1620992,350.0
1640448,300.0
1660928,360.0
1680384,320.0
1700864,370.0
1720320,360.0
1740800,450.0
1760256,530.0
1780736,470.0
1800192,510.0
1820672,410.0
1840128,260.0
1860608,430.0
1880064,440.0
1900544,410.0
1920000,430.0
1940480,350.0
1960960,500.0
1980416,430.0
2000896,460.0
2020352,440.0
2040832,440.0
2060288,420.0
2080768,530.0
2100224,410.0
2120704,410.0
2140160,460.0
2160640,510.0
2180096,460.0
2200576,500.0
2220032,430.0
2240512,480.0
2260992,570.0
2280448,550.0
2300928,500.0
2320384,560.0
2340864,510.0
2360320,420.0
2380800,530.0
2400256,550.0
2420736,490.0
2440192,450.0
2460672,440.0
2480128,490.0
2500608,500.0
2520064,440.0
2540544,460.0
2560000,540.0
2580480,540.0
2600960,460.0
2620416,420.0
2640896,490.0
2660352,550.0
2680832,420.0
2700288,480.0
2720768,490.0
2740224,430.0
2760704,530.0
2780160,510.0
2800640,530.0
2820096,420.0
2840576,440.0
2860032,420.0
2880512,540.0
2900992,520.0
2920448,480.0
2940928,490.0
2960384,580.0
2980864,490.0
3000320,510.0
3020800,530.0
3040256,500.0
3060736,550.0
3080192,530.0
3100672,480.0
3120128,540.0
3140608,440.0
3160064,470.0
3180544,420.0
3200000,550.0
3220480,490.0
3240960,490.0
3260416,530.0
3280896,520.0
3300352,580.0
3320832,520.0
3340288,460.0
3360768,630.0
3380224,510.0
3400704,490.0
3420160,550.0
3440640,450.0
3460096,420.0
3480576,590.0
3500032,530.0
3520512,550.0
3540992,500.0
3560448,470.0
3580928,460.0
3600384,500.0
3620864,530.0
3640320,520.0
3660800,470.0
3680256,460.0
3700736,490.0
3720192,450.0
3740672,510.0
3760128,500.0
3780608,500.0
3800064,560.0
3820544,430.0
3840000,540.0
3860480,490.0
3880960,510.0
3900416,550.0
3920896,510.0
3940352,520.0
3960832,480.0
3980288,450.0
4000768,610.0
4020224,570.0
4040704,560.0
4060160,450.0
4080640,510.0
4100096,500.0
4120576,410.0
4140032,430.0
4160512,560.0
4180992,430.0
4200448,520.0
4220928,520.0
4240384,520.0
4260864,570.0
4280320,480.0
4300800,500.0
4320256,390.0
4340736,440.0
4360192,480.0
4380672,620.0
4400128,450.0
4420608,570.0
4440064,450.0
4460544,420.0
4480000,380.0
4500480,350.0
4520960,480.0
4540416,530.0
4560896,540.0
4580352,440.0
4600832,480.0
4620288,420.0
4640768,520.0
4660224,370.0
4680704,480.0
4700160,530.0
4720640,370.0
4740096,470.0
4760576,540.0
4780032,510.0
4800512,480.0
4820992,430.0
4840448,510.0
4860928,560.0
4880384,510.0
4900864,450.0
4920320,420.0
4940800,420.0
4960256,470.0
4980736,500.0
5000192,340.0
