Step,Value
20480,80.0
40960,0.0
60416,80.0
80896,160.0
100352,240.0
120832,120.0
140288,40.0
160768,40.0
180224,80.0
200704,0.0
220160,80.0
240640,120.0
260096,40.0
280576,160.0
300032,200.0
320512,40.0
340992,80.0
360448,80.0
380928,240.0
400384,200.0
420864,280.0
440320,200.0
460800,120.0
480256,200.0
500736,240.0
520192,200.0
540672,120.0
560128,280.0
580608,280.0
600064,280.0
620544,200.0
640000,80.0
660480,120.0
680960,240.0
700416,240.0
720896,280.0
740352,360.0
760832,200.0
780288,280.0
800768,400.0
820224,240.0
840704,400.0
860160,280.0
880640,280.0
900096,400.0
920576,320.0
940032,520.0
960512,320.0
980992,440.0
1000448,400.0
1020928,320.0
1040384,280.0
1060864,440.0
1080320,440.0
1100800,480.0
1120256,560.0
1140736,560.0
1160192,320.0
1180672,480.0
1200128,520.0
1220608,720.0
1240064,680.0
1260544,920.0
1280000,640.0
1300480,760.0
1320960,920.0
1340416,640.0
1360896,800.0
1380352,680.0
1400832,1080.0
1420288,880.0
1440768,1040.0
1460224,1080.0
1480704,1120.0
1500160,1320.0
1520640,960.0
1540096,960.0
1560576,1160.0
1580032,880.0
1600512,960.0
1620992,920.0
1640448,1080.0
1660928,1040.0
1680384,1280.0
1700864,1360.0
1720320,600.0
1740800,840.0
1760256,1080.0
1780736,1400.0
1800192,1240.0
1820672,1040.0
1840128,1040.0
1860608,1520.0
1880064,1480.0
1900544,1200.0
1920000,1320.0
1940480,1240.0
1960960,1280.0
1980416,1440.0
2000896,1600.0
2020352,1600.0
2040832,1400.0
2060288,1440.0
2080768,1520.0
2100224,1520.0
2120704,1560.0
2140160,1240.0
2160640,1360.0
2180096,1640.0
2200576,1760.0
2220032,1640.0
2240512,1920.0
2260992,1600.0
2280448,1640.0
2300928,1520.0
2320384,1800.0
2340864,1640.0
2360320,1520.0
2380800,1800.0
2400256,1760.0
2420736,1720.0
2440192,1920.0
2460672,1640.0
2480128,1680.0
2500608,1600.0
2520064,1480.0
2540544,1520.0
2560000,1640.0
2580480,1440.0
2600960,1600.0
2620416,1680.0
2640896,1760.0
2660352,1440.0
2680832,1760.0
2700288,1680.0
2720768,1760.0
2740224,1760.0
2760704,1600.0
2780160,1640.0
2800640,1760.0
2820096,1840.0
2840576,1800.0
2860032,1680.0
2880512,1560.0
2900992,2040.0
2920448,2000.0
2940928,2040.0
2960384,1920.0
2980864,1680.0
3000320,1760.0
3020800,1800.0
3040256,2240.0
3060736,2040.0
3080192,1800.0
3100672,1880.0
3120128,2040.0
3140608,1800.0
3160064,2000.0
3180544,1760.0
3200000,1720.0
3220480,2000.0
3240960,1840.0
3260416,2040.0
3280896,2200.0
3300352,2200.0
3320832,2160.0
3340288,2160.0
3360768,2120.0
3380224,2240.0
3400704,2040.0
3420160,2120.0
3440640,1760.0
3460096,2160.0
3480576,2320.0
3500032,1920.0
3520512,2000.0
3540992,2520.0
3560448,2360.0
3580928,2280.0
3600384,2600.0
3620864,2040.0
3640320,2200.0
3660800,2160.0
3680256,2160.0
3700736,2320.0
3720192,2280.0
3740672,2320.0
3760128,2200.0
3780608,2760.0
3800064,2560.0
3820544,2720.0
3840000,2200.0
3860480,2920.0
3880960,2920.0
3900416,2680.0
3920896,2840.0
3940352,2440.0
3960832,2840.0
3980288,2840.0
4000768,3360.0
4020224,2640.0
4040704,2840.0
4060160,3000.0
4080640,2720.0
4100096,3200.0
4120576,3300.0
4140032,2520.0
4160512,3680.0
4180992,4080.0
4200448,3200.0
4220928,2960.0
4240384,3920.0
4260864,3080.0
4280320,2800.0
4300800,3480.0
4320256,3400.0
4340736,3840.0
4360192,3320.0
4380672,4560.0
4400128,3560.0
4420608,3920.0
4440064,3520.0
4460544,3940.0
4480000,2840.0
4500480,3200.0
4520960,3060.0
4540416,3640.0
4560896,3360.0
4580352,3680.0
4600832,3200.0
4620288,3120.0
4640768,3320.0
4660224,3420.0
4680704,3360.0
4700160,2920.0
4720640,3140.0
4740096,3600.0
4760576,3160.0
4780032,3640.0
4800512,3760.0
4820992,3680.0
4840448,3360.0
4860928,3440.0
4880384,3520.0
4900864,4380.0
4920320,4600.0
4940800,3560.0
4960256,3800.0
4980736,3840.0
5000192,3400.0
