Step,Value
20480,2699.199951171875
40960,2459.199951171875
60416,2383.39990234375
80896,2653.199951171875
100352,3318.60009765625
120832,2793.800048828125
140288,2906.39990234375
160768,2547.60009765625
180224,2295.60009765625
200704,2799.0
220160,2646.39990234375
240640,2257.800048828125
260096,3190.60009765625
280576,3342.60009765625
300032,2650.199951171875
320512,2962.199951171875
340992,3271.800048828125
360448,2965.800048828125
380928,3202.800048828125
400384,3372.0
420864,3069.60009765625
440320,3111.0
460800,2688.60009765625
480256,3085.800048828125
500736,2725.800048828125
520192,3297.0
540672,3076.800048828125
560128,2440.800048828125
580608,3210.0
600064,3119.39990234375
620544,3085.199951171875
640000,3011.39990234375
660480,2835.60009765625
680960,2845.199951171875
700416,3184.199951171875
720896,3064.199951171875
740352,2352.0
760832,2974.199951171875
780288,3637.800048828125
800768,3088.800048828125
820224,3335.39990234375
840704,3535.199951171875
860160,2758.199951171875
880640,3289.199951171875
900096,3247.0
920576,2893.199951171875
940032,3333.60009765625
960512,3345.0
980992,2809.199951171875
1000448,3196.199951171875
1020928,3067.800048828125
1040384,2917.800048828125
1060864,2999.39990234375
1080320,3526.800048828125
1100800,3460.199951171875
1120256,3307.800048828125
1140736,3159.60009765625
1160192,3467.39990234375
1180672,3778.800048828125
1200128,3060.60009765625
1220608,2973.60009765625
1240064,3484.0
1260544,3056.39990234375
1280000,3472.199951171875
1300480,3561.60009765625
1320960,3269.39990234375
1340416,2338.800048828125
1360896,3539.39990234375
1380352,3634.199951171875
1400832,3229.199951171875
1420288,3062.39990234375
1440768,3050.39990234375
1460224,3349.60009765625
1480704,3462.0
1500160,3207.60009765625
1520640,2857.800048828125
1540096,3220.199951171875
1560576,3301.800048828125
1580032,3395.199951171875
1600512,3339.0
1620992,3810.60009765625
1640448,3180.60009765625
1660928,3375.0
1680384,3521.39990234375
1700864,3231.39990234375
1720320,3568.800048828125
1740800,3245.800048828125
1760256,3204.60009765625
1780736,3943.0
1800192,3494.39990234375
1820672,3572.199951171875
1840128,2826.60009765625
1860608,3661.199951171875
1880064,3516.60009765625
1900544,3317.199951171875
1920000,3309.39990234375
1940480,3716.0
1960960,3634.199951171875
1980416,3511.60009765625
2000896,2889.60009765625
2020352,3809.39990234375
2040832,3756.39990234375
2060288,3749.39990234375
2080768,3728.60009765625
2100224,3838.199951171875
2120704,3619.199951171875
2140160,3490.800048828125
2160640,3580.199951171875
2180096,3310.800048828125
2200576,3460.199951171875
2220032,3667.800048828125
2240512,3672.60009765625
2260992,3306.60009765625
2280448,3348.199951171875
2300928,3518.800048828125
2320384,3717.0
2340864,3580.39990234375
2360320,3869.800048828125
2380800,3987.60009765625
2400256,3651.0
2420736,3818.199951171875
2440192,3810.60009765625
2460672,3878.60009765625
2480128,3294.39990234375
2500608,3543.60009765625
2520064,3604.39990234375
2540544,2882.39990234375
2560000,3653.60009765625
2580480,3734.39990234375
2600960,3828.0
2620416,3696.199951171875
2640896,3639.39990234375
2660352,3357.0
2680832,4048.800048828125
2700288,3785.800048828125
2720768,3398.800048828125
2740224,2909.800048828125
2760704,3873.39990234375
2780160,3532.800048828125
2800640,3597.0
2820096,3077.60009765625
2840576,3546.39990234375
2860032,3873.0
2880512,3412.199951171875
2900992,3560.800048828125
2920448,3849.800048828125
2940928,2472.800048828125
2960384,2956.800048828125
2980864,2129.60009765625
3000320,3661.800048828125
3020800,3431.800048828125
3040256,3329.199951171875
3060736,3885.0
3080192,4163.7998046875
3100672,3806.199951171875
3120128,3934.199951171875
3140608,4281.0
3160064,3771.0
3180544,4021.39990234375
3200000,4026.60009765625
3220480,3458.39990234375
3240960,3587.199951171875
3260416,4451.0
3280896,4001.39990234375
3300352,3589.60009765625
3320832,3686.800048828125
3340288,4251.39990234375
3360768,4641.7998046875
3380224,4773.60009765625
3400704,3818.199951171875
3420160,3953.60009765625
3440640,3886.199951171875
3460096,4393.0
3480576,4429.2001953125
3500032,4269.2001953125
3520512,4063.0
3540992,3617.39990234375
3560448,4198.7998046875
3580928,4416.60009765625
3600384,4403.2001953125
3620864,4523.0
3640320,4197.2001953125
3660800,4548.2001953125
3680256,3664.0
3700736,4068.0
3720192,3496.199951171875
3740672,3889.800048828125
3760128,3759.199951171875
3780608,4218.7998046875
3800064,3840.0
3820544,4168.60009765625
3840000,4174.39990234375
3860480,4004.800048828125
3880960,4694.7998046875
3900416,4803.39990234375
3920896,4176.2001953125
3940352,3316.60009765625
3960832,4015.199951171875
3980288,4326.7998046875
4000768,4202.60009765625
4020224,3640.0
4040704,4456.39990234375
4060160,4458.39990234375
4080640,4616.0
4100096,4016.39990234375
4120576,3878.60009765625
4140032,4091.0
4160512,4616.7998046875
4180992,4702.60009765625
4200448,4705.7998046875
4220928,4775.7998046875
4240384,4420.0
4260864,4782.2001953125
4280320,4142.7998046875
4300800,3975.199951171875
4320256,4803.39990234375
4340736,4625.2001953125
4360192,5218.60009765625
4380672,4673.7998046875
4400128,4692.2001953125
4420608,4505.39990234375
4440064,4229.7998046875
4460544,3981.199951171875
4480000,4101.39990234375
4500480,4444.7998046875
4520960,3969.800048828125
4540416,4115.7998046875
4560896,4644.0
4580352,4043.199951171875
4600832,4609.60009765625
4620288,4140.60009765625
4640768,4581.0
4660224,4276.2001953125
4680704,4623.2001953125
4700160,3952.199951171875
4720640,4550.39990234375
4740096,4368.7998046875
4760576,4555.7998046875
4780032,4379.0
4800512,5017.0
4820992,4543.2001953125
4840448,4475.2001953125
4860928,4512.2001953125
4880384,4746.0
4900864,4288.39990234375
4920320,3978.0
