Step,Value
20480,2775.800048828125
40960,2990.800048828125
60416,3070.39990234375
80896,3348.199951171875
100352,3090.0
120832,3008.199951171875
140288,3032.0
160768,2344.800048828125
180224,2836.0
200704,2902.199951171875
220160,2662.60009765625
240640,2772.60009765625
260096,2956.199951171875
280576,3263.39990234375
300032,2936.199951171875
320512,3188.39990234375
340992,3251.800048828125
360448,3014.39990234375
380928,3213.800048828125
400384,3075.60009765625
420864,2878.199951171875
440320,2319.39990234375
460800,2599.60009765625
480256,2834.39990234375
500736,3310.0
520192,3265.800048828125
540672,3426.60009765625
560128,2926.39990234375
580608,2774.199951171875
600064,3451.60009765625
620544,2843.60009765625
640000,3460.60009765625
660480,3398.800048828125
680960,3054.60009765625
700416,2956.60009765625
720896,3293.39990234375
740352,3364.60009765625
760832,2801.199951171875
780288,3446.0
800768,2855.39990234375
820224,3140.39990234375
840704,3521.39990234375
860160,3430.199951171875
880640,3270.199951171875
900096,3171.39990234375
920576,2847.800048828125
940032,3334.0
960512,3675.60009765625
980992,3256.199951171875
1000448,3352.60009765625
1020928,3657.60009765625
1040384,3382.199951171875
1060864,3411.800048828125
1080320,3500.800048828125
1100800,2669.800048828125
1120256,3636.60009765625
1140736,3535.199951171875
1160192,3578.39990234375
1180672,3539.199951171875
1200128,3064.199951171875
1220608,3380.800048828125
1240064,3264.800048828125
1260544,2921.199951171875
1280000,3440.60009765625
1300480,3581.199951171875
1320960,3363.60009765625
1340416,3463.0
1360896,3583.0
1380352,3568.39990234375
1400832,3557.800048828125
1420288,3573.39990234375
1440768,3842.0
1460224,3684.0
1480704,4072.39990234375
1500160,3234.0
1520640,3984.0
1540096,3918.199951171875
1560576,3381.39990234375
1580032,4135.0
1600512,3714.199951171875
1620992,3892.0
1640448,4217.60009765625
1660928,3943.800048828125
1680384,4120.60009765625
1700864,4215.60009765625
1720320,4400.0
1740800,3093.199951171875
1760256,4489.2001953125
1780736,4014.800048828125
1800192,3162.60009765625
1820672,4122.39990234375
1840128,4227.60009765625
1860608,4027.199951171875
1880064,4345.60009765625
1900544,4199.7998046875
1920000,3670.199951171875
1940480,4436.60009765625
1960960,2988.199951171875
1980416,4425.7998046875
2000896,4310.60009765625
2020352,4949.0
2040832,4569.7998046875
2060288,4797.0
2080768,4376.60009765625
2100224,4141.2001953125
2120704,4357.7998046875
2140160,4803.39990234375
2160640,4397.7998046875
2180096,4493.60009765625
2200576,3995.199951171875
2220032,4074.0
2240512,4258.7998046875
2260992,4113.39990234375
2280448,4630.0
2300928,4617.39990234375
2320384,4132.0
2340864,4732.7998046875
2360320,4507.7998046875
2380800,4172.7998046875
2400256,4475.2001953125
2420736,4200.0
2440192,4672.2001953125
2460672,4478.7998046875
2480128,3730.199951171875
2500608,4530.0
2520064,4539.7998046875
2540544,4997.2001953125
2560000,4002.0
2580480,4645.0
2600960,3651.199951171875
2620416,4725.7998046875
2640896,4410.39990234375
2660352,4795.60009765625
2680832,4617.60009765625
2700288,4168.0
2720768,4584.7998046875
2740224,4591.0
