Step,Value
20480,680.0
40960,2040.0
60416,3200.0
80896,3700.0
100352,3740.0
120832,4780.0
140288,5440.0
160768,4540.0
180224,4700.0
200704,5920.0
220160,6400.0
240640,5880.0
260096,5680.0
280576,5020.0
300032,4320.0
320512,7380.0
340992,7380.0
360448,7520.0
380928,5100.0
400384,4960.0
420864,6640.0
440320,6380.0
460800,6920.0
480256,7020.0
500736,7620.0
520192,4740.0
540672,6340.0
560128,5920.0
580608,6500.0
600064,5700.0
620544,5180.0
640000,2460.0
660480,3800.0
680960,3940.0
700416,4460.0
720896,4260.0
740352,4480.0
760832,6100.0
780288,4700.0
800768,6240.0
820224,4500.0
840704,4460.0
860160,5300.0
880640,6080.0
900096,7060.0
920576,4780.0
940032,5300.0
960512,4680.0
980992,5560.0
1000448,3820.0
1020928,4740.0
1040384,5360.0
1060864,5540.0
1080320,5940.0
1100800,6540.0
1120256,5520.0
1140736,7140.0
1160192,6900.0
1180672,5660.0
1200128,6320.0
1220608,5820.0
1240064,6500.0
1260544,6240.0
1280000,7420.0
1300480,7000.0
1320960,7080.0
1340416,7120.0
1360896,6340.0
1380352,7480.0
1400832,6900.0
1420288,5480.0
1440768,5960.0
1460224,6200.0
1480704,6200.0
1500160,7880.0
1520640,7500.0
1540096,7200.0
1560576,7900.0
1580032,8100.0
1600512,6420.0
1620992,5760.0
1640448,5740.0
1660928,7440.0
1680384,8040.0
1700864,7080.0
1720320,6420.0
1740800,7320.0
1760256,7760.0
1780736,8000.0
1800192,6920.0
1820672,5500.0
1840128,5540.0
1860608,8600.0
1880064,6220.0
1900544,5980.0
1920000,9060.0
1940480,7160.0
1960960,7920.0
1980416,9380.0
2000896,8240.0
2020352,8420.0
2040832,10060.0
2060288,8520.0
2080768,8260.0
2100224,8380.0
2120704,7960.0
2140160,8580.0
2160640,9220.0
2180096,8760.0
2200576,8260.0
2220032,7920.0
2240512,9240.0
2260992,9780.0
2280448,8520.0
2300928,5760.0
2320384,9640.0
2340864,10200.0
2360320,8640.0
2380800,8400.0
2400256,8020.0
2420736,9960.0
2440192,8200.0
2460672,9480.0
2480128,8420.0
2500608,9880.0
2520064,7940.0
2540544,12440.0
2560000,10040.0
2580480,8920.0
2600960,10360.0
2620416,8320.0
2640896,9400.0
2660352,10440.0
2680832,8860.0
2700288,8760.0
2720768,8620.0
2740224,9280.0
2760704,12760.0
2780160,11980.0
2800640,11540.0
2820096,9220.0
2840576,12040.0
2860032,13120.0
2880512,14160.0
2900992,11880.0
2920448,11280.0
2940928,9780.0
2960384,9720.0
2980864,9520.0
3000320,12660.0
3020800,10520.0
3040256,8340.0
3060736,11980.0
3080192,10520.0
3100672,11400.0
3120128,11080.0
3140608,9780.0
3160064,11720.0
3180544,11320.0
3200000,12220.0
3220480,10600.0
3240960,13020.0
3260416,15760.0
3280896,10620.0
3300352,10960.0
3320832,10800.0
3340288,9340.0
3360768,10120.0
3380224,8860.0
3400704,9280.0
3420160,10820.0
3440640,11860.0
3460096,10120.0
3480576,9980.0
3500032,11440.0
3520512,10980.0
3540992,9300.0
3560448,10800.0
3580928,10960.0
3600384,13500.0
3620864,9260.0
3640320,12300.0
3660800,11960.0
3680256,9260.0
3700736,10440.0
3720192,10480.0
3740672,9400.0
3760128,13240.0
3780608,12820.0
3800064,11820.0
3820544,9400.0
3840000,10280.0
3860480,11160.0
3880960,13580.0
3900416,12760.0
3920896,13040.0
3940352,11660.0
3960832,13520.0
3980288,13080.0
4000768,11860.0
4020224,12120.0
4040704,14980.0
4060160,10500.0
4080640,14800.0
4100096,14740.0
4120576,12260.0
4140032,12840.0
4160512,14200.0
4180992,12700.0
4200448,10680.0
4220928,14220.0
4240384,13980.0
4260864,10160.0
4280320,15180.0
4300800,14120.0
4320256,12400.0
4340736,13740.0
4360192,10240.0
4380672,13780.0
4400128,17300.0
4420608,13740.0
4440064,12340.0
4460544,11620.0
4480000,12260.0
4500480,12900.0
4520960,11780.0
4540416,12740.0
4560896,11500.0
4580352,11460.0
4600832,16400.0
4620288,14900.0
4640768,13680.0
4660224,16880.0
4680704,12700.0
4700160,12800.0
4720640,12280.0
4740096,13600.0
4760576,13120.0
4780032,10960.0
4800512,16720.0
4820992,13340.0
4840448,11960.0
4860928,13800.0
4880384,14240.0
4900864,16060.0
4920320,13980.0
4940800,13700.0
4960256,14180.0
4980736,14980.0
5000192,13980.0
