Step,Value
20480,428.0
40960,232.0
60416,548.0
80896,348.0
100352,468.0
120832,564.0
140288,492.0
160768,464.0
180224,524.0
200704,718.0
220160,958.0
240640,680.0
260096,650.0
280576,802.0
300032,916.0
320512,632.0
340992,1372.0
360448,634.0
380928,616.0
400384,730.0
420864,570.0
440320,696.0
460800,488.0
480256,706.0
500736,806.0
520192,510.0
540672,732.0
560128,610.0
580608,434.0
600064,454.0
620544,362.0
640000,718.0
660480,696.0
680960,504.0
700416,428.0
720896,784.0
740352,518.0
760832,686.0
780288,510.0
800768,432.0
820224,770.0
840704,692.0
860160,1044.0
880640,728.0
900096,386.0
920576,846.0
940032,634.0
960512,716.0
980992,738.0
1000448,778.0
1020928,760.0
1040384,792.0
1060864,840.0
1080320,1036.0
1100800,554.0
1120256,1046.0
1140736,594.0
1160192,672.0
1180672,566.0
1200128,990.0
1220608,792.0
1240064,640.0
1260544,710.0
1280000,634.0
1300480,620.0
1320960,908.0
1340416,874.0
1360896,432.0
1380352,406.0
1400832,668.0
1420288,544.0
1440768,824.0
1460224,448.0
1480704,538.0
1500160,728.0
1520640,680.0
1540096,674.0
1560576,646.0
1580032,658.0
1600512,714.0
1620992,524.0
1640448,562.0
1660928,1216.0
1680384,530.0
1700864,674.0
1720320,846.0
1740800,1068.0
1760256,502.0
1780736,666.0
1800192,892.0
1820672,776.0
1840128,614.0
1860608,1126.0
1880064,802.0
1900544,844.0
1920000,922.0
1940480,802.0
1960960,424.0
1980416,554.0
2000896,852.0
2020352,704.0
2040832,930.0
2060288,654.0
2080768,438.0
2100224,624.0
2120704,516.0
2140160,584.0
2160640,640.0
2180096,568.0
2200576,576.0
2220032,430.0
2240512,644.0
2260992,656.0
2280448,954.0
2300928,520.0
2320384,538.0
2340864,548.0
2360320,450.0
2380800,706.0
2400256,630.0
2420736,504.0
2440192,768.0
2460672,876.0
2480128,714.0
2500608,382.0
2520064,476.0
2540544,466.0
2560000,786.0
2580480,670.0
2600960,466.0
2620416,786.0
2640896,820.0
2660352,684.0
2680832,528.0
2700288,472.0
2720768,444.0
2740224,730.0
2760704,558.0
2780160,504.0
2800640,606.0
2820096,608.0
2840576,694.0
2860032,780.0
2880512,542.0
2900992,666.0
2920448,706.0
2940928,720.0
2960384,928.0
2980864,626.0
3000320,580.0
3020800,450.0
3040256,470.0
3060736,634.0
3080192,664.0
3100672,736.0
3120128,472.0
3140608,554.0
3160064,558.0
3180544,666.0
3200000,330.0
3220480,378.0
3240960,254.0
3260416,268.0
3280896,368.0
3300352,342.0
3320832,372.0
3340288,430.0
3360768,250.0
3380224,400.0
3400704,368.0
3420160,1100.0
3440640,518.0
3460096,464.0
3480576,328.0
3500032,320.0
3520512,346.0
3540992,284.0
3560448,460.0
3580928,304.0
3600384,652.0
3620864,464.0
3640320,602.0
3660800,466.0
3680256,326.0
3700736,356.0
3720192,394.0
3740672,336.0
3760128,906.0
3780608,548.0
3800064,216.0
3820544,340.0
3840000,224.0
3860480,466.0
3880960,242.0
3900416,266.0
3920896,392.0
3940352,428.0
3960832,318.0
3980288,684.0
4000768,634.0
4020224,400.0
4040704,318.0
4060160,374.0
4080640,444.0
4100096,304.0
4120576,390.0
4140032,264.0
4160512,468.0
4180992,404.0
4200448,442.0
4220928,460.0
4240384,424.0
4260864,624.0
4280320,694.0
4300800,592.0
4320256,442.0
4340736,496.0
4360192,412.0
4380672,420.0
4400128,658.0
4420608,704.0
4440064,524.0
4460544,568.0
4480000,526.0
4500480,494.0
4520960,362.0
4540416,408.0
4560896,600.0
4580352,632.0
4600832,602.0
4620288,566.0
4640768,556.0
4660224,482.0
4680704,680.0
4700160,664.0
4720640,792.0
4740096,796.0
4760576,850.0
4780032,544.0
4800512,812.0
4820992,516.0
4840448,748.0
4860928,676.0
4880384,494.0
4900864,500.0
4920320,566.0
4940800,470.0
4960256,742.0
4980736,620.0
5000192,734.0
