Step,Value
20480,2122.0
40960,2230.0
60416,2018.0
80896,2096.0
100352,2460.0
120832,950.0
140288,2430.0
160768,2748.0
180224,2694.0
200704,3024.0
220160,2522.0
240640,2160.0
260096,1950.0
280576,1900.0
300032,2136.0
320512,2408.0
340992,2238.0
360448,2224.0
380928,2228.0
400384,2308.0
420864,2460.0
440320,2572.0
460800,2622.0
480256,2152.0
500736,2444.0
520192,2414.0
540672,1954.0
560128,1782.0
580608,2540.0
600064,2956.0
620544,2534.0
640000,1752.0
660480,1540.0
680960,3180.0
700416,2558.0
720896,2324.0
740352,1760.0
760832,2098.0
780288,2810.0
800768,2566.0
820224,2732.0
840704,2554.0
860160,3266.0
880640,2588.0
900096,2724.0
920576,2748.0
940032,2006.0
960512,2388.0
980992,2528.0
1000448,2774.0
1020928,2270.0
1040384,2564.0
1060864,2392.0
1080320,1946.0
1100800,3042.0
1120256,3334.0
1140736,2332.0
1160192,2806.0
1180672,2068.0
1200128,2966.0
1220608,2396.0
1240064,2870.0
1260544,2038.0
1280000,2118.0
1300480,2746.0
1320960,1652.0
1340416,2140.0
1360896,2528.0
1380352,2826.0
1400832,2074.0
1420288,1988.0
1440768,2742.0
1460224,2262.0
1480704,2008.0
1500160,2256.0
1520640,2518.0
1540096,2476.0
1560576,1584.0
1580032,2614.0
1600512,3324.0
1620992,2132.0
1640448,2374.0
1660928,2738.0
1680384,2086.0
1700864,2398.0
1720320,2138.0
1740800,2620.0
1760256,2490.0
1780736,3072.0
1800192,1208.0
1820672,2278.0
1840128,2624.0
1860608,1706.0
1880064,2382.0
1900544,2400.0
1920000,2346.0
1940480,2614.0
1960960,3266.0
1980416,2382.0
2000896,2980.0
2020352,2114.0
2040832,2232.0
2060288,2618.0
2080768,1606.0
2100224,1614.0
2120704,1652.0
2140160,2298.0
2160640,2274.0
2180096,2360.0
2200576,3102.0
2220032,2774.0
2240512,2950.0
2260992,2202.0
2280448,1472.0
2300928,2618.0
2320384,1782.0
2340864,3010.0
2360320,2668.0
2380800,2510.0
2400256,3182.0
2420736,2202.0
2440192,3044.0
2460672,3014.0
2480128,2026.0
2500608,2558.0
2520064,2978.0
2540544,2598.0
2560000,2302.0
2580480,2356.0
2600960,2470.0
2620416,2476.0
2640896,2596.0
2660352,2900.0
2680832,3958.0
2700288,2950.0
2720768,2818.0
2740224,2500.0
2760704,3412.0
2780160,3080.0
2800640,2984.0
2820096,2154.0
2840576,2758.0
2860032,3446.0
2880512,3518.0
2900992,2856.0
2920448,2450.0
2940928,2698.0
2960384,2702.0
2980864,2800.0
3000320,2368.0
3020800,1864.0
3040256,3360.0
3060736,2442.0
3080192,3312.0
3100672,2380.0
3120128,2150.0
3140608,2606.0
3160064,2788.0
3180544,2760.0
3200000,3276.0
3220480,3322.0
3240960,3172.0
3260416,3660.0
3280896,2310.0
3300352,3720.0
3320832,2286.0
3340288,2404.0
3360768,2626.0
3380224,3488.0
3400704,3616.0
3420160,2372.0
3440640,2902.0
3460096,3438.0
3480576,4104.0
3500032,3066.0
3520512,3146.0
3540992,2296.0
3560448,3830.0
3580928,2448.0
3600384,3444.0
3620864,3022.0
3640320,2574.0
3660800,4054.0
3680256,2914.0
3700736,3196.0
3720192,2940.0
3740672,2874.0
3760128,2370.0
3780608,3610.0
3800064,3040.0
3820544,3552.0
3840000,2746.0
3860480,2968.0
3880960,3594.0
3900416,4778.0
3920896,3390.0
3940352,4950.0
3960832,3922.0
3980288,2466.0
4000768,3664.0
4020224,4022.0
4040704,3042.0
4060160,3380.0
4080640,3544.0
4100096,3660.0
4120576,3524.0
4140032,3592.0
4160512,3150.0
4180992,2556.0
4200448,2102.0
4220928,3768.0
4240384,3030.0
4260864,2564.0
4280320,2790.0
4300800,2458.0
4320256,3078.0
4340736,2826.0
4360192,2840.0
4380672,2636.0
4400128,3440.0
4420608,3054.0
4440064,3128.0
4460544,4088.0
4480000,3266.0
4500480,2866.0
4520960,3196.0
4540416,3860.0
4560896,3326.0
4580352,3090.0
4600832,2508.0
4620288,2960.0
4640768,3618.0
4660224,3344.0
4680704,3478.0
4700160,4648.0
4720640,3412.0
4740096,4082.0
4760576,3582.0
4780032,3290.0
4800512,4444.0
4820992,4776.0
4840448,4522.0
4860928,3112.0
4880384,3214.0
4900864,3816.0
4920320,3726.0
4940800,4036.0
4960256,2756.0
4980736,3142.0
5000192,3228.0
