Step,Value
20480,2286.0
40960,2076.0
60416,2196.0
80896,2170.0
100352,2008.0
120832,1738.0
140288,1568.0
160768,3100.0
180224,2210.0
200704,2580.0
220160,3098.0
240640,2818.0
260096,2696.0
280576,1864.0
300032,2344.0
320512,2918.0
340992,2262.0
360448,2908.0
380928,1938.0
400384,2764.0
420864,2998.0
440320,2746.0
460800,2586.0
480256,2002.0
500736,3530.0
520192,2320.0
540672,2518.0
560128,3246.0
580608,2538.0
600064,2258.0
620544,2250.0
640000,2624.0
660480,2496.0
680960,1772.0
700416,1612.0
720896,2816.0
740352,1726.0
760832,2146.0
780288,1308.0
800768,1962.0
820224,2456.0
840704,3678.0
860160,2848.0
880640,1976.0
900096,1914.0
920576,2450.0
940032,2280.0
960512,1688.0
980992,1540.0
1000448,1694.0
1020928,2194.0
1040384,2172.0
1060864,1574.0
1080320,2450.0
1100800,2020.0
1120256,2266.0
1140736,2294.0
1160192,2502.0
1180672,1998.0
1200128,2558.0
1220608,2462.0
1240064,2016.0
1260544,2552.0
1280000,2554.0
1300480,2928.0
1320960,2270.0
1340416,2294.0
1360896,2632.0
1380352,2448.0
1400832,1820.0
1420288,3086.0
1440768,2308.0
1460224,2740.0
1480704,3030.0
1500160,2640.0
1520640,2546.0
1540096,2014.0
1560576,2524.0
1580032,2382.0
1600512,2726.0
1620992,3264.0
1640448,2144.0
1660928,3220.0
1680384,2662.0
1700864,2068.0
1720320,3216.0
1740800,3048.0
1760256,3060.0
1780736,2672.0
1800192,2978.0
1820672,3228.0
1840128,3102.0
1860608,2406.0
1880064,1970.0
1900544,2688.0
1920000,2616.0
1940480,2654.0
1960960,3510.0
1980416,2492.0
2000896,2792.0
2020352,3404.0
2040832,2482.0
2060288,1900.0
2080768,2850.0
2100224,2294.0
2120704,2486.0
2140160,2208.0
2160640,2408.0
2180096,1906.0
2200576,2700.0
2220032,2206.0
2240512,2800.0
2260992,2772.0
2280448,2920.0
2300928,2192.0
2320384,2616.0
2340864,2900.0
2360320,2314.0
2380800,2510.0
2400256,2552.0
2420736,2032.0
2440192,2122.0
2460672,2362.0
2480128,2566.0
2500608,2576.0
2520064,2492.0
2540544,2418.0
2560000,2746.0
2580480,2618.0
2600960,2296.0
2620416,2680.0
2640896,2836.0
2660352,2990.0
2680832,2286.0
2700288,2272.0
2720768,2334.0
2740224,2338.0
2760704,3034.0
2780160,2726.0
2800640,2514.0
2820096,1868.0
2840576,2204.0
2860032,2230.0
2880512,3208.0
2900992,1890.0
2920448,2238.0
2940928,2790.0
2960384,2378.0
2980864,2890.0
3000320,3030.0
3020800,3494.0
3040256,2248.0
3060736,2376.0
3080192,1998.0
3100672,2338.0
3120128,2746.0
3140608,3036.0
3160064,1982.0
3180544,2538.0
3200000,2438.0
3220480,2510.0
3240960,2718.0
3260416,2400.0
3280896,2688.0
3300352,2434.0
3320832,2688.0
3340288,2146.0
3360768,2204.0
3380224,2234.0
3400704,2418.0
3420160,2632.0
3440640,2564.0
3460096,2922.0
3480576,2890.0
3500032,3148.0
3520512,3356.0
3540992,3388.0
3560448,2390.0
3580928,2816.0
3600384,1824.0
3620864,2836.0
3640320,2794.0
3660800,2742.0
3680256,2664.0
3700736,3254.0
3720192,2542.0
3740672,3236.0
3760128,2520.0
3780608,2634.0
3800064,2282.0
3820544,2750.0
3840000,3228.0
3860480,2712.0
3880960,2906.0
3900416,2508.0
3920896,3186.0
3940352,2294.0
3960832,3610.0
3980288,2664.0
4000768,3332.0
4020224,2906.0
4040704,4390.0
4060160,3422.0
4080640,3534.0
4100096,3186.0
4120576,3562.0
4140032,3966.0
4160512,2864.0
4180992,2998.0
4200448,3312.0
4220928,2742.0
4240384,3298.0
4260864,2610.0
4280320,2794.0
4300800,3446.0
4320256,3182.0
4340736,3758.0
4360192,3722.0
4380672,4298.0
4400128,4304.0
4420608,4110.0
4440064,3206.0
4460544,2430.0
4480000,3968.0
4500480,2966.0
4520960,4456.0
4540416,4438.0
4560896,3802.0
4580352,2716.0
4600832,3198.0
4620288,2896.0
4640768,2764.0
4660224,3616.0
4680704,2258.0
4700160,3938.0
4720640,3292.0
4740096,2742.0
4760576,3524.0
4780032,2970.0
4800512,2102.0
4820992,2524.0
4840448,4098.0
4860928,3144.0
4880384,3628.0
4900864,2838.0
4920320,3310.0
4940800,3012.0
4960256,4560.0
4980736,4046.0
5000192,2808.0
