Step,Value
20480,-5.0
40960,-534.2000122070312
60416,-340.20001220703125
80896,-2.4000000953674316
100352,-9.199999809265137
120832,-30.399999618530273
140288,-8.800000190734863
160768,-20.0
180224,-2.799999952316284
200704,-19.0
220160,-29.799999237060547
240640,-17.799999237060547
260096,-16.799999237060547
280576,-1.0
300032,-29.600000381469727
320512,-3.5999999046325684
340992,-25.0
360448,-8.399999618530273
380928,-0.20000000298023224
400384,-6.199999809265137
420864,-1.7999999523162842
440320,-0.800000011920929
460800,-126.5999984741211
480256,-135.8000030517578
500736,-14.800000190734863
520192,-13.0
540672,-8.399999618530273
560128,-0.4000000059604645
580608,0.0
600064,-12.399999618530273
620544,-8.199999809265137
640000,-10.199999809265137
660480,-14.399999618530273
680960,-16.200000762939453
700416,-5.599999904632568
720896,-11.600000381469727
740352,-3.4000000953674316
760832,-7.0
780288,-4.599999904632568
800768,-29.0
820224,-2.5999999046325684
840704,-12.600000381469727
860160,0.0
880640,-6.400000095367432
900096,-3.4000000953674316
920576,-6.199999809265137
940032,-23.399999618530273
960512,-53.79999923706055
980992,-32.400001525878906
1000448,-7.199999809265137
1020928,-16.399999618530273
1040384,-1.7999999523162842
1060864,-3.799999952316284
1080320,-1.399999976158142
1100800,0.0
1120256,-5.0
1140736,-11.800000190734863
1160192,-5.0
1180672,-11.600000381469727
1200128,-1.600000023841858
1220608,-0.20000000298023224
1240064,-7.199999809265137
1260544,-2.0
1280000,-5.199999809265137
1300480,0.0
1320960,-2.200000047683716
1340416,-13.600000381469727
1360896,0.0
1380352,-13.399999618530273
1400832,-6.0
1420288,-5.199999809265137
1440768,-27.600000381469727
1460224,-4.800000190734863
1480704,0.0
1500160,-0.4000000059604645
1520640,-1.399999976158142
1540096,-2.0
1560576,-4.400000095367432
1580032,-5.199999809265137
1600512,0.0
1620992,-11.0
1640448,-5.0
1660928,-21.600000381469727
1680384,-0.4000000059604645
1700864,-7.0
1720320,0.0
1740800,-2.0
1760256,-1.0
1780736,-5.0
1800192,-1.7999999523162842
1820672,-2.799999952316284
1840128,-14.199999809265137
1860608,-7.0
1880064,-18.600000381469727
1900544,-3.0
1920000,-45.400001525878906
1940480,-6.800000190734863
1960960,-64.5999984741211
1980416,-60.0
2000896,-8.800000190734863
2020352,0.0
2040832,-43.0
2060288,-1.399999976158142
2080768,-1.0
2100224,0.0
2120704,0.0
2140160,-12.399999618530273
2160640,-19.200000762939453
2180096,0.0
2200576,-1.7999999523162842
2220032,-100.0
2240512,0.0
2260992,-61.20000076293945
2280448,0.0
2300928,-5.599999904632568
2320384,0.0
2340864,0.0
2360320,-29.200000762939453
2380800,0.0
2400256,-2.4000000953674316
2420736,0.0
2440192,-36.400001525878906
2460672,-7.599999904632568
2480128,-4.599999904632568
2500608,-3.200000047683716
2520064,0.0
2540544,0.0
2560000,-60.0
2580480,0.0
2600960,-80.0
2620416,-40.0
2640896,0.0
2660352,0.0
2680832,0.0
2700288,0.0
2720768,0.0
2740224,0.0
2760704,0.0
2780160,-5.400000095367432
2800640,-26.200000762939453
2820096,0.0
2840576,-3.200000047683716
2860032,0.0
2880512,-60.0
2900992,0.0
2920448,-20.0
2940928,-40.0
2960384,-20.0
2980864,-247.39999389648438
3000320,0.0
3020800,-6.599999904632568
3040256,-20.0
3060736,-14.800000190734863
3080192,-11.399999618530273
3100672,0.0
3120128,0.0
3140608,0.0
3160064,-18.200000762939453
3180544,-40.0
3200000,-28.200000762939453
3220480,0.0
3240960,0.0
3260416,0.0
3280896,0.0
3300352,-10.399999618530273
3320832,-2.799999952316284
3340288,0.0
3360768,-8.600000381469727
3380224,0.0
3400704,0.0
3420160,-8.800000190734863
3440640,0.0
3460096,0.0
3480576,-1.600000023841858
3500032,0.0
3520512,0.0
3540992,0.0
3560448,0.0
3580928,0.0
3600384,0.0
3620864,0.0
3640320,0.0
3660800,-12.600000381469727
3680256,0.0
3700736,0.0
3720192,0.0
3740672,0.0
3760128,0.0
3780608,0.0
3800064,0.0
3820544,-3.799999952316284
3840000,0.0
3860480,0.0
3880960,0.0
3900416,0.0
3920896,0.0
3940352,0.0
3960832,0.0
3980288,0.0
4000768,0.0
4020224,0.0
4040704,0.0
4060160,0.0
4080640,0.0
4100096,0.0
4120576,-20.0
4140032,0.0
4160512,-20.0
4180992,-20.0
4200448,0.0
4220928,0.0
4240384,0.0
4260864,0.0
4280320,0.0
4300800,0.0
4320256,0.0
4340736,0.0
4360192,0.0
4380672,0.0
4400128,-1.600000023841858
4420608,0.0
4440064,0.0
4460544,0.0
4480000,-40.0
4500480,0.0
4520960,0.0
4540416,0.0
4560896,0.0
4580352,0.0
4600832,0.0
4620288,0.0
4640768,0.0
4660224,0.0
4680704,0.0
4700160,-20.0
4720640,0.0
4740096,0.0
4760576,0.0
4780032,0.0
4800512,0.0
4820992,0.0
4840448,0.0
4860928,0.0
4880384,0.0
4900864,0.0
4920320,0.0
4940800,0.0
4960256,0.0
4980736,0.0
5000192,0.0
