Step,Value
20480,-20.0
40960,-19.600000381469727
60416,-20.399999618530273
80896,-20.399999618530273
100352,-20.799999237060547
120832,-20.399999618530273
140288,-19.399999618530273
160768,-20.399999618530273
180224,-20.399999618530273
200704,-20.0
220160,-20.799999237060547
240640,-20.200000762939453
260096,-20.399999618530273
280576,-20.799999237060547
300032,-20.0
320512,-19.600000381469727
340992,-19.399999618530273
360448,-19.799999237060547
380928,-20.0
400384,-20.200000762939453
420864,-19.600000381469727
440320,-20.600000381469727
460800,-20.600000381469727
480256,-20.0
500736,-20.200000762939453
520192,-20.399999618530273
540672,-20.399999618530273
560128,-20.0
580608,-19.600000381469727
600064,-21.0
620544,-20.799999237060547
640000,-20.399999618530273
660480,-19.600000381469727
680960,-20.0
700416,-19.799999237060547
720896,-20.200000762939453
740352,-20.600000381469727
760832,-19.600000381469727
780288,-20.799999237060547
800768,-20.0
820224,-20.200000762939453
840704,-21.0
860160,-20.399999618530273
880640,-20.0
900096,-19.799999237060547
920576,-20.0
940032,-20.600000381469727
960512,-20.200000762939453
980992,-20.0
1000448,-19.600000381469727
1020928,-19.0
1040384,-20.399999618530273
1060864,-20.399999618530273
1080320,-19.600000381469727
1100800,-19.0
1120256,-20.200000762939453
1140736,-20.200000762939453
1160192,-19.799999237060547
1180672,-20.0
1200128,-19.399999618530273
1220608,-19.399999618530273
1240064,-20.200000762939453
1260544,-19.200000762939453
1280000,-19.200000762939453
1300480,-20.0
1320960,-19.799999237060547
1340416,-19.600000381469727
1360896,-20.200000762939453
1380352,-19.200000762939453
1400832,-19.200000762939453
1420288,-20.600000381469727
1440768,-19.799999237060547
1460224,-19.200000762939453
1480704,-19.600000381469727
1500160,-19.399999618530273
1520640,-19.200000762939453
1540096,-19.200000762939453
1560576,-19.600000381469727
1580032,-18.600000381469727
1600512,-19.600000381469727
1620992,-19.200000762939453
1640448,-18.600000381469727
1660928,-19.200000762939453
1680384,-19.399999618530273
1700864,-18.399999618530273
1720320,-18.600000381469727
1740800,-19.799999237060547
1760256,-19.799999237060547
1780736,-19.200000762939453
1800192,-19.600000381469727
1820672,-18.799999237060547
1840128,-17.799999237060547
1860608,-18.200000762939453
1880064,-17.399999618530273
1900544,-18.200000762939453
1920000,-18.200000762939453
1940480,-19.0
1960960,-18.799999237060547
1980416,-18.799999237060547
2000896,-18.200000762939453
2020352,-18.600000381469727
2040832,-18.0
2060288,-16.399999618530273
2080768,-17.799999237060547
2100224,-16.0
2120704,-18.0
2140160,-17.200000762939453
2160640,-19.399999618530273
2180096,-16.399999618530273
2200576,-17.0
2220032,-19.200000762939453
2240512,-17.200000762939453
2260992,-17.600000381469727
2280448,-17.0
2300928,-15.800000190734863
2320384,-16.799999237060547
2340864,-17.200000762939453
2360320,-16.799999237060547
2380800,-16.200000762939453
2400256,-14.399999618530273
2420736,-14.800000190734863
2440192,-16.200000762939453
2460672,-15.399999618530273
2480128,-17.399999618530273
2500608,-15.199999809265137
2520064,-16.600000381469727
2540544,-11.600000381469727
2560000,-16.0
2580480,-14.399999618530273
2600960,-15.399999618530273
2620416,-16.0
2640896,-15.600000381469727
2660352,-14.600000381469727
2680832,-15.800000190734863
2700288,-16.399999618530273
2720768,-17.0
2740224,-15.600000381469727
2760704,-16.0
2780160,-15.0
2800640,-14.399999618530273
2820096,-13.600000381469727
2840576,-14.199999809265137
2860032,-13.399999618530273
2880512,-16.0
2900992,-11.600000381469727
2920448,-11.600000381469727
2940928,-12.199999809265137
2960384,-15.0
2980864,-11.0
3000320,-16.0
3020800,-16.0
3040256,-14.399999618530273
3060736,-11.0
3080192,-11.199999809265137
3100672,-13.0
