Step,Value
20480,270.0
40960,255.0
60416,240.0
80896,270.0
100352,315.0
120832,265.0
140288,270.0
160768,225.0
180224,270.0
200704,245.0
220160,375.0
240640,295.0
260096,295.0
280576,305.0
300032,310.0
320512,315.0
340992,250.0
360448,410.0
380928,315.0
400384,285.0
420864,295.0
440320,320.0
460800,340.0
480256,330.0
500736,510.0
520192,370.0
540672,355.0
560128,365.0
580608,345.0
600064,355.0
620544,315.0
640000,345.0
660480,275.0
680960,415.0
700416,360.0
720896,385.0
740352,405.0
760832,435.0
780288,370.0
800768,500.0
820224,435.0
840704,295.0
860160,410.0
880640,590.0
900096,440.0
920576,435.0
940032,535.0
960512,475.0
980992,565.0
1000448,490.0
1020928,465.0
1040384,310.0
1060864,465.0
1080320,545.0
1100800,465.0
1120256,450.0
1140736,410.0
1160192,345.0
1180672,510.0
1200128,515.0
1220608,570.0
1240064,410.0
1260544,480.0
1280000,605.0
1300480,345.0
1320960,410.0
1340416,455.0
1360896,475.0
1380352,485.0
1400832,520.0
1420288,465.0
1440768,410.0
1460224,535.0
1480704,425.0
1500160,540.0
1520640,560.0
1540096,420.0
1560576,580.0
1580032,600.0
1600512,525.0
1620992,565.0
1640448,560.0
1660928,410.0
1680384,400.0
1700864,425.0
1720320,545.0
1740800,745.0
1760256,680.0
1780736,585.0
1800192,515.0
1820672,585.0
1840128,585.0
1860608,555.0
1880064,680.0
1900544,525.0
1920000,580.0
1940480,500.0
1960960,520.0
1980416,535.0
2000896,555.0
2020352,500.0
2040832,590.0
2060288,355.0
2080768,545.0
2100224,660.0
2120704,450.0
2140160,460.0
2160640,600.0
2180096,655.0
2200576,590.0
2220032,675.0
2240512,635.0
2260992,400.0
2280448,615.0
2300928,690.0
2320384,680.0
2340864,515.0
2360320,660.0
2380800,525.0
2400256,640.0
2420736,605.0
2440192,615.0
2460672,490.0
2480128,690.0
2500608,760.0
2520064,605.0
2540544,800.0
2560000,685.0
2580480,745.0
2600960,675.0
2620416,500.0
2640896,655.0
2660352,735.0
2680832,610.0
2700288,595.0
2720768,590.0
2740224,775.0
2760704,445.0
2780160,730.0
2800640,610.0
2820096,785.0
2840576,615.0
2860032,490.0
2880512,665.0
2900992,705.0
2920448,710.0
2940928,740.0
2960384,675.0
2980864,880.0
3000320,545.0
3020800,630.0
3040256,535.0
3060736,675.0
3080192,705.0
3100672,765.0
3120128,490.0
3140608,650.0
3160064,480.0
3180544,800.0
3200000,640.0
3220480,415.0
3240960,760.0
3260416,450.0
3280896,1370.0
3300352,605.0
3320832,705.0
3340288,680.0
3360768,650.0
3380224,345.0
3400704,515.0
3420160,570.0
3440640,645.0
3460096,520.0
3480576,790.0
3500032,435.0
3520512,390.0
3540992,615.0
3560448,550.0
3580928,555.0
3600384,580.0
3620864,565.0
3640320,520.0
3660800,545.0
3680256,565.0
3700736,440.0
3720192,590.0
3740672,635.0
3760128,630.0
3780608,745.0
3800064,670.0
3820544,750.0
3840000,615.0
3860480,670.0
3880960,755.0
3900416,835.0
3920896,910.0
3940352,670.0
3960832,625.0
3980288,660.0
4000768,1195.0
4020224,565.0
4040704,685.0
4060160,790.0
4080640,600.0
4100096,765.0
4120576,510.0
4140032,775.0
4160512,760.0
4180992,695.0
4200448,760.0
4220928,800.0
4240384,690.0
4260864,510.0
4280320,815.0
4300800,690.0
4320256,680.0
4340736,780.0
4360192,725.0
4380672,820.0
4400128,725.0
4420608,720.0
4440064,700.0
4460544,730.0
4480000,810.0
4500480,745.0
4520960,705.0
4540416,905.0
4560896,750.0
4580352,730.0
4600832,665.0
4620288,765.0
4640768,665.0
4660224,575.0
4680704,590.0
4700160,685.0
4720640,590.0
4740096,680.0
4760576,525.0
4780032,655.0
4800512,605.0
4820992,735.0
4840448,680.0
4860928,645.0
4880384,820.0
4900864,775.0
4920320,690.0
4940800,555.0
4960256,690.0
4980736,830.0
5000192,950.0
