Step,Value
20480,1382.0
40960,1586.0
60416,1618.0
80896,1262.0
100352,1590.0
120832,1430.0
140288,1510.0
160768,1320.0
180224,1562.0
200704,1608.0
220160,1544.0
240640,1720.0
260096,1850.0
280576,1740.0
300032,1770.0
320512,1910.0
340992,1678.0
360448,1910.0
380928,1676.0
400384,1766.0
420864,1690.0
440320,1894.0
460800,1530.0
480256,1838.0
500736,2018.0
520192,1868.0
540672,1840.0
560128,1778.0
580608,1662.0
600064,2352.0
620544,2034.0
640000,2112.0
660480,1926.0
680960,2262.0
700416,2042.0
720896,1892.0
740352,2144.0
760832,2368.0
780288,1888.0
800768,2066.0
820224,2198.0
840704,2060.0
860160,1992.0
880640,2026.0
900096,2142.0
920576,1974.0
940032,2228.0
960512,2312.0
980992,2112.0
1000448,2410.0
1020928,2718.0
1040384,2376.0
1060864,2244.0
1080320,2226.0
1100800,2390.0
1120256,2498.0
1140736,2194.0
1160192,2436.0
1180672,2262.0
1200128,2506.0
1220608,2312.0
1240064,2206.0
1260544,2228.0
1280000,2302.0
1300480,2244.0
1320960,2440.0
1340416,2452.0
1360896,2402.0
1380352,2406.0
1400832,2438.0
1420288,2326.0
1440768,2564.0
1460224,2498.0
1480704,2434.0
1500160,2482.0
1520640,2542.0
1540096,2486.0
1560576,2510.0
1580032,2496.0
1600512,2462.0
1620992,2410.0
1640448,2670.0
1660928,2780.0
1680384,2566.0
1700864,2566.0
1720320,2508.0
1740800,2456.0
1760256,2594.0
1780736,2458.0
1800192,2476.0
1820672,2678.0
1840128,2572.0
1860608,2600.0
1880064,2650.0
1900544,2610.0
1920000,2518.0
1940480,2514.0
1960960,2514.0
1980416,2658.0
2000896,2618.0
2020352,2588.0
2040832,2538.0
2060288,2756.0
2080768,2590.0
2100224,2638.0
2120704,2648.0
2140160,2500.0
2160640,2452.0
2180096,2500.0
2200576,2516.0
2220032,2570.0
2240512,2836.0
2260992,2610.0
2280448,2730.0
2300928,2542.0
2320384,2458.0
2340864,2562.0
2360320,2504.0
2380800,2516.0
2400256,2556.0
2420736,2488.0
2440192,2446.0
2460672,2538.0
2480128,2620.0
2500608,2438.0
2520064,2464.0
2540544,2630.0
2560000,2638.0
2580480,2566.0
2600960,2538.0
2620416,2786.0
2640896,2710.0
2660352,2972.0
2680832,3068.0
2700288,2836.0
2720768,2724.0
2740224,2936.0
2760704,3152.0
2780160,2820.0
2800640,3008.0
2820096,2910.0
2840576,3060.0
2860032,2586.0
2880512,2942.0
2900992,3098.0
2920448,2646.0
2940928,3560.0
2960384,3158.0
2980864,2878.0
3000320,3516.0
3020800,2942.0
3040256,3352.0
3060736,3148.0
3080192,3364.0
3100672,2930.0
3120128,3224.0
3140608,3094.0
3160064,3160.0
3180544,3474.0
3200000,3536.0
3220480,3490.0
3240960,2704.0
3260416,2984.0
3280896,3318.0
3300352,3070.0
3320832,3278.0
3340288,3598.0
3360768,2976.0
3380224,3300.0
3400704,2942.0
3420160,3444.0
3440640,3680.0
3460096,3632.0
3480576,3318.0
3500032,3502.0
3520512,3144.0
3540992,3548.0
3560448,3108.0
3580928,3144.0
3600384,2920.0
3620864,3990.0
3640320,3446.0
3660800,3482.0
3680256,3502.0
3700736,3954.0
3720192,3584.0
3740672,3110.0
3760128,3620.0
3780608,3526.0
3800064,3254.0
3820544,3714.0
3840000,3390.0
3860480,2768.0
3880960,3642.0
3900416,3710.0
3920896,3770.0
3940352,3446.0
3960832,4184.0
3980288,4008.0
4000768,4224.0
4020224,2760.0
4040704,3364.0
4060160,3648.0
4080640,3236.0
4100096,3250.0
4120576,4612.0
4140032,3912.0
4160512,3794.0
4180992,4790.0
4200448,4272.0
4220928,4270.0
4240384,3824.0
4260864,3940.0
4280320,4972.0
4300800,4066.0
4320256,4452.0
4340736,4262.0
4360192,4340.0
4380672,3862.0
4400128,4522.0
4420608,3894.0
4440064,4194.0
4460544,4406.0
4480000,4374.0
4500480,4826.0
4520960,4624.0
4540416,3700.0
4560896,4884.0
4580352,4448.0
4600832,3252.0
4620288,5008.0
4640768,4076.0
4660224,5258.0
4680704,4594.0
4700160,3790.0
4720640,4752.0
4740096,4076.0
4760576,4484.0
4780032,4382.0
4800512,4674.0
4820992,4610.0
4840448,4648.0
4860928,4932.0
4880384,4844.0
4900864,4036.0
4920320,4022.0
4940800,4538.0
4960256,4740.0
4980736,4312.0
5000192,4800.0
