Step,Value
20480,460.0
40960,840.0
60416,1940.0
80896,2060.0
100352,960.0
120832,620.0
140288,680.0
160768,1080.0
180224,2260.0
200704,2360.0
220160,1940.0
240640,1520.0
260096,1160.0
280576,2160.0
300032,1360.0
320512,1380.0
340992,1640.0
360448,2360.0
380928,1720.0
400384,1320.0
420864,2080.0
440320,2180.0
460800,2660.0
480256,2440.0
500736,2380.0
520192,1860.0
540672,1600.0
560128,1980.0
580608,1680.0
600064,1680.0
620544,1700.0
640000,2340.0
660480,2500.0
680960,1140.0
700416,2480.0
720896,1820.0
740352,2980.0
760832,2180.0
780288,1800.0
800768,2000.0
820224,2860.0
840704,2000.0
860160,2620.0
880640,2160.0
900096,2640.0
920576,2560.0
940032,2240.0
960512,2380.0
980992,1660.0
1000448,3180.0
1020928,2600.0
1040384,2620.0
1060864,3020.0
1080320,1780.0
1100800,2460.0
1120256,2540.0
1140736,2520.0
1160192,2460.0
1180672,2520.0
1200128,2620.0
1220608,2000.0
1240064,2580.0
1260544,2540.0
1280000,2780.0
1300480,2640.0
1320960,2040.0
1340416,3360.0
1360896,3520.0
1380352,2420.0
1400832,2420.0
1420288,1980.0
1440768,2320.0
1460224,2620.0
1480704,2700.0
1500160,3140.0
1520640,2820.0
1540096,2980.0
1560576,2260.0
1580032,4080.0
1600512,3560.0
1620992,3500.0
1640448,2440.0
1660928,1720.0
1680384,1700.0
1700864,5680.0
1720320,3460.0
1740800,2580.0
1760256,3580.0
1780736,4160.0
1800192,5020.0
1820672,3720.0
1840128,5440.0
1860608,4360.0
1880064,3340.0
1900544,5220.0
1920000,5940.0
1940480,6960.0
1960960,4620.0
1980416,4600.0
2000896,5900.0
2020352,8140.0
2040832,7600.0
2060288,8900.0
2080768,8420.0
2100224,6400.0
2120704,10580.0
2140160,9360.0
2160640,9860.0
2180096,9620.0
2200576,12200.0
2220032,12360.0
2240512,13320.0
2260992,12860.0
2280448,12080.0
2300928,12940.0
2320384,12680.0
2340864,11720.0
2360320,15220.0
2380800,11820.0
2400256,12000.0
2420736,14320.0
2440192,13640.0
2460672,14160.0
2480128,13320.0
2500608,13420.0
2520064,12500.0
2540544,14560.0
2560000,14360.0
2580480,14200.0
2600960,14260.0
2620416,15600.0
2640896,15720.0
2660352,16220.0
2680832,14740.0
2700288,14040.0
2720768,16620.0
2740224,14460.0
2760704,16340.0
2780160,15260.0
2800640,15260.0
2820096,12180.0
2840576,15620.0
2860032,13500.0
2880512,14180.0
2900992,12880.0
2920448,14760.0
2940928,15500.0
2960384,15440.0
2980864,15100.0
3000320,15720.0
3020800,16480.0
3040256,10080.0
3060736,16360.0
3080192,15820.0
3100672,15820.0
3120128,14800.0
3140608,14860.0
3160064,15400.0
3180544,14960.0
3200000,14120.0
3220480,13760.0
3240960,14960.0
3260416,15280.0
3280896,14780.0
3300352,13400.0
3320832,13880.0
3340288,13720.0
3360768,14400.0
3380224,14180.0
3400704,16920.0
3420160,15620.0
3440640,13700.0
3460096,15300.0
3480576,15940.0
3500032,15240.0
3520512,13420.0
3540992,16200.0
3560448,14500.0
3580928,12460.0
3600384,15120.0
3620864,14380.0
3640320,14020.0
3660800,14940.0
3680256,14720.0
3700736,14700.0
3720192,14260.0
3740672,16240.0
3760128,16160.0
3780608,16380.0
3800064,13960.0
3820544,15880.0
3840000,16060.0
3860480,16080.0
3880960,14580.0
3900416,14500.0
3920896,13680.0
3940352,12760.0
3960832,13520.0
3980288,13620.0
4000768,15640.0
4020224,14740.0
4040704,15480.0
4060160,14260.0
4080640,16100.0
4100096,14980.0
4120576,15520.0
4140032,16500.0
4160512,16180.0
4180992,16480.0
4200448,14320.0
4220928,15060.0
4240384,15120.0
4260864,15380.0
4280320,16120.0
4300800,14220.0
4320256,15760.0
4340736,14940.0
4360192,16140.0
4380672,16080.0
4400128,16740.0
4420608,16160.0
4440064,15160.0
4460544,14220.0
4480000,15960.0
4500480,15540.0
4520960,15640.0
4540416,14680.0
4560896,15660.0
4580352,15380.0
4600832,12340.0
4620288,15600.0
4640768,15840.0
4660224,14140.0
4680704,15240.0
4700160,15380.0
4720640,14620.0
4740096,15640.0
4760576,15880.0
4780032,15440.0
4800512,14840.0
4820992,16740.0
4840448,16120.0
4860928,14980.0
4880384,16760.0
4900864,14780.0
4920320,14840.0
4940800,15080.0
4960256,15700.0
4980736,15140.0
5000192,14120.0
