Step,Value
20480,192.0
40960,248.0
60416,488.0
80896,372.0
100352,272.0
120832,408.0
140288,344.0
160768,584.0
180224,460.0
200704,460.0
220160,564.0
240640,532.0
260096,504.0
280576,452.0
300032,576.0
320512,316.0
340992,332.0
360448,600.0
380928,564.0
400384,468.0
420864,496.0
440320,552.0
460800,488.0
480256,436.0
500736,420.0
520192,504.0
540672,596.0
560128,552.0
580608,420.0
600064,584.0
620544,628.0
640000,716.0
660480,696.0
680960,692.0
700416,608.0
720896,708.0
740352,724.0
760832,612.0
780288,688.0
800768,668.0
820224,628.0
840704,652.0
860160,656.0
880640,728.0
900096,740.0
920576,736.0
940032,680.0
960512,784.0
980992,736.0
1000448,756.0
1020928,732.0
1040384,748.0
1060864,748.0
1080320,788.0
1100800,804.0
1120256,796.0
1140736,844.0
1160192,860.0
1180672,752.0
1200128,852.0
1220608,864.0
1240064,812.0
1260544,836.0
1280000,876.0
1300480,796.0
1320960,872.0
1340416,876.0
1360896,872.0
1380352,860.0
1400832,864.0
1420288,876.0
1440768,872.0
1460224,876.0
1480704,852.0
1500160,868.0
1520640,880.0
1540096,884.0
1560576,860.0
1580032,868.0
1600512,876.0
1620992,868.0
1640448,880.0
1660928,876.0
1680384,856.0
1700864,892.0
1720320,876.0
1740800,884.0
1760256,856.0
1780736,884.0
1800192,852.0
1820672,880.0
1840128,880.0
1860608,884.0
1880064,860.0
1900544,888.0
1920000,880.0
1940480,844.0
1960960,880.0
1980416,900.0
2000896,884.0
2020352,876.0
2040832,880.0
2060288,900.0
2080768,888.0
2100224,884.0
2120704,860.0
2140160,852.0
2160640,856.0
2180096,876.0
2200576,864.0
2220032,892.0
2240512,900.0
2260992,860.0
2280448,904.0
2300928,904.0
2320384,872.0
2340864,872.0
2360320,904.0
2380800,844.0
2400256,904.0
2420736,892.0
2440192,844.0
2460672,892.0
2480128,888.0
2500608,884.0
2520064,872.0
2540544,884.0
2560000,900.0
2580480,872.0
2600960,912.0
2620416,892.0
2640896,892.0
2660352,904.0
2680832,896.0
2700288,896.0
2720768,880.0
2740224,900.0
2760704,872.0
2780160,912.0
2800640,896.0
2820096,892.0
2840576,912.0
2860032,896.0
2880512,892.0
2900992,896.0
2920448,904.0
2940928,904.0
2960384,892.0
2980864,912.0
3000320,924.0
3020800,908.0
3040256,904.0
3060736,868.0
3080192,920.0
3100672,892.0
3120128,908.0
3140608,892.0
3160064,904.0
3180544,896.0
3200000,904.0
3220480,900.0
3240960,904.0
3260416,892.0
3280896,900.0
3300352,888.0
3320832,920.0
3340288,912.0
3360768,908.0
3380224,916.0
3400704,920.0
3420160,912.0
3440640,908.0
3460096,916.0
3480576,916.0
3500032,920.0
3520512,908.0
3540992,920.0
3560448,920.0
3580928,920.0
3600384,916.0
3620864,928.0
3640320,904.0
3660800,908.0
3680256,908.0
3700736,908.0
3720192,916.0
3740672,908.0
3760128,916.0
3780608,896.0
3800064,924.0
3820544,920.0
3840000,916.0
3860480,916.0
3880960,904.0
3900416,904.0
3920896,932.0
3940352,916.0
3960832,928.0
3980288,908.0
4000768,920.0
4020224,924.0
4040704,912.0
4060160,920.0
4080640,920.0
4100096,880.0
4120576,920.0
4140032,920.0
4160512,928.0
4180992,944.0
4200448,924.0
4220928,920.0
4240384,888.0
4260864,908.0
4280320,916.0
4300800,912.0
4320256,904.0
4340736,924.0
4360192,928.0
4380672,920.0
4400128,928.0
4420608,936.0
4440064,924.0
4460544,916.0
4480000,932.0
4500480,928.0
4520960,936.0
4540416,936.0
4560896,924.0
4580352,928.0
4600832,924.0
4620288,916.0
4640768,916.0
4660224,932.0
4680704,908.0
4700160,920.0
4720640,920.0
4740096,908.0
4760576,912.0
4780032,952.0
4800512,932.0
4820992,924.0
4840448,940.0
4860928,928.0
4880384,924.0
4900864,928.0
4920320,904.0
4940800,940.0
4960256,940.0
4980736,920.0
5000192,928.0
