Step,Value
20480,720.0
40960,1060.0
60416,840.0
80896,880.0
100352,680.0
120832,840.0
140288,680.0
160768,1040.0
180224,800.0
200704,1040.0
220160,1200.0
240640,1060.0
260096,1180.0
280576,1360.0
300032,1080.0
320512,1060.0
340992,1180.0
360448,1180.0
380928,1260.0
400384,1180.0
420864,1660.0
440320,1380.0
460800,2220.0
480256,1300.0
500736,1620.0
520192,1500.0
540672,1520.0
560128,1620.0
580608,1880.0
600064,2080.0
620544,2420.0
640000,1960.0
660480,1980.0
680960,2280.0
700416,1700.0
720896,1880.0
740352,2840.0
760832,1820.0
780288,1580.0
800768,2800.0
820224,1900.0
840704,2300.0
860160,2140.0
880640,2500.0
900096,3140.0
920576,1960.0
940032,1940.0
960512,2680.0
980992,2340.0
1000448,2400.0
1020928,2940.0
1040384,2280.0
1060864,2100.0
1080320,1940.0
1100800,3240.0
1120256,3460.0
1140736,2420.0
1160192,2260.0
1180672,2300.0
1200128,3520.0
1220608,2640.0
1240064,1700.0
1260544,3400.0
1280000,3320.0
1300480,3120.0
1320960,3860.0
1340416,3360.0
1360896,3180.0
1380352,2180.0
1400832,2100.0
1420288,3080.0
1440768,3560.0
1460224,2060.0
1480704,3200.0
1500160,3840.0
1520640,3920.0
1540096,3700.0
1560576,3300.0
1580032,2780.0
1600512,4240.0
1620992,4100.0
1640448,2200.0
1660928,3380.0
1680384,3420.0
1700864,4200.0
1720320,3880.0
1740800,4520.0
1760256,4000.0
1780736,3260.0
1800192,3780.0
1820672,4280.0
1840128,3420.0
1860608,4000.0
1880064,3240.0
1900544,4460.0
1920000,4180.0
1940480,5280.0
1960960,4480.0
1980416,5320.0
2000896,6560.0
2020352,4600.0
2040832,5100.0
2060288,5340.0
2080768,6060.0
2100224,4560.0
2120704,8680.0
2140160,4860.0
2160640,5220.0
2180096,6520.0
2200576,4600.0
2220032,6180.0
2240512,8560.0
2260992,5580.0
2280448,8540.0
2300928,10560.0
2320384,5900.0
2340864,11160.0
2360320,7420.0
2380800,6220.0
2400256,7720.0
2420736,4500.0
2440192,7220.0
2460672,9700.0
2480128,9140.0
2500608,7680.0
2520064,8880.0
2540544,5500.0
2560000,9060.0
2580480,5340.0
2600960,8780.0
2620416,7740.0
2640896,9520.0
2660352,9740.0
2680832,6560.0
2700288,7120.0
2720768,5080.0
2740224,11340.0
2760704,5260.0
2780160,10680.0
2800640,9140.0
2820096,7700.0
2840576,9320.0
2860032,7620.0
2880512,6260.0
2900992,10720.0
2920448,6500.0
2940928,10960.0
2960384,10100.0
2980864,14760.0
3000320,10420.0
3020800,9000.0
3040256,5320.0
3060736,8960.0
3080192,11720.0
3100672,7180.0
3120128,10500.0
3140608,8520.0
3160064,8900.0
3180544,9880.0
3200000,11300.0
3220480,8560.0
3240960,14280.0
3260416,11560.0
3280896,7680.0
3300352,10260.0
3320832,16180.0
3340288,10600.0
3360768,10080.0
3380224,10740.0
3400704,12700.0
3420160,7940.0
3440640,8400.0
3460096,10640.0
3480576,10300.0
3500032,7980.0
3520512,13420.0
3540992,7020.0
3560448,15960.0
3580928,12780.0
3600384,10740.0
3620864,10980.0
3640320,14320.0
3660800,10120.0
3680256,16740.0
3700736,11240.0
3720192,16040.0
3740672,11900.0
3760128,10340.0
3780608,16000.0
3800064,11340.0
3820544,8440.0
3840000,7500.0
3860480,7880.0
3880960,15680.0
3900416,14100.0
3920896,13240.0
3940352,16300.0
3960832,15160.0
3980288,18600.0
4000768,10040.0
4020224,12060.0
4040704,10200.0
4060160,12520.0
4080640,14020.0
4100096,16160.0
4120576,14280.0
4140032,8280.0
4160512,11740.0
4180992,16720.0
4200448,12720.0
4220928,13460.0
4240384,13300.0
4260864,8380.0
4280320,12760.0
4300800,12720.0
4320256,15480.0
4340736,18560.0
4360192,16900.0
4380672,8660.0
4400128,18000.0
4420608,11300.0
4440064,21600.0
4460544,16120.0
4480000,10700.0
4500480,18520.0
4520960,9980.0
4540416,11260.0
4560896,16540.0
4580352,17240.0
4600832,21060.0
4620288,15500.0
4640768,20820.0
4660224,12760.0
4680704,14120.0
4700160,16300.0
4720640,13180.0
4740096,11120.0
4760576,11060.0
4780032,13060.0
4800512,11720.0
4820992,8180.0
4840448,10040.0
4860928,15940.0
4880384,18880.0
4900864,14960.0
4920320,15640.0
4940800,13920.0
4960256,15960.0
4980736,12640.0
5000192,18840.0
