Step,Value
20480,-23.799999237060547
40960,-23.799999237060547
60416,-18.200000762939453
80896,-17.399999618530273
100352,-23.799999237060547
120832,-24.0
140288,-16.399999618530273
160768,-21.200000762939453
180224,-24.0
200704,-24.0
220160,-22.399999618530273
240640,-13.800000190734863
260096,-13.800000190734863
280576,-16.600000381469727
300032,-10.199999809265137
320512,-18.0
340992,-22.399999618530273
360448,-18.0
380928,-23.799999237060547
400384,-24.0
420864,-6.0
440320,-7.199999809265137
460800,-23.799999237060547
480256,-12.0
500736,-20.799999237060547
520192,-17.399999618530273
540672,-10.0
560128,-23.600000381469727
580608,-14.600000381469727
600064,-3.200000047683716
620544,-11.199999809265137
640000,-4.599999904632568
660480,-8.0
680960,-9.800000190734863
700416,-15.399999618530273
720896,-8.800000190734863
740352,-11.0
760832,-12.399999618530273
780288,-21.399999618530273
800768,-8.0
820224,-18.399999618530273
840704,-11.800000190734863
860160,-23.799999237060547
880640,-15.0
900096,-7.599999904632568
920576,-15.399999618530273
940032,-22.200000762939453
960512,-19.600000381469727
980992,-23.799999237060547
1000448,-23.600000381469727
1020928,-18.399999618530273
1040384,-18.0
1060864,-23.799999237060547
1080320,-24.0
1100800,-23.799999237060547
1120256,-24.0
1140736,-23.399999618530273
1160192,-23.799999237060547
1180672,-19.399999618530273
1200128,-13.600000381469727
1220608,-20.0
1240064,-21.0
1260544,-10.800000190734863
1280000,-22.399999618530273
1300480,-24.0
1320960,-23.799999237060547
1340416,-23.799999237060547
1360896,-15.0
1380352,-23.600000381469727
1400832,-24.0
1420288,-23.799999237060547
1440768,-23.0
1460224,-6.800000190734863
1480704,-24.0
1500160,-21.200000762939453
1520640,-15.0
1540096,-21.200000762939453
1560576,-16.600000381469727
1580032,-24.0
1600512,-13.600000381469727
1620992,-13.0
1640448,-13.800000190734863
1660928,-6.400000095367432
1680384,-18.600000381469727
1700864,-23.799999237060547
1720320,-23.799999237060547
1740800,-18.200000762939453
1760256,-23.799999237060547
1780736,-17.600000381469727
1800192,-23.799999237060547
1820672,-18.200000762939453
1840128,-9.0
1860608,-6.0
1880064,-7.199999809265137
1900544,-17.0
1920000,-18.0
1940480,-24.0
1960960,-18.600000381469727
1980416,-17.399999618530273
2000896,-17.200000762939453
2020352,-17.600000381469727
2040832,-11.800000190734863
2060288,-1.7999999523162842
2080768,-16.799999237060547
2100224,-12.0
2120704,-9.199999809265137
2140160,-3.200000047683716
2160640,-3.4000000953674316
2180096,-4.0
2200576,-3.5999999046325684
2220032,-15.399999618530273
2240512,-14.800000190734863
2260992,-21.0
2280448,-10.600000381469727
2300928,-14.0
2320384,-21.399999618530273
2340864,-21.200000762939453
2360320,-18.600000381469727
2380800,-23.799999237060547
2400256,-21.0
2420736,-14.199999809265137
2440192,-22.399999618530273
2460672,-13.399999618530273
2480128,-12.199999809265137
2500608,-11.199999809265137
2520064,-16.600000381469727
2540544,-7.800000190734863
2560000,-14.0
2580480,-10.199999809265137
2600960,-8.399999618530273
2620416,-8.0
2640896,-6.199999809265137
2660352,-13.0
2680832,-12.800000190734863
2700288,-4.800000190734863
2720768,-2.799999952316284
2740224,-11.0
2760704,-7.599999904632568
2780160,-13.600000381469727
2800640,-14.0
2820096,-7.800000190734863
2840576,-9.199999809265137
2860032,-7.400000095367432
2880512,-13.600000381469727
2900992,-12.199999809265137
2920448,-9.0
2940928,-6.199999809265137
2960384,-3.200000047683716
2980864,-1.7999999523162842
3000320,-9.199999809265137
3020800,-11.600000381469727
3040256,-8.399999618530273
3060736,-7.199999809265137
3080192,-3.200000047683716
3100672,-8.199999809265137
3120128,-23.799999237060547
3140608,-16.799999237060547
3160064,-7.599999904632568
3180544,-18.0
3200000,-9.800000190734863
3220480,-10.399999618530273
3240960,-12.600000381469727
3260416,-14.0
3280896,-10.800000190734863
3300352,-10.600000381469727
3320832,-22.600000381469727
3340288,-23.799999237060547
3360768,-24.0
3380224,-23.799999237060547
3400704,-24.0
3420160,-23.799999237060547
3440640,-13.600000381469727
3460096,-23.799999237060547
3480576,-19.600000381469727
3500032,-8.0
3520512,-15.600000381469727
3540992,-13.399999618530273
3560448,-21.0
3580928,-24.0
3600384,-13.600000381469727
3620864,-23.799999237060547
3640320,-16.399999618530273
3660800,-15.0
3680256,-22.399999618530273
3700736,-8.600000381469727
3720192,-17.799999237060547
3740672,-17.799999237060547
3760128,-10.399999618530273
3780608,-11.0
3800064,-11.0
3820544,-10.800000190734863
3840000,-5.199999809265137
3860480,-12.399999618530273
