Step,Value
20480,1722.0
40960,738.0
60416,2138.0
80896,1502.0
100352,1006.0
120832,1316.0
140288,1424.0
160768,1244.0
180224,1188.0
200704,1590.0
220160,1216.0
240640,1882.0
260096,1230.0
280576,840.0
300032,2062.0
320512,1690.0
340992,2810.0
360448,2124.0
380928,2102.0
400384,872.0
420864,1074.0
440320,922.0
460800,1444.0
480256,1452.0
500736,2192.0
520192,1698.0
540672,2024.0
560128,2410.0
580608,2598.0
600064,2808.0
620544,1606.0
640000,1870.0
660480,2846.0
680960,1904.0
700416,2550.0
720896,2430.0
740352,2390.0
760832,2388.0
780288,2664.0
800768,3596.0
820224,2676.0
840704,2984.0
860160,1894.0
880640,1638.0
900096,3594.0
920576,3230.0
940032,4438.0
960512,3168.0
980992,2206.0
1000448,3304.0
1020928,3212.0
1040384,2548.0
1060864,2240.0
1080320,3830.0
1100800,1906.0
1120256,1650.0
1140736,2514.0
1160192,2210.0
1180672,3778.0
1200128,3474.0
1220608,4228.0
1240064,3688.0
1260544,4376.0
1280000,5038.0
1300480,3882.0
1320960,4144.0
1340416,6490.0
1360896,5542.0
1380352,4952.0
1400832,4414.0
1420288,5428.0
1440768,5176.0
1460224,7092.0
1480704,5986.0
1500160,7004.0
1520640,4030.0
1540096,6480.0
1560576,4464.0
1580032,6446.0
1600512,7584.0
1620992,2638.0
1640448,4178.0
1660928,7612.0
1680384,6322.0
1700864,4994.0
1720320,6046.0
1740800,6314.0
1760256,7346.0
1780736,9382.0
1800192,8706.0
1820672,8282.0
1840128,8176.0
1860608,12134.0
1880064,5448.0
1900544,6890.0
1920000,5708.0
1940480,10148.0
1960960,9284.0
1980416,7268.0
2000896,5416.0
2020352,5888.0
2040832,5236.0
2060288,7000.0
2080768,8752.0
2100224,3904.0
2120704,6486.0
2140160,7342.0
2160640,7760.0
2180096,7760.0
2200576,5098.0
2220032,5858.0
2240512,3768.0
2260992,1980.0
2280448,3644.0
2300928,1652.0
2320384,5106.0
2340864,3544.0
2360320,4512.0
2380800,3944.0
2400256,4616.0
2420736,4478.0
2440192,4920.0
2460672,4184.0
2480128,10706.0
2500608,2888.0
2520064,2796.0
2540544,3640.0
2560000,4356.0
2580480,3798.0
2600960,6024.0
2620416,5072.0
2640896,4288.0
2660352,4532.0
2680832,5582.0
2700288,4936.0
2720768,4950.0
2740224,1878.0
2760704,7676.0
2780160,10790.0
2800640,8438.0
2820096,8102.0
2840576,6436.0
2860032,8870.0
2880512,5904.0
2900992,6844.0
2920448,6590.0
2940928,5574.0
2960384,11880.0
2980864,11062.0
3000320,8308.0
3020800,15150.0
3040256,6872.0
3060736,12288.0
3080192,8824.0
3100672,4090.0
3120128,7290.0
3140608,7770.0
3160064,13836.0
3180544,6038.0
3200000,6452.0
3220480,14444.0
3240960,7816.0
3260416,15622.0
3280896,11148.0
3300352,9814.0
3320832,5202.0
3340288,10186.0
3360768,8746.0
3380224,8140.0
3400704,11554.0
3420160,18280.0
3440640,7184.0
3460096,11880.0
3480576,10290.0
3500032,13700.0
3520512,15764.0
3540992,10562.0
3560448,8530.0
3580928,10166.0
3600384,5578.0
3620864,19292.0
3640320,10974.0
3660800,18214.0
3680256,10560.0
3700736,19308.0
3720192,24424.0
3740672,14688.0
3760128,13092.0
3780608,8528.0
3800064,13810.0
3820544,11602.0
3840000,13910.0
3860480,22422.0
3880960,15122.0
3900416,19104.0
3920896,14168.0
3940352,18482.0
3960832,11428.0
3980288,10256.0
4000768,16774.0
4020224,14232.0
4040704,7618.0
4060160,8088.0
4080640,18310.0
4100096,13322.0
4120576,11172.0
4140032,14028.0
4160512,10030.0
4180992,15950.0
4200448,19184.0
4220928,12474.0
4240384,18568.0
4260864,18710.0
4280320,21556.0
4300800,14722.0
4320256,10156.0
4340736,14358.0
4360192,11184.0
4380672,13894.0
4400128,16332.0
4420608,21608.0
4440064,19748.0
4460544,16790.0
4480000,8170.0
4500480,11012.0
4520960,22420.0
4540416,20306.0
4560896,11884.0
4580352,13324.0
4600832,16248.0
4620288,20578.0
4640768,14008.0
4660224,13596.0
4680704,11548.0
4700160,14014.0
4720640,17300.0
4740096,12898.0
4760576,11536.0
4780032,15040.0
4800512,14966.0
4820992,14986.0
4840448,13044.0
4860928,13814.0
4880384,15740.0
4900864,16118.0
4920320,12124.0
4940800,10450.0
4960256,10832.0
4980736,14688.0
5000192,15500.0
