Step,Value
20480,23217.80078125
40960,17165.80078125
60416,32531.80078125
80896,25652.599609375
100352,24726.599609375
120832,20118.19921875
140288,20810.599609375
160768,32025.0
180224,26502.400390625
200704,36781.3984375
220160,28318.599609375
240640,26032.599609375
260096,21694.80078125
280576,17350.400390625
300032,17024.0
320512,12489.0
340992,21850.80078125
360448,11647.599609375
380928,21922.80078125
400384,32739.400390625
420864,15075.0
440320,24807.400390625
460800,78489.0
480256,24204.80078125
500736,32349.80078125
520192,26591.0
540672,27867.19921875
560128,29159.19921875
580608,12692.599609375
600064,33891.6015625
620544,42476.3984375
640000,28779.400390625
660480,16958.80078125
680960,35996.0
700416,62619.19921875
720896,29656.19921875
740352,39887.19921875
760832,11801.0
780288,33462.6015625
800768,40109.80078125
820224,31162.599609375
840704,50966.19921875
860160,21586.0
880640,37141.0
900096,9062.2001953125
920576,44650.3984375
940032,34720.6015625
960512,55901.0
980992,39275.3984375
1000448,23420.19921875
1020928,40446.3984375
1040384,45687.0
1060864,55274.3984375
1080320,25096.0
1100800,124669.0
1120256,15848.0
1140736,16097.0
1160192,16959.80078125
1180672,44725.0
1200128,25822.0
1220608,33456.19921875
1240064,28541.599609375
1260544,23617.400390625
1280000,41965.80078125
1300480,24534.80078125
1320960,17537.80078125
1340416,46741.0
1360896,39726.0
1380352,26783.599609375
1400832,13708.599609375
1420288,37669.0
1440768,27069.80078125
1460224,41265.0
1480704,42837.0
1500160,28293.80078125
1520640,44528.6015625
1540096,33705.3984375
1560576,31501.400390625
1580032,25041.400390625
1600512,17462.599609375
1620992,20051.599609375
1640448,30004.80078125
1660928,23217.599609375
1680384,22530.0
1700864,24593.400390625
1720320,82644.6015625
1740800,90326.3984375
1760256,46029.3984375
1780736,48170.19921875
1800192,72481.3984375
1820672,30140.0
1840128,58180.0
1860608,16455.19921875
1880064,28681.599609375
1900544,29708.400390625
1920000,34623.0
1940480,35140.80078125
1960960,31003.80078125
1980416,13507.0
2000896,23420.19921875
2020352,67641.0
2040832,35336.6015625
2060288,36771.6015625
2080768,30814.400390625
2100224,48437.0
2120704,40470.80078125
2140160,25052.0
2160640,39982.19921875
2180096,13638.599609375
2200576,33467.0
2220032,15829.2001953125
2240512,31881.0
2260992,23265.400390625
2280448,14647.400390625
2300928,13771.7998046875
2320384,36535.80078125
2340864,40401.80078125
2360320,20070.599609375
2380800,56800.3984375
2400256,12684.2001953125
2420736,27721.0
2440192,96267.6015625
2460672,27235.400390625
2480128,31500.599609375
2500608,16531.19921875
2520064,34766.80078125
2540544,26032.599609375
2560000,21531.80078125
2580480,72167.203125
2600960,31742.599609375
2620416,46822.6015625
2640896,34052.19921875
2660352,33695.6015625
2680832,29161.0
2700288,16143.0
2720768,9218.400390625
2740224,47081.3984375
2760704,28181.19921875
2780160,43980.19921875
2800640,19827.400390625
2820096,25664.19921875
2840576,29359.80078125
2860032,36374.80078125
2880512,21090.19921875
2900992,14549.2001953125
2920448,22119.400390625
2940928,37708.3984375
2960384,18708.19921875
2980864,44160.19921875
3000320,26429.80078125
3020800,37049.3984375
3040256,37430.6015625
3060736,15024.400390625
3080192,21434.19921875
3100672,20928.0
3120128,25640.400390625
3140608,50589.80078125
3160064,30208.400390625
3180544,56457.80078125
3200000,22214.19921875
3220480,49236.3984375
3240960,44194.80078125
3260416,28202.19921875
3280896,23367.80078125
3300352,30244.0
3320832,48552.6015625
3340288,21169.80078125
3360768,17441.19921875
3380224,66986.3984375
3400704,46381.80078125
3420160,49464.0
3440640,34047.6015625
3460096,67565.0
3480576,30149.0
3500032,35388.3984375
3520512,18328.80078125
3540992,20294.0
3560448,64882.19921875
3580928,29818.400390625
3600384,47828.19921875
3620864,28193.19921875
3640320,24549.19921875
3660800,50468.19921875
3680256,17194.599609375
3700736,34657.80078125
3720192,33874.3984375
3740672,40752.80078125
3760128,37203.6015625
3780608,24820.80078125
3800064,20061.19921875
3820544,36656.80078125
3840000,29279.0
3860480,18529.80078125
3880960,16591.0
3900416,43310.0
3920896,32198.80078125
3940352,71938.0
3960832,28879.80078125
3980288,30262.400390625
4000768,16635.80078125
4020224,25558.400390625
4040704,25907.80078125
4060160,35722.3984375
4080640,24498.0
4100096,33546.0
4120576,43720.19921875
4140032,24431.19921875
4160512,28465.599609375
4180992,44073.80078125
4200448,11870.599609375
4220928,26485.19921875
4240384,34614.3984375
4260864,43998.0
4280320,19512.400390625
4300800,48115.3984375
4320256,24918.0
4340736,27311.80078125
4360192,51788.6015625
4380672,20371.80078125
4400128,38300.19921875
4420608,31879.80078125
4440064,33675.6015625
4460544,30163.0
4480000,26255.19921875
4500480,49930.80078125
4520960,24971.80078125
4540416,15320.400390625
4560896,29747.80078125
4580352,28780.0
4600832,33738.3984375
4620288,38678.19921875
4640768,33452.3984375
4660224,23168.19921875
4680704,29295.19921875
4700160,16487.599609375
4720640,42089.6015625
4740096,22232.599609375
4760576,48346.3984375
4780032,28608.400390625
4800512,34631.6015625
4820992,21175.80078125
4840448,47410.0
4860928,28335.80078125
4880384,12785.7998046875
4900864,55869.80078125
4920320,35569.19921875
4940800,22652.0
4960256,24320.19921875
4980736,33876.0
5000192,58596.6015625
