Step,Value
20480,520.0
40960,940.0
60416,620.0
80896,980.0
100352,1180.0
120832,340.0
140288,760.0
160768,460.0
180224,840.0
200704,1260.0
220160,900.0
240640,420.0
260096,880.0
280576,1180.0
300032,760.0
320512,1640.0
340992,400.0
360448,680.0
380928,380.0
400384,720.0
420864,420.0
440320,780.0
460800,540.0
480256,2700.0
500736,1240.0
520192,1300.0
540672,1300.0
560128,760.0
580608,1560.0
600064,760.0
620544,1100.0
640000,1140.0
660480,460.0
680960,260.0
700416,860.0
720896,840.0
740352,1180.0
760832,660.0
780288,760.0
800768,1040.0
820224,1000.0
840704,740.0
860160,300.0
880640,420.0
900096,360.0
920576,1600.0
940032,620.0
960512,1060.0
980992,1000.0
1000448,1320.0
1020928,720.0
1040384,1220.0
1060864,740.0
1080320,1020.0
1100800,1600.0
1120256,760.0
1140736,900.0
1160192,140.0
1180672,1000.0
1200128,1280.0
1220608,840.0
1240064,840.0
1260544,980.0
1280000,480.0
1300480,1200.0
1320960,2480.0
1340416,1120.0
1360896,760.0
1380352,720.0
1400832,1120.0
1420288,620.0
1440768,560.0
1460224,1920.0
1480704,1040.0
1500160,680.0
1520640,540.0
1540096,860.0
1560576,980.0
1580032,640.0
1600512,1540.0
1620992,1160.0
1640448,1500.0
1660928,1500.0
1680384,980.0
1700864,1200.0
1720320,740.0
1740800,860.0
1760256,1440.0
1780736,340.0
1800192,920.0
1820672,1000.0
1840128,1280.0
1860608,900.0
1880064,1580.0
1900544,640.0
1920000,1200.0
1940480,800.0
1960960,940.0
1980416,1100.0
2000896,680.0
2020352,1400.0
2040832,900.0
2060288,1280.0
2080768,840.0
2100224,1860.0
2120704,1020.0
2140160,1000.0
2160640,1160.0
2180096,1460.0
2200576,1060.0
2220032,1580.0
2240512,1000.0
2260992,2300.0
2280448,1980.0
2300928,1920.0
2320384,760.0
2340864,2480.0
2360320,1920.0
2380800,980.0
2400256,1200.0
2420736,1580.0
2440192,2120.0
2460672,1800.0
2480128,1360.0
2500608,2400.0
2520064,1440.0
2540544,1280.0
2560000,1960.0
2580480,2120.0
2600960,2340.0
2620416,1500.0
2640896,1780.0
2660352,1160.0
2680832,1680.0
2700288,1380.0
2720768,1580.0
2740224,2400.0
2760704,1280.0
2780160,4540.0
2800640,1720.0
2820096,1680.0
2840576,3100.0
2860032,2160.0
2880512,2340.0
2900992,1460.0
2920448,2200.0
2940928,1780.0
2960384,2760.0
2980864,2820.0
3000320,1440.0
3020800,2300.0
3040256,1700.0
3060736,2440.0
3080192,1280.0
3100672,1420.0
3120128,900.0
3140608,1980.0
3160064,1460.0
3180544,1640.0
3200000,1620.0
3220480,1440.0
3240960,1300.0
3260416,1700.0
3280896,2920.0
3300352,2440.0
3320832,1040.0
3340288,1400.0
3360768,1620.0
3380224,1540.0
3400704,1240.0
3420160,1740.0
3440640,1360.0
3460096,2280.0
3480576,1560.0
3500032,1820.0
3520512,1800.0
3540992,2000.0
3560448,1700.0
3580928,1540.0
3600384,1400.0
3620864,1660.0
3640320,1060.0
3660800,1700.0
3680256,2220.0
3700736,1440.0
3720192,1340.0
3740672,1640.0
3760128,2040.0
3780608,1660.0
3800064,1680.0
3820544,1800.0
3840000,1740.0
3860480,2260.0
3880960,2380.0
3900416,1920.0
3920896,2140.0
3940352,2720.0
3960832,3060.0
3980288,2900.0
4000768,1820.0
4020224,1840.0
4040704,3560.0
4060160,1320.0
4080640,1720.0
4100096,1620.0
4120576,2220.0
4140032,1580.0
4160512,2220.0
4180992,2100.0
4200448,1820.0
4220928,1320.0
4240384,2000.0
4260864,2340.0
4280320,1960.0
4300800,1600.0
4320256,1220.0
4340736,2800.0
4360192,1820.0
4380672,1720.0
4400128,2220.0
4420608,1720.0
4440064,1420.0
4460544,1080.0
4480000,1900.0
4500480,1380.0
4520960,1800.0
4540416,2040.0
4560896,1280.0
4580352,2520.0
4600832,1460.0
4620288,1740.0
4640768,1160.0
4660224,1560.0
4680704,2840.0
4700160,1220.0
4720640,1400.0
4740096,1420.0
4760576,2280.0
4780032,1460.0
4800512,2280.0
4820992,1240.0
4840448,1260.0
4860928,1680.0
4880384,1240.0
4900864,2960.0
4920320,1820.0
4940800,1340.0
4960256,2260.0
4980736,1760.0
5000192,1560.0
