Step,Value
20480,0.0
40960,0.0
60416,0.0
80896,0.0
100352,80.0
120832,0.0
140288,0.0
160768,240.0
180224,0.0
200704,0.0
220160,0.0
240640,0.0
260096,40.0
280576,0.0
300032,0.0
320512,0.0
340992,0.0
360448,0.0
380928,0.0
400384,0.0
420864,0.0
440320,0.0
460800,0.0
480256,0.0
500736,0.0
520192,0.0
540672,0.0
560128,0.0
580608,0.0
600064,0.0
620544,0.0
640000,0.0
660480,0.0
680960,0.0
700416,0.0
720896,40.0
740352,0.0
760832,0.0
780288,0.0
800768,0.0
820224,0.0
840704,0.0
860160,0.0
880640,0.0
900096,0.0
920576,0.0
940032,0.0
960512,0.0
980992,0.0
1000448,0.0
1020928,0.0
1040384,0.0
1060864,0.0
1080320,0.0
1100800,0.0
1120256,0.0
1140736,0.0
1160192,0.0
1180672,0.0
1200128,0.0
1220608,0.0
1240064,0.0
1260544,0.0
1280000,40.0
1300480,0.0
1320960,140.0
1340416,40.0
1360896,40.0
1380352,460.0
1400832,160.0
1420288,320.0
1440768,280.0
1460224,900.0
1480704,780.0
1500160,820.0
1520640,980.0
1540096,480.0
1560576,480.0
1580032,480.0
1600512,1140.0
1620992,560.0
1640448,380.0
1660928,480.0
1680384,180.0
1700864,0.0
1720320,0.0
1740800,940.0
1760256,260.0
1780736,700.0
1800192,120.0
1820672,880.0
1840128,940.0
1860608,520.0
1880064,280.0
1900544,900.0
1920000,700.0
1940480,920.0
1960960,440.0
1980416,520.0
2000896,240.0
2020352,160.0
2040832,40.0
2060288,200.0
2080768,240.0
2100224,80.0
2120704,240.0
2140160,400.0
2160640,800.0
2180096,780.0
2200576,400.0
2220032,100.0
2240512,0.0
2260992,0.0
2280448,0.0
2300928,0.0
2320384,0.0
2340864,0.0
2360320,0.0
2380800,0.0
2400256,0.0
2420736,0.0
2440192,0.0
2460672,0.0
2480128,80.0
2500608,0.0
2520064,0.0
2540544,0.0
2560000,0.0
2580480,0.0
2600960,160.0
2620416,0.0
2640896,0.0
2660352,40.0
2680832,360.0
2700288,240.0
2720768,0.0
2740224,320.0
2760704,240.0
2780160,360.0
2800640,80.0
2820096,280.0
2840576,200.0
2860032,120.0
2880512,120.0
2900992,40.0
2920448,0.0
2940928,320.0
2960384,80.0
2980864,0.0
3000320,0.0
3020800,0.0
3040256,0.0
3060736,0.0
3080192,40.0
3100672,0.0
3120128,0.0
3140608,80.0
3160064,0.0
3180544,140.0
3200000,80.0
3220480,0.0
3240960,40.0
3260416,40.0
3280896,40.0
3300352,100.0
3320832,0.0
3340288,80.0
3360768,80.0
3380224,0.0
3400704,360.0
3420160,80.0
3440640,0.0
3460096,240.0
3480576,180.0
3500032,240.0
3520512,200.0
3540992,80.0
3560448,80.0
3580928,380.0
3600384,280.0
3620864,140.0
3640320,120.0
3660800,260.0
3680256,160.0
3700736,160.0
3720192,240.0
3740672,120.0
3760128,280.0
3780608,160.0
3800064,160.0
3820544,80.0
3840000,40.0
3860480,120.0
3880960,580.0
3900416,280.0
3920896,320.0
3940352,280.0
3960832,280.0
3980288,400.0
4000768,680.0
4020224,700.0
4040704,920.0
4060160,560.0
4080640,360.0
4100096,680.0
4120576,440.0
4140032,520.0
4160512,740.0
4180992,520.0
4200448,480.0
4220928,420.0
4240384,540.0
4260864,700.0
4280320,120.0
4300800,300.0
4320256,100.0
4340736,80.0
4360192,200.0
4380672,40.0
4400128,0.0
4420608,40.0
4440064,0.0
4460544,40.0
4480000,0.0
4500480,0.0
4520960,0.0
4540416,0.0
4560896,0.0
4580352,0.0
4600832,0.0
4620288,0.0
4640768,0.0
4660224,0.0
4680704,0.0
4700160,0.0
4720640,0.0
4740096,0.0
4760576,0.0
4780032,0.0
4800512,0.0
4820992,0.0
4840448,0.0
4860928,0.0
4880384,0.0
4900864,0.0
4920320,0.0
4940800,0.0
4960256,0.0
4980736,0.0
5000192,0.0
