Step,Value
20480,164.0
40960,312.0
60416,248.0
80896,330.0
100352,296.0
120832,244.0
140288,238.0
160768,316.0
180224,304.0
200704,260.0
220160,618.0
240640,272.0
260096,276.0
280576,220.0
300032,320.0
320512,302.0
340992,306.0
360448,286.0
380928,272.0
400384,292.0
420864,276.0
440320,358.0
460800,308.0
480256,284.0
500736,314.0
520192,312.0
540672,290.0
560128,298.0
580608,450.0
600064,322.0
620544,306.0
640000,350.0
660480,316.0
680960,450.0
700416,298.0
720896,322.0
740352,336.0
760832,502.0
780288,334.0
800768,452.0
820224,342.0
840704,446.0
860160,350.0
880640,318.0
900096,336.0
920576,360.0
940032,472.0
960512,426.0
980992,396.0
1000448,484.0
1020928,486.0
1040384,362.0
1060864,420.0
1080320,724.0
1100800,430.0
1120256,592.0
1140736,466.0
1160192,624.0
1180672,394.0
1200128,466.0
1220608,692.0
1240064,660.0
1260544,488.0
1280000,342.0
1300480,462.0
1320960,368.0
1340416,440.0
1360896,330.0
1380352,440.0
1400832,762.0
1420288,676.0
1440768,396.0
1460224,526.0
1480704,648.0
1500160,462.0
1520640,594.0
1540096,832.0
1560576,760.0
1580032,946.0
1600512,454.0
1620992,880.0
1640448,560.0
1660928,626.0
1680384,590.0
1700864,528.0
1720320,826.0
1740800,548.0
1760256,628.0
1780736,814.0
1800192,784.0
1820672,754.0
1840128,778.0
1860608,824.0
1880064,792.0
1900544,606.0
1920000,636.0
1940480,670.0
1960960,670.0
1980416,552.0
2000896,714.0
2020352,838.0
2040832,944.0
2060288,846.0
2080768,540.0
2100224,584.0
2120704,886.0
2140160,766.0
2160640,726.0
2180096,662.0
2200576,582.0
2220032,888.0
2240512,592.0
2260992,810.0
2280448,938.0
2300928,696.0
2320384,752.0
2340864,970.0
2360320,594.0
2380800,738.0
2400256,630.0
2420736,740.0
2440192,910.0
2460672,566.0
2480128,822.0
2500608,820.0
2520064,714.0
2540544,560.0
2560000,710.0
2580480,568.0
2600960,898.0
2620416,860.0
2640896,608.0
2660352,634.0
2680832,930.0
2700288,842.0
2720768,858.0
2740224,880.0
2760704,668.0
2780160,916.0
2800640,784.0
2820096,760.0
2840576,804.0
2860032,1146.0
2880512,978.0
2900992,702.0
2920448,670.0
2940928,722.0
2960384,642.0
2980864,866.0
3000320,920.0
3020800,776.0
3040256,710.0
3060736,960.0
3080192,1004.0
3100672,664.0
3120128,728.0
3140608,980.0
3160064,882.0
3180544,994.0
3200000,752.0
3220480,620.0
3240960,790.0
3260416,770.0
3280896,1094.0
3300352,1036.0
3320832,1296.0
3340288,914.0
3360768,1106.0
3380224,814.0
3400704,890.0
3420160,932.0
3440640,1068.0
3460096,1062.0
3480576,1134.0
3500032,944.0
3520512,880.0
3540992,790.0
3560448,1038.0
3580928,1040.0
3600384,994.0
3620864,904.0
3640320,946.0
3660800,822.0
3680256,1084.0
3700736,1154.0
3720192,952.0
3740672,868.0
3760128,906.0
3780608,1030.0
3800064,1138.0
3820544,1038.0
3840000,1278.0
3860480,1028.0
3880960,904.0
3900416,982.0
3920896,934.0
3940352,1194.0
3960832,1158.0
3980288,844.0
4000768,1182.0
4020224,954.0
4040704,956.0
4060160,762.0
4080640,756.0
4100096,898.0
4120576,1182.0
4140032,850.0
4160512,798.0
4180992,956.0
4200448,820.0
4220928,1276.0
4240384,1070.0
4260864,1258.0
4280320,1064.0
4300800,928.0
4320256,988.0
4340736,1276.0
4360192,736.0
4380672,950.0
4400128,1074.0
4420608,930.0
4440064,894.0
4460544,968.0
4480000,714.0
4500480,950.0
4520960,1102.0
4540416,1378.0
4560896,1260.0
4580352,1056.0
4600832,1174.0
4620288,1176.0
4640768,1286.0
4660224,1282.0
4680704,1292.0
4700160,1196.0
4720640,1322.0
4740096,1248.0
4760576,1176.0
4780032,1186.0
4800512,1696.0
4820992,1496.0
4840448,1040.0
4860928,1262.0
4880384,990.0
4900864,1216.0
4920320,1366.0
4940800,1398.0
4960256,926.0
4980736,1246.0
5000192,1178.0
5020672,984.0
5040128,1170.0
5060608,1050.0
5080064,998.0
5100544,916.0
5120000,1106.0
5140480,1020.0
5160960,912.0
5180416,1278.0
5200896,1234.0
5220352,1094.0
5240832,1172.0
5260288,972.0
5280768,1372.0
5300224,748.0
5320704,942.0
5340160,1234.0
5360640,660.0
5380096,1140.0
5400576,998.0
5420032,1370.0
5440512,964.0
5460992,1176.0
5480448,1432.0
5500928,1082.0
5520384,982.0
5540864,860.0
5560320,1622.0
5580800,1094.0
5600256,1578.0
5620736,1232.0
5640192,1402.0
5660672,1032.0
5680128,1790.0
5700608,1180.0
5720064,1200.0
5740544,1590.0
5760000,1370.0
5780480,1172.0
5800960,1472.0
5820416,1466.0
5840896,1422.0
5860352,582.0
5880832,1500.0
5900288,1618.0
5920768,1308.0
5940224,1680.0
5960704,1308.0
5980160,1578.0
6000640,936.0
6020096,992.0
6040576,1070.0
6060032,1018.0
6080512,1504.0
6100992,1316.0
6120448,1160.0
6140928,706.0
6160384,1004.0
6180864,1580.0
6200320,1318.0
6220800,1434.0
6240256,1190.0
6260736,1610.0
6280192,1464.0
6300672,1610.0
6320128,1262.0
6340608,1044.0
6360064,1194.0
6380544,1616.0
6400000,1614.0
6420480,1490.0
6440960,1366.0
6460416,1260.0
6480896,1324.0
6500352,1206.0
6520832,1378.0
6540288,1262.0
6560768,1206.0
6580224,730.0
6600704,1460.0
6620160,1490.0
6640640,1524.0
6660096,1368.0
6680576,1596.0
6700032,1600.0
6720512,1616.0
6740992,1932.0
6760448,1520.0
6780928,1600.0
6800384,1218.0
6820864,1494.0
6840320,1842.0
6860800,1322.0
6880256,1752.0
6900736,1628.0
6920192,1408.0
6940672,1548.0
6960128,1694.0
6980608,1634.0
7000064,1714.0
7020544,1312.0
7040000,1820.0
7060480,2018.0
7080960,1750.0
7100416,2252.0
7120896,1222.0
7140352,1702.0
7160832,1602.0
7180288,1846.0
7200768,1930.0
7220224,2138.0
7240704,2376.0
7260160,1624.0
7280640,1850.0
7300096,2064.0
7320576,1942.0
7340032,2176.0
7360512,2486.0
7380992,1472.0
7400448,1968.0
7420928,1556.0
7440384,1438.0
7460864,1560.0
7480320,1056.0
7500800,1654.0
7520256,1416.0
7540736,1988.0
7560192,1534.0
7580672,1354.0
7600128,1276.0
7620608,1628.0
7640064,1550.0
7660544,1320.0
7680000,1968.0
7700480,1972.0
7720960,2168.0
7740416,1458.0
7760896,1728.0
7780352,1746.0
7800832,1416.0
7820288,1336.0
7840768,1536.0
7860224,1190.0
7880704,1358.0
7900160,1538.0
7920640,1124.0
7940096,1462.0
7960576,1670.0
7980032,1558.0
8000512,1524.0
8020992,1558.0
8040448,1782.0
8060928,2174.0
8080384,1650.0
8100864,1814.0
8120320,1904.0
8140800,1602.0
8160256,1762.0
8180736,1484.0
8200192,1588.0
8220672,1554.0
8240128,2062.0
8260608,2010.0
8280064,1454.0
8300544,1770.0
8320000,1798.0
8340480,1644.0
8360960,1478.0
8380416,1262.0
8400896,1646.0
8420352,1698.0
8440832,1268.0
8460288,1566.0
8480768,1460.0
8500224,1268.0
8520704,1560.0
8540160,1434.0
8560640,1564.0
8580096,1674.0
8600576,1120.0
8620032,1796.0
8640512,1660.0
8660992,1612.0
8680448,1468.0
8700928,1890.0
8720384,1704.0
8740864,1366.0
8760320,1436.0
8780800,1786.0
8800256,2196.0
8820736,1766.0
8840192,1878.0
8860672,1680.0
8880128,1760.0
8900608,1782.0
8920064,1296.0
8940544,1798.0
8960000,1454.0
8980480,1618.0
9000960,1660.0
9020416,1904.0
9040896,1920.0
9060352,1722.0
9080832,1444.0
9100288,1780.0
9120768,1334.0
9140224,1992.0
9160704,1540.0
9180160,1776.0
9200640,1702.0
9220096,1326.0
9240576,1564.0
9260032,1434.0
9280512,2214.0
9300992,1170.0
9320448,1818.0
9340928,1662.0
9360384,2040.0
9380864,1794.0
9400320,1672.0
9420800,2014.0
9440256,1820.0
9460736,1494.0
9480192,1484.0
9500672,1364.0
9520128,1564.0
9540608,1790.0
9560064,1668.0
9580544,1796.0
9600000,1684.0
9620480,1998.0
9640960,1686.0
9660416,1816.0
9680896,2390.0
9700352,1786.0
9720832,1784.0
9740288,1978.0
9760768,1556.0
9780224,1620.0
9800704,1796.0
9820160,1892.0
9840640,2208.0
9860096,1794.0
9880576,1596.0
9900032,1538.0
9920512,2008.0
9940992,1706.0
9960448,1602.0
9980928,1732.0
10000384,1602.0
10020864,1636.0
10040320,1688.0
10060800,2016.0
10080256,2022.0
10100736,1402.0
10120192,1474.0
10140672,1178.0
10160128,1494.0
10180608,1394.0
10200064,1578.0
10220544,1404.0
10240000,1796.0
10260480,1864.0
10280960,1684.0
10300416,2002.0
10320896,1798.0
10340352,1910.0
10360832,1814.0
10380288,1706.0
10400768,1590.0
10420224,1624.0
10440704,1590.0
10460160,1728.0
10480640,1622.0
10500096,1682.0
10520576,1784.0
10540032,1192.0
10560512,574.0
10580992,892.0
10600448,1084.0
10620928,972.0
10640384,828.0
10660864,826.0
10680320,1174.0
10700800,898.0
10720256,1508.0
10740736,1054.0
10760192,1642.0
10780672,1046.0
10800128,1182.0
10820608,1240.0
10840064,1078.0
10860544,1396.0
10880000,1488.0
10900480,1448.0
10920960,1556.0
10940416,1178.0
10960896,1400.0
10980352,1382.0
11000832,1210.0
11020288,844.0
11040768,1150.0
11060224,1336.0
11080704,1268.0
11100160,1026.0
11120640,992.0
11140096,878.0
11160576,1446.0
11180032,986.0
11200512,1728.0
11220992,858.0
11240448,1358.0
11260928,1654.0
11280384,964.0
11300864,1024.0
11320320,970.0
11340800,1134.0
11360256,988.0
11380736,850.0
11400192,922.0
11420672,1234.0
11440128,1390.0
11460608,1062.0
11480064,1428.0
11500544,1116.0
11520000,904.0
11540480,1210.0
11560960,1194.0
11580416,896.0
11600896,962.0
11620352,952.0
11640832,1190.0
11660288,1390.0
11680768,938.0
11700224,2558.0
11720704,1182.0
11740160,1384.0
11760640,1006.0
11780096,1210.0
11800576,1484.0
11820032,928.0
11840512,832.0
11860992,1706.0
11880448,1060.0
11900928,936.0
11920384,1078.0
11940864,1494.0
11960320,1098.0
11980800,1164.0
12000256,1734.0
12020736,1290.0
12040192,976.0
12060672,1464.0
12080128,1122.0
12100608,1324.0
12120064,2058.0
12140544,2036.0
12160000,822.0
12180480,1052.0
12200960,2040.0
12220416,1558.0
12240896,1150.0
12260352,1488.0
12280832,1582.0
12300288,1266.0
12320768,954.0
12340224,1166.0
12360704,1072.0
12380160,1360.0
12400640,994.0
12420096,1276.0
12440576,990.0
12460032,946.0
12480512,1350.0
12500992,2402.0
12520448,1436.0
12540928,1086.0
12560384,1114.0
12580864,958.0
12600320,1340.0
12620800,972.0
12640256,1490.0
12660736,1144.0
12680192,1406.0
12700672,1290.0
12720128,1076.0
12740608,1804.0
12760064,1120.0
12780544,872.0
12800000,2072.0
12820480,910.0
12840960,986.0
12860416,1696.0
12880896,1516.0
12900352,1122.0
12920832,1306.0
12940288,1530.0
12960768,1516.0
12980224,1198.0
13000704,1402.0
13020160,1306.0
13040640,1004.0
13060096,1280.0
13080576,892.0
13100032,1166.0
13120512,1098.0
13140992,1054.0
13160448,1214.0
13180928,1096.0
13200384,1132.0
13220864,1144.0
13240320,1216.0
13260800,976.0
13280256,1680.0
13300736,1246.0
13320192,1522.0
13340672,1612.0
13360128,1346.0
13380608,1544.0
13400064,1188.0
13420544,1450.0
13440000,1468.0
13460480,2026.0
13480960,986.0
13500416,1442.0
13520896,1192.0
13540352,1934.0
13560832,1146.0
13580288,1128.0
13600768,1140.0
13620224,1532.0
13640704,1648.0
13660160,1412.0
13680640,1208.0
13700096,1842.0
13720576,1242.0
13740032,1444.0
13760512,1546.0
13780992,1390.0
13800448,1248.0
13820928,1454.0
13840384,1504.0
13860864,1130.0
13880320,1538.0
13900800,1434.0
13920256,1442.0
13940736,1528.0
13960192,1042.0
13980672,1340.0
14000128,1240.0
14020608,1356.0
14040064,1624.0
14060544,1446.0
14080000,1406.0
14100480,1732.0
14120960,1438.0
14140416,1956.0
14160896,1862.0
14180352,1134.0
14200832,1454.0
14220288,1164.0
14240768,1254.0
14260224,1660.0
14280704,1248.0
14300160,1366.0
14320640,1260.0
14340096,1134.0
14360576,1256.0
14380032,1578.0
14400512,1142.0
14420992,1356.0
14440448,1684.0
14460928,1446.0
14480384,1012.0
14500864,1668.0
14520320,1180.0
14540800,1394.0
14560256,1420.0
14580736,1528.0
14600192,1436.0
14620672,1488.0
14640128,1768.0
14660608,1398.0
14680064,1074.0
14700544,1652.0
14720000,1658.0
14740480,1590.0
14760960,1608.0
14780416,1476.0
14800896,1610.0
14820352,1496.0
14840832,1774.0
14860288,1368.0
14880768,1496.0
14900224,1486.0
14920704,1630.0
14940160,1444.0
14960640,1806.0
14980096,1522.0
15000576,1394.0
15020032,1394.0
15040512,1822.0
15060992,1630.0
15080448,2118.0
15100928,1706.0
15120384,1248.0
15140864,1226.0
15160320,1618.0
15180800,1608.0
15200256,1282.0
15220736,1412.0
15240192,1428.0
15260672,1708.0
15280128,1306.0
15300608,1210.0
15320064,1878.0
15340544,1268.0
15360000,1224.0
15380480,1896.0
15400960,2156.0
15420416,1402.0
15440896,1832.0
15460352,1652.0
15480832,1534.0
15500288,1482.0
15520768,1816.0
15540224,1552.0
15560704,1790.0
15580160,1804.0
15600640,1632.0
15620096,1730.0
15640576,1506.0
15660032,1416.0
15680512,1724.0
15700992,1722.0
15720448,1552.0
15740928,1524.0
15760384,1746.0
15780864,1734.0
15800320,1540.0
15820800,1368.0
15840256,1768.0
15860736,1674.0
15880192,1550.0
15900672,1918.0
15920128,1424.0
15940608,1470.0
15960064,1864.0
15980544,1746.0
16000000,1560.0
16020480,1438.0
16040960,1854.0
16060416,1626.0
16080896,1464.0
16100352,1636.0
16120832,2008.0
16140288,1654.0
16160768,1948.0
16180224,1596.0
16200704,1388.0
16220160,1486.0
16240640,1840.0
16260096,1426.0
16280576,1686.0
16300032,1744.0
16320512,1486.0
16340992,1184.0
16360448,1084.0
16380928,1428.0
16400384,1406.0
