Step,Value
20480,302.3999938964844
40960,369.6000061035156
60416,340.20001220703125
80896,336.0
100352,310.79998779296875
120832,411.6000061035156
140288,436.79998779296875
160768,369.6000061035156
180224,327.6000061035156
200704,382.20001220703125
220160,373.79998779296875
240640,365.3999938964844
260096,369.6000061035156
280576,449.3999938964844
300032,407.3999938964844
320512,373.79998779296875
340992,336.0
360448,445.20001220703125
380928,466.20001220703125
400384,504.0
420864,516.5999755859375
440320,609.0
460800,562.7999877929688
480256,558.5999755859375
500736,613.2000122070312
520192,533.4000244140625
540672,646.7999877929688
560128,537.5999755859375
580608,646.7999877929688
600064,684.5999755859375
620544,541.7999877929688
640000,625.7999877929688
660480,583.7999877929688
680960,688.7999877929688
700416,554.4000244140625
720896,617.4000244140625
740352,588.0
760832,646.7999877929688
780288,709.7999877929688
800768,705.5999755859375
820224,672.0
840704,705.5999755859375
860160,688.7999877929688
880640,682.4000244140625
900096,829.4000244140625
920576,789.5999755859375
940032,739.2000122070312
960512,705.5999755859375
980992,882.0
1000448,783.2000122070312
1020928,949.2000122070312
1040384,1012.2000122070312
1060864,1407.0
1080320,770.5999755859375
1100800,787.4000244140625
1120256,921.5999755859375
1140736,871.4000244140625
1160192,812.5999755859375
1180672,1001.4000244140625
1200128,814.7999877929688
1220608,940.4000244140625
1240064,1020.4000244140625
1260544,1198.5999755859375
1280000,1167.199951171875
1300480,1967.0
1320960,1404.4000244140625
1340416,1624.5999755859375
1360896,1133.199951171875
1380352,1622.5999755859375
1400832,1475.0
1420288,2042.0
1440768,1892.800048828125
1460224,1108.4000244140625
1480704,1737.199951171875
1500160,1660.5999755859375
1520640,2232.39990234375
1540096,2122.0
1560576,1912.5999755859375
1580032,1472.800048828125
1600512,1454.4000244140625
1620992,961.0
1640448,822.5999755859375
1660928,1382.5999755859375
1680384,1546.5999755859375
1700864,2104.199951171875
1720320,1190.0
1740800,2054.60009765625
1760256,1169.199951171875
1780736,1934.199951171875
1800192,2037.0
1820672,1148.199951171875
1840128,1786.0
1860608,875.0
1880064,2964.39990234375
1900544,1777.5999755859375
1920000,2056.60009765625
1940480,2017.199951171875
1960960,1235.5999755859375
1980416,1685.199951171875
2000896,1801.5999755859375
2020352,2232.800048828125
2040832,2056.39990234375
2060288,2371.0
2080768,1977.0
2100224,1497.5999755859375
2120704,1713.199951171875
2140160,2316.800048828125
2160640,1468.800048828125
2180096,1382.800048828125
2200576,1770.4000244140625
2220032,2610.60009765625
2240512,1903.4000244140625
2260992,2146.39990234375
2280448,2968.60009765625
2300928,2362.39990234375
2320384,1437.800048828125
2340864,2601.39990234375
2360320,1022.7999877929688
2380800,2676.800048828125
2400256,2094.39990234375
2420736,2123.199951171875
2440192,2725.39990234375
2460672,2384.39990234375
2480128,2824.0
2500608,2216.800048828125
2520064,2731.199951171875
2540544,2773.800048828125
2560000,3148.0
2580480,2924.39990234375
2600960,2669.39990234375
2620416,2284.60009765625
2640896,2809.800048828125
2660352,3019.199951171875
2680832,2347.0
2700288,2419.0
2720768,1808.800048828125
2740224,3061.800048828125
2760704,2975.199951171875
2780160,3193.39990234375
2800640,3018.199951171875
2820096,2686.39990234375
2840576,2691.60009765625
2860032,2431.199951171875
2880512,1598.199951171875
2900992,2296.60009765625
2920448,2375.199951171875
2940928,2823.60009765625
2960384,2314.800048828125
2980864,2647.199951171875
3000320,2617.800048828125
3020800,2956.800048828125
3040256,3273.39990234375
3060736,2648.39990234375
3080192,3266.60009765625
3100672,2974.39990234375
3120128,3502.60009765625
3140608,2752.60009765625
3160064,3012.60009765625
3180544,3150.39990234375
3200000,2862.39990234375
3220480,3284.60009765625
3240960,2648.60009765625
3260416,3897.199951171875
3280896,3814.800048828125
3300352,3749.199951171875
3320832,3113.199951171875
3340288,3415.60009765625
3360768,3377.199951171875
3380224,3466.800048828125
3400704,3438.39990234375
3420160,2131.39990234375
3440640,3420.199951171875
3460096,3186.60009765625
3480576,2487.800048828125
3500032,4224.60009765625
3520512,3673.39990234375
3540992,3207.60009765625
3560448,4359.2001953125
3580928,3532.0
3600384,4617.60009765625
3620864,4714.2001953125
3640320,3250.800048828125
3660800,4121.60009765625
3680256,3697.800048828125
3700736,3457.39990234375
3720192,2902.199951171875
3740672,3343.60009765625
3760128,1791.800048828125
3780608,2740.0
3800064,3521.199951171875
3820544,3345.60009765625
3840000,3745.0
3860480,3894.60009765625
3880960,3866.60009765625
3900416,4658.60009765625
3920896,3852.0
3940352,3567.0
3960832,3358.199951171875
3980288,4140.0
4000768,2652.39990234375
4020224,3026.60009765625
4040704,3315.199951171875
4060160,3179.60009765625
4080640,3233.800048828125
4100096,3349.0
4120576,3186.60009765625
4140032,3074.39990234375
4160512,3607.199951171875
4180992,3239.199951171875
4200448,4295.0
4220928,4853.39990234375
4240384,3684.800048828125
4260864,3367.60009765625
4280320,2756.0
4300800,2698.60009765625
4320256,2349.39990234375
4340736,4065.60009765625
4360192,2515.39990234375
4380672,3260.39990234375
4400128,4570.0
4420608,3654.199951171875
4440064,3560.0
4460544,4374.39990234375
4480000,4390.7998046875
4500480,4367.2001953125
4520960,4135.0
4540416,4549.60009765625
4560896,3996.800048828125
4580352,2969.199951171875
4600832,4942.0
4620288,3445.60009765625
4640768,4382.39990234375
4660224,4221.7998046875
4680704,3209.199951171875
4700160,2530.800048828125
4720640,3558.800048828125
4740096,5375.7998046875
4760576,2987.199951171875
4780032,4338.39990234375
4800512,3590.0
4820992,3107.0
4840448,3177.39990234375
4860928,2925.800048828125
4880384,3914.800048828125
4900864,3168.39990234375
4920320,2979.800048828125
4940800,7126.39990234375
4960256,2711.0
4980736,4642.7998046875
5000192,2251.60009765625
5020672,4440.2001953125
5040128,4679.2001953125
5060608,4344.7998046875
5080064,4374.2001953125
5100544,3231.800048828125
5120000,5799.0
5140480,5045.0
5160960,5126.39990234375
5180416,5739.60009765625
5200896,3234.199951171875
5220352,4391.7998046875
5240832,4686.39990234375
5260288,3154.0
5280768,3059.800048828125
5300224,4634.39990234375
5320704,4202.2001953125
5340160,5465.2001953125
5360640,3230.199951171875
5380096,3290.199951171875
5400576,5068.0
5420032,4747.39990234375
5440512,4199.7998046875
5460992,6068.7998046875
5480448,5108.39990234375
5500928,5810.0
5520384,7621.39990234375
5540864,5254.7998046875
5560320,4042.60009765625
5580800,3237.800048828125
5600256,4586.2001953125
5620736,4520.39990234375
5640192,4154.0
5660672,4542.2001953125
5680128,6143.39990234375
5700608,4935.2001953125
5720064,5946.39990234375
5740544,4304.0
5760000,4979.60009765625
5780480,6950.7998046875
5800960,5022.7998046875
5820416,5225.60009765625
5840896,7323.2001953125
5860352,4616.39990234375
5880832,4449.39990234375
5900288,4301.39990234375
5920768,4269.60009765625
5940224,5411.60009765625
5960704,4701.2001953125
5980160,6567.0
6000640,6534.60009765625
6020096,4895.60009765625
6040576,5932.2001953125
6060032,4444.60009765625
6080512,6178.7998046875
6100992,6992.39990234375
6120448,6675.0
6140928,6721.0
6160384,6405.60009765625
6180864,5128.39990234375
6200320,6013.60009765625
6220800,7034.0
6240256,6510.0
6260736,6174.7998046875
6280192,6070.60009765625
6300672,5283.7998046875
6320128,5265.2001953125
6340608,6189.2001953125
6360064,4959.7998046875
6380544,2871.800048828125
6400000,4389.39990234375
6420480,5343.60009765625
6440960,5274.0
6460416,3806.60009765625
6480896,5702.0
6500352,5478.2001953125
6520832,6358.39990234375
6540288,5552.60009765625
6560768,4413.0
6580224,5950.7998046875
6600704,6715.0
6620160,4367.60009765625
6640640,4580.60009765625
6660096,3212.60009765625
6680576,3458.39990234375
6700032,6662.60009765625
6720512,6241.60009765625
6740992,6947.39990234375
6760448,6147.60009765625
6780928,6561.60009765625
6800384,6949.60009765625
6820864,6020.2001953125
6840320,3715.60009765625
6860800,5232.60009765625
6880256,5825.0
6900736,7369.7998046875
6920192,5677.7998046875
6940672,5267.60009765625
6960128,7343.0
6980608,7774.2001953125
7000064,5094.2001953125
7020544,5051.0
7040000,3571.60009765625
7060480,4930.60009765625
7080960,4110.2001953125
7100416,5299.7998046875
7120896,4564.60009765625
7140352,5074.0
7160832,5972.7998046875
7180288,5521.2001953125
7200768,5520.0
7220224,5934.7998046875
7240704,4989.2001953125
7260160,5289.2001953125
7280640,4512.60009765625
7300096,4276.60009765625
7320576,6675.60009765625
7340032,6248.0
7360512,7692.39990234375
7380992,5629.0
7400448,5879.39990234375
7420928,5415.2001953125
7440384,6918.7998046875
7460864,6951.7998046875
7480320,8970.599609375
7500800,7482.39990234375
7520256,6344.39990234375
7540736,5827.39990234375
7560192,5227.7998046875
7580672,8465.7998046875
7600128,4857.2001953125
7620608,5591.39990234375
7640064,7117.2001953125
7660544,7137.2001953125
7680000,5908.60009765625
7700480,4766.39990234375
7720960,6780.39990234375
7740416,6988.60009765625
7760896,7804.0
7780352,8426.400390625
7800832,4665.2001953125
7820288,4646.7998046875
7840768,4297.0
7860224,6829.39990234375
7880704,5231.39990234375
7900160,4246.39990234375
7920640,4463.2001953125
7940096,5346.2001953125
7960576,6594.7998046875
7980032,7080.2001953125
8000512,7465.39990234375
8020992,8446.400390625
8040448,5653.7998046875
8060928,8619.400390625
8080384,8431.400390625
8100864,8115.7998046875
8120320,11300.400390625
