Step,Value
20480,864.0
40960,1274.0
60416,1376.0
80896,998.0
100352,1336.0
120832,1284.0
140288,1512.0
160768,1606.0
180224,1580.0
200704,1602.0
220160,1084.0
240640,1254.0
260096,1510.0
280576,1270.0
300032,1294.0
320512,1408.0
340992,1460.0
360448,1250.0
380928,1162.0
400384,958.0
420864,1142.0
440320,1406.0
460800,1312.0
480256,1088.0
500736,982.0
520192,1120.0
540672,1490.0
560128,1156.0
580608,1662.0
600064,1642.0
620544,1038.0
640000,1554.0
660480,1186.0
680960,1136.0
700416,1190.0
720896,1988.0
740352,1434.0
760832,1168.0
780288,2034.0
800768,1490.0
820224,1036.0
840704,1660.0
860160,1264.0
880640,1348.0
900096,1502.0
920576,1370.0
940032,1396.0
960512,1576.0
980992,1718.0
1000448,1042.0
1020928,1026.0
1040384,1588.0
1060864,1224.0
1080320,1068.0
1100800,1064.0
1120256,1540.0
1140736,1378.0
1160192,1442.0
1180672,1148.0
1200128,1370.0
1220608,900.0
1240064,1096.0
1260544,1922.0
1280000,890.0
1300480,1488.0
1320960,1272.0
1340416,1692.0
1360896,1344.0
1380352,1574.0
1400832,1506.0
1420288,1280.0
1440768,1788.0
1460224,1200.0
1480704,1662.0
1500160,1406.0
1520640,1120.0
1540096,1322.0
1560576,1286.0
1580032,1258.0
1600512,1542.0
1620992,1420.0
1640448,1600.0
1660928,1624.0
1680384,2012.0
1700864,1886.0
1720320,1518.0
1740800,1828.0
1760256,1380.0
1780736,1818.0
1800192,2062.0
1820672,1562.0
1840128,1274.0
1860608,1602.0
1880064,1496.0
1900544,1330.0
1920000,1644.0
1940480,1896.0
1960960,1296.0
1980416,1872.0
2000896,1736.0
2020352,1520.0
2040832,1708.0
2060288,1496.0
2080768,1846.0
2100224,1586.0
2120704,1164.0
2140160,1938.0
2160640,1972.0
2180096,1798.0
2200576,1500.0
2220032,1506.0
2240512,2016.0
2260992,1624.0
2280448,1558.0
2300928,1474.0
2320384,1918.0
2340864,1428.0
2360320,1954.0
2380800,1840.0
2400256,1780.0
2420736,1546.0
2440192,1528.0
2460672,1922.0
2480128,1698.0
2500608,1178.0
2520064,1122.0
2540544,1386.0
2560000,1622.0
2580480,1434.0
2600960,1562.0
2620416,1364.0
2640896,1320.0
2660352,1440.0
2680832,1854.0
2700288,1900.0
2720768,1502.0
2740224,1692.0
2760704,1502.0
2780160,1578.0
2800640,1280.0
2820096,1700.0
2840576,1262.0
2860032,1338.0
2880512,1486.0
2900992,1382.0
2920448,1690.0
2940928,1642.0
2960384,1370.0
2980864,1274.0
3000320,2030.0
3020800,1840.0
3040256,1794.0
3060736,1240.0
3080192,1352.0
3100672,1492.0
3120128,1448.0
3140608,1190.0
3160064,1392.0
3180544,1356.0
3200000,1788.0
3220480,1804.0
3240960,1684.0
3260416,1506.0
3280896,1396.0
3300352,1382.0
3320832,1090.0
3340288,1262.0
3360768,2110.0
3380224,1954.0
3400704,1618.0
3420160,1914.0
3440640,1202.0
3460096,1824.0
3480576,1530.0
3500032,2206.0
3520512,1118.0
3540992,2258.0
3560448,1590.0
3580928,1616.0
3600384,1674.0
3620864,1714.0
3640320,1970.0
3660800,1300.0
3680256,1780.0
3700736,1446.0
3720192,1370.0
3740672,1736.0
3760128,1816.0
3780608,2128.0
3800064,2144.0
3820544,1898.0
3840000,2072.0
3860480,2186.0
3880960,1884.0
3900416,1928.0
3920896,1184.0
3940352,2212.0
3960832,1798.0
3980288,1838.0
4000768,1542.0
4020224,1846.0
4040704,2132.0
4060160,1674.0
4080640,1878.0
4100096,2186.0
4120576,2268.0
4140032,1978.0
4160512,1810.0
4180992,1786.0
4200448,1536.0
4220928,1658.0
4240384,1816.0
4260864,1610.0
4280320,2044.0
4300800,1916.0
4320256,2322.0
4340736,1626.0
4360192,2192.0
4380672,1304.0
4400128,1618.0
4420608,1136.0
4440064,1418.0
4460544,1304.0
4480000,1990.0
4500480,1562.0
4520960,1732.0
4540416,2094.0
4560896,1746.0
4580352,1284.0
4600832,1452.0
4620288,1704.0
4640768,1584.0
4660224,1530.0
4680704,1500.0
4700160,1290.0
4720640,1112.0
4740096,1104.0
4760576,1216.0
4780032,1298.0
4800512,1886.0
4820992,1898.0
4840448,1600.0
4860928,1336.0
4880384,1218.0
4900864,1744.0
4920320,1498.0
4940800,1330.0
4960256,1564.0
4980736,1244.0
5000192,1598.0
5020672,1266.0
5040128,1706.0
5060608,1120.0
5080064,1240.0
5100544,1278.0
5120000,1272.0
5140480,1396.0
5160960,1660.0
5180416,1292.0
5200896,1428.0
5220352,1644.0
5240832,1380.0
5260288,1548.0
5280768,1816.0
5300224,1862.0
5320704,1360.0
5340160,1420.0
5360640,1180.0
5380096,1682.0
5400576,1440.0
5420032,1286.0
5440512,1676.0
5460992,1504.0
5480448,2056.0
5500928,2370.0
5520384,1756.0
5540864,1978.0
5560320,2500.0
5580800,2162.0
5600256,2046.0
5620736,1728.0
5640192,1814.0
5660672,1848.0
5680128,1506.0
5700608,1862.0
5720064,1872.0
5740544,1836.0
5760000,1694.0
5780480,1736.0
5800960,1310.0
5820416,1404.0
5840896,1662.0
5860352,1538.0
5880832,1772.0
5900288,1428.0
5920768,1690.0
5940224,1858.0
5960704,2362.0
5980160,1700.0
6000640,1774.0
6020096,1376.0
6040576,1392.0
6060032,1866.0
6080512,1610.0
6100992,1734.0
6120448,1464.0
6140928,1668.0
6160384,1718.0
6180864,1730.0
6200320,2364.0
6220800,1916.0
6240256,1588.0
6260736,1852.0
6280192,1646.0
6300672,1892.0
6320128,1560.0
6340608,1334.0
6360064,1450.0
6380544,1804.0
6400000,1990.0
6420480,1636.0
6440960,2218.0
6460416,1588.0
6480896,1536.0
6500352,1918.0
6520832,1502.0
6540288,1738.0
6560768,1470.0
6580224,1938.0
6600704,1858.0
6620160,1434.0
6640640,1792.0
6660096,2388.0
6680576,1900.0
6700032,2196.0
6720512,1952.0
6740992,1572.0
6760448,1892.0
6780928,1732.0
