Step,Value
20480,19500.0
40960,31300.0
60416,23180.0
80896,28120.0
100352,15480.0
120832,24960.0
140288,22160.0
160768,25540.0
180224,23620.0
200704,27840.0
220160,27720.0
240640,26380.0
260096,24300.0
280576,33560.0
300032,23200.0
320512,26900.0
340992,27860.0
360448,34560.0
380928,29120.0
400384,30080.0
420864,28740.0
440320,32000.0
460800,25600.0
480256,33300.0
500736,37120.0
520192,32520.0
540672,32260.0
560128,31260.0
580608,35720.0
600064,23800.0
620544,34160.0
640000,25600.0
660480,40680.0
680960,32540.0
700416,36320.0
720896,32580.0
740352,29040.0
760832,29940.0
780288,38040.0
800768,28500.0
820224,30160.0
840704,39000.0
860160,34500.0
880640,30800.0
900096,45020.0
920576,44500.0
940032,46060.0
960512,44920.0
980992,45280.0
1000448,50580.0
1020928,52860.0
1040384,61620.0
1060864,54260.0
1080320,46740.0
1100800,69560.0
1120256,65120.0
1140736,61360.0
1160192,55140.0
1180672,50920.0
1200128,57340.0
1220608,59020.0
1240064,67220.0
1260544,73840.0
1280000,67380.0
1300480,91340.0
1320960,75160.0
1340416,96020.0
1360896,74360.0
1380352,83500.0
1400832,79800.0
1420288,80280.0
1440768,105460.0
1460224,161340.0
1480704,98440.0
1500160,163480.0
1520640,136120.0
1540096,163280.0
1560576,160740.0
1580032,129320.0
1600512,152300.0
1620992,188600.0
1640448,193920.0
1660928,677760.0
1680384,2854700.0
1700864,2765060.0
1720320,2265200.0
1740800,2737760.0
1760256,2861220.0
1780736,2251600.0
1800192,2301260.0
1820672,2836800.0
1840128,2274660.0
1860608,2852220.0
1880064,2968060.0
1900544,2376480.0
1920000,2912480.0
1940480,2922540.0
1960960,2944780.0
1980416,2976600.0
2000896,3020680.0
2020352,2991660.0
2040832,2935800.0
2060288,2388240.0
2080768,2921740.0
2100224,1194000.0
2120704,2398420.0
2140160,3045680.0
2160640,2405500.0
2180096,1781400.0
2200576,2385980.0
2220032,2493120.0
2240512,1825140.0
2260992,2488120.0
2280448,1885800.0
2300928,2509440.0
2320384,3122780.0
2340864,1861960.0
2360320,619440.0
2380800,1252300.0
2400256,1902900.0
2420736,651060.0
2440192,1258940.0
2460672,2484460.0
2480128,1276540.0
2500608,3159500.0
2520064,3103540.0
2540544,2504340.0
2560000,1887140.0
2580480,2525840.0
2600960,3214040.0
2620416,2501840.0
2640896,2512640.0
2660352,1920480.0
2680832,2538420.0
2700288,1917360.0
2720768,1906000.0
2740224,2573180.0
2760704,3171220.0
2780160,2577840.0
2800640,1938320.0
2820096,1273740.0
2840576,2582920.0
2860032,3215000.0
2880512,2565160.0
2900992,1939220.0
2920448,2598840.0
2940928,2560480.0
2960384,1936280.0
2980864,3175500.0
3000320,2528060.0
3020800,2534840.0
3040256,1929660.0
3060736,2570880.0
3080192,2518900.0
3100672,2614060.0
3120128,1943040.0
3140608,2563040.0
3160064,2546420.0
3180544,2578840.0
3200000,1930220.0
3220480,1963460.0
3240960,1917380.0
3260416,1271960.0
3280896,3212600.0
3300352,2605420.0
3320832,1928100.0
3340288,3226560.0
3360768,3246780.0
3380224,3178760.0
3400704,1907900.0
3420160,2575700.0
3440640,3237820.0
3460096,3244480.0
3480576,2587100.0
3500032,3225340.0
3520512,3193940.0
3540992,3266460.0
3560448,1299260.0
3580928,2565680.0
3600384,2600640.0
3620864,2576440.0
3640320,3222680.0
3660800,3253320.0
3680256,3239960.0
3700736,2538560.0
3720192,3246160.0
3740672,3239640.0
3760128,2571480.0
3780608,2568980.0
3800064,1984680.0
3820544,3247740.0
3840000,1941720.0
3860480,2632860.0
3880960,2605640.0
3900416,3244540.0
3920896,3304720.0
3940352,1978120.0
3960832,2627540.0
3980288,3280980.0
4000768,2619040.0
4020224,3213520.0
4040704,1983660.0
4060160,3281580.0
4080640,3264720.0
4100096,3241740.0
4120576,3247060.0
4140032,2621540.0
4160512,3267480.0
4180992,3233780.0
4200448,3268600.0
4220928,3251380.0
4240384,3253820.0
4260864,3299360.0
4280320,3286980.0
4300800,3295420.0
4320256,3267380.0
4340736,3263580.0
4360192,2623660.0
4380672,3283380.0
4400128,2649480.0
4420608,2626860.0
4440064,3231440.0
4460544,2586960.0
4480000,3312380.0
4500480,3265820.0
4520960,3280040.0
4540416,3232340.0
4560896,3250300.0
4580352,3306140.0
4600832,2641480.0
4620288,3286900.0
4640768,2594240.0
4660224,2598520.0
4680704,3270780.0
4700160,3284580.0
4720640,3301960.0
4740096,2638020.0
4760576,3284400.0
4780032,3251380.0
4800512,3321220.0
4820992,2647000.0
4840448,3263620.0
4860928,3271260.0
4880384,2680280.0
4900864,2650320.0
4920320,2614300.0
4940800,3252840.0
4960256,2003260.0
4980736,3289400.0
5000192,2012440.0
