Step,Value
20480,20.0
40960,14.0
60416,20.0
80896,16.0
100352,16.0
120832,26.0
140288,18.0
160768,12.0
180224,16.0
200704,8.0
220160,20.0
240640,16.0
260096,20.0
280576,26.0
300032,16.0
320512,20.0
340992,26.0
360448,16.0
380928,42.0
400384,30.0
420864,34.0
440320,20.0
460800,44.0
480256,26.0
500736,28.0
520192,36.0
540672,24.0
560128,38.0
580608,50.0
600064,16.0
620544,26.0
640000,18.0
660480,32.0
680960,42.0
700416,24.0
720896,42.0
740352,44.0
760832,38.0
780288,42.0
800768,36.0
820224,28.0
840704,30.0
860160,42.0
880640,34.0
900096,54.0
920576,58.0
940032,62.0
960512,78.0
980992,100.0
1000448,332.0
1020928,504.0
1040384,438.0
1060864,568.0
1080320,572.0
1100800,592.0
1120256,554.0
1140736,730.0
1160192,684.0
1180672,702.0
1200128,646.0
1220608,738.0
1240064,716.0
1260544,748.0
1280000,772.0
1300480,744.0
1320960,762.0
1340416,738.0
1360896,696.0
1380352,744.0
1400832,698.0
1420288,714.0
1440768,776.0
1460224,786.0
1480704,730.0
1500160,756.0
1520640,708.0
1540096,750.0
1560576,840.0
1580032,782.0
1600512,794.0
1620992,824.0
1640448,868.0
1660928,908.0
1680384,856.0
1700864,838.0
1720320,882.0
1740800,886.0
1760256,910.0
1780736,712.0
1800192,836.0
1820672,862.0
1840128,830.0
1860608,856.0
1880064,898.0
1900544,832.0
1920000,890.0
1940480,948.0
1960960,952.0
1980416,890.0
2000896,892.0
2020352,972.0
2040832,1060.0
2060288,1002.0
2080768,970.0
2100224,890.0
2120704,834.0
2140160,918.0
2160640,968.0
2180096,984.0
2200576,1016.0
2220032,1030.0
2240512,1024.0
2260992,1120.0
2280448,964.0
2300928,1040.0
2320384,1032.0
2340864,1048.0
2360320,1134.0
2380800,1062.0
2400256,1058.0
2420736,1068.0
2440192,1074.0
2460672,1084.0
2480128,1166.0
2500608,1084.0
2520064,1122.0
2540544,916.0
2560000,1046.0
2580480,1104.0
2600960,1094.0
2620416,1052.0
2640896,974.0
2660352,994.0
2680832,1174.0
2700288,1130.0
2720768,1152.0
2740224,1038.0
2760704,1080.0
2780160,1064.0
2800640,1046.0
2820096,946.0
2840576,1064.0
2860032,1040.0
2880512,1022.0
2900992,1134.0
2920448,1076.0
2940928,1058.0
2960384,1140.0
2980864,1172.0
3000320,1196.0
3020800,1198.0
3040256,1046.0
3060736,1104.0
3080192,1152.0
3100672,1092.0
3120128,1238.0
3140608,1146.0
3160064,1194.0
3180544,1226.0
3200000,1182.0
3220480,1200.0
3240960,1196.0
3260416,1130.0
3280896,1142.0
3300352,1152.0
3320832,1098.0
3340288,1166.0
3360768,1218.0
3380224,1102.0
3400704,1150.0
3420160,1000.0
3440640,1172.0
3460096,1210.0
3480576,828.0
3500032,974.0
3520512,1176.0
3540992,1146.0
3560448,1086.0
3580928,1000.0
3600384,1184.0
3620864,1038.0
3640320,1060.0
3660800,1084.0
3680256,1092.0
3700736,1188.0
3720192,1116.0
3740672,1128.0
3760128,954.0
3780608,1196.0
3800064,1138.0
3820544,1204.0
3840000,1098.0
3860480,1134.0
3880960,1142.0
3900416,1128.0
3920896,1090.0
3940352,1020.0
3960832,1116.0
3980288,1078.0
4000768,1130.0
4020224,1048.0
4040704,876.0
4060160,1134.0
4080640,1126.0
4100096,1060.0
4120576,892.0
4140032,1084.0
4160512,1146.0
4180992,1150.0
4200448,1160.0
4220928,1002.0
4240384,1138.0
4260864,1000.0
4280320,1172.0
4300800,1150.0
4320256,1118.0
4340736,1086.0
4360192,1058.0
4380672,1162.0
4400128,1006.0
4420608,1122.0
4440064,1150.0
4460544,1062.0
4480000,1040.0
4500480,1174.0
4520960,1182.0
4540416,1140.0
4560896,1166.0
4580352,1180.0
4600832,1082.0
4620288,1170.0
4640768,1174.0
4660224,1150.0
4680704,1144.0
4700160,1208.0
4720640,1168.0
4740096,1116.0
4760576,1162.0
4780032,1098.0
4800512,1132.0
4820992,1172.0
4840448,1120.0
4860928,1162.0
4880384,1166.0
4900864,1164.0
4920320,1156.0
4940800,1164.0
4960256,1196.0
4980736,1246.0
5000192,1082.0
5020672,970.0
5040128,1164.0
5060608,1134.0
5080064,1204.0
5100544,1260.0
5120000,1122.0
5140480,1156.0
5160960,1272.0
5180416,1224.0
5200896,1160.0
5220352,1126.0
5240832,1208.0
5260288,1062.0
5280768,1170.0
5300224,1082.0
5320704,1146.0
5340160,962.0
5360640,1194.0
5380096,1152.0
5400576,1134.0
5420032,1228.0
5440512,1084.0
5460992,1048.0
5480448,1062.0
5500928,1130.0
5520384,1158.0
5540864,1182.0
5560320,1148.0
5580800,1246.0
5600256,1170.0
5620736,1232.0
5640192,1156.0
5660672,1116.0
5680128,1058.0
5700608,1094.0
5720064,1204.0
5740544,1210.0
5760000,1158.0
5780480,1150.0
5800960,1094.0
5820416,1072.0
5840896,1176.0
5860352,1166.0
5880832,1150.0
5900288,1194.0
5920768,1132.0
5940224,1124.0
5960704,1170.0
5980160,1216.0
6000640,1144.0
6020096,1138.0
6040576,1146.0
6060032,1156.0
6080512,1254.0
