Step,Value
20480,2527.0
40960,1599.800048828125
60416,2840.60009765625
80896,1819.5999755859375
100352,2228.60009765625
120832,2814.199951171875
140288,1763.199951171875
160768,3289.199951171875
180224,4718.60009765625
200704,4180.0
220160,2135.60009765625
240640,1952.199951171875
260096,2870.0
280576,2800.39990234375
300032,2003.0
320512,2243.60009765625
340992,2701.60009765625
360448,2813.39990234375
380928,3614.199951171875
400384,1904.0
420864,1961.0
440320,2511.0
460800,3247.800048828125
480256,2849.0
500736,1850.4000244140625
520192,2237.39990234375
540672,3343.199951171875
560128,2353.800048828125
580608,2928.0
600064,2080.39990234375
620544,2348.199951171875
640000,2225.800048828125
660480,2781.39990234375
680960,3294.39990234375
700416,3258.800048828125
720896,2929.0
740352,1702.0
760832,3200.60009765625
780288,3214.199951171875
800768,2460.199951171875
820224,2926.39990234375
840704,2783.39990234375
860160,2155.800048828125
880640,3077.800048828125
900096,2418.0
920576,2864.39990234375
940032,4126.7998046875
960512,1993.5999755859375
980992,2513.0
1000448,4896.7998046875
1020928,2890.800048828125
1040384,5127.0
1060864,2264.0
1080320,3143.800048828125
1100800,3780.60009765625
1120256,4432.0
1140736,3211.39990234375
1160192,2893.0
1180672,7191.7998046875
1200128,3208.60009765625
1220608,2234.0
1240064,2656.60009765625
1260544,3693.0
1280000,4181.0
1300480,3830.0
1320960,2595.39990234375
1340416,2232.60009765625
1360896,2038.4000244140625
1380352,4859.60009765625
1400832,2348.39990234375
1420288,2283.199951171875
1440768,4794.2001953125
1460224,5350.39990234375
1480704,5450.7998046875
1500160,2354.60009765625
1520640,5266.7998046875
1540096,1504.199951171875
1560576,3858.39990234375
1580032,2989.39990234375
1600512,2001.5999755859375
1620992,3496.0
1640448,3695.60009765625
1660928,6580.7998046875
1680384,3856.0
1700864,1752.0
1720320,2083.60009765625
1740800,3640.0
1760256,3337.39990234375
1780736,3113.39990234375
1800192,3498.800048828125
1820672,2095.60009765625
1840128,4619.60009765625
1860608,4404.60009765625
1880064,2804.800048828125
1900544,2816.199951171875
1920000,3360.39990234375
1940480,3090.39990234375
1960960,3402.39990234375
1980416,2740.60009765625
2000896,2636.39990234375
2020352,3549.199951171875
2040832,3931.0
2060288,2702.0
2080768,2606.39990234375
2100224,5278.39990234375
2120704,3393.0
2140160,2571.199951171875
2160640,2586.0
2180096,3193.60009765625
2200576,2571.800048828125
2220032,2953.800048828125
2240512,6089.60009765625
2260992,4563.2001953125
2280448,2404.800048828125
2300928,2515.39990234375
2320384,5780.39990234375
2340864,3872.39990234375
2360320,3568.60009765625
2380800,1694.4000244140625
2400256,4876.2001953125
2420736,4585.39990234375
2440192,2930.60009765625
2460672,2577.39990234375
2480128,2936.199951171875
2500608,2849.0
2520064,3256.0
2540544,3781.0
2560000,2199.800048828125
2580480,4160.0
2600960,3195.199951171875
2620416,3274.199951171875
2640896,3304.800048828125
2660352,2741.60009765625
2680832,3594.60009765625
2700288,3504.60009765625
2720768,2814.39990234375
2740224,3054.800048828125
2760704,4792.7998046875
2780160,3176.199951171875
2800640,2437.199951171875
2820096,3218.39990234375
2840576,2746.60009765625
2860032,3590.0
2880512,1996.5999755859375
2900992,2362.60009765625
2920448,2946.39990234375
2940928,3077.39990234375
2960384,2939.800048828125
2980864,3971.800048828125
3000320,2377.60009765625
3020800,2553.800048828125
3040256,1805.4000244140625
3060736,2803.39990234375
3080192,2246.60009765625
3100672,3057.0
3120128,3499.199951171875
3140608,3654.60009765625
3160064,3737.800048828125
3180544,3786.60009765625
3200000,3887.60009765625
3220480,3827.800048828125
3240960,3642.800048828125
3260416,3499.0
3280896,3602.0
3300352,4852.39990234375
3320832,2272.199951171875
3340288,2756.0
3360768,2912.0
3380224,2531.199951171875
3400704,3390.0
3420160,5271.60009765625
3440640,2765.800048828125
3460096,2693.800048828125
3480576,4023.39990234375
3500032,3812.60009765625
3520512,3414.800048828125
3540992,3108.39990234375
3560448,3631.39990234375
3580928,4277.2001953125
3600384,3403.0
3620864,3025.800048828125
3640320,2215.39990234375
3660800,2008.5999755859375
3680256,2674.39990234375
3700736,2331.199951171875
3720192,3163.60009765625
3740672,3263.800048828125
3760128,3675.39990234375
3780608,3738.199951171875
3800064,2880.0
3820544,4487.7998046875
3840000,3140.39990234375
3860480,3385.0
3880960,3706.199951171875
3900416,1887.4000244140625
3920896,3784.0
3940352,2772.800048828125
3960832,4074.800048828125
3980288,6346.39990234375
4000768,2160.39990234375
4020224,3972.60009765625
4040704,5290.39990234375
4060160,4468.60009765625
4080640,2678.39990234375
4100096,7062.0
4120576,5517.60009765625
4140032,3714.199951171875
4160512,3790.199951171875
4180992,4242.39990234375
4200448,3144.60009765625
4220928,3848.60009765625
4240384,3050.0
4260864,3039.800048828125
4280320,3693.0
4300800,3146.800048828125
4320256,2678.0
4340736,3634.0
4360192,2560.800048828125
4380672,3138.60009765625
4400128,2255.199951171875
4420608,5045.0
4440064,4470.2001953125
4460544,4532.0
4480000,3440.60009765625
4500480,4262.2001953125
4520960,3311.60009765625
4540416,5612.0
4560896,4258.39990234375
4580352,4177.0
4600832,2818.800048828125
4620288,3332.0
4640768,3990.199951171875
4660224,4661.0
4680704,3047.60009765625
4700160,3448.199951171875
4720640,1595.199951171875
4740096,4097.39990234375
4760576,3760.800048828125
4780032,2759.800048828125
4800512,2390.800048828125
4820992,4370.7998046875
4840448,2826.199951171875
4860928,5513.7998046875
4880384,2869.0
4900864,3098.39990234375
4920320,3900.39990234375
4940800,2655.0
4960256,4153.7998046875
4980736,3064.60009765625
5000192,2537.60009765625
5020672,4488.60009765625
5040128,2851.0
5060608,3588.800048828125
5080064,3796.39990234375
5100544,2715.199951171875
5120000,3137.0
5140480,3416.0
5160960,2938.39990234375
5180416,3497.0
5200896,3500.0
5220352,4519.2001953125
5240832,3013.199951171875
5260288,3317.60009765625
5280768,2847.60009765625
5300224,3273.199951171875
5320704,2584.39990234375
5340160,3793.0
5360640,3078.60009765625
5380096,2943.39990234375
5400576,3804.800048828125
5420032,3687.800048828125
5440512,3524.800048828125
5460992,3734.199951171875
5480448,3458.199951171875
5500928,2144.0
5520384,2469.199951171875
5540864,5420.39990234375
5560320,3461.199951171875
5580800,4327.60009765625
5600256,3103.60009765625
5620736,4467.7998046875
5640192,4068.0
5660672,3615.199951171875
5680128,4228.39990234375
5700608,4038.39990234375
5720064,3742.199951171875
5740544,3554.39990234375
5760000,2074.39990234375
5780480,4937.7998046875
5800960,4829.39990234375
5820416,5912.7998046875
5840896,3612.199951171875
5860352,6668.60009765625
5880832,3495.800048828125
5900288,4830.7998046875
5920768,3272.199951171875
5940224,2210.800048828125
5960704,5380.60009765625
5980160,3166.199951171875
6000640,3191.60009765625
6020096,5377.60009765625
6040576,3908.800048828125
6060032,3580.39990234375
6080512,4358.2001953125
6100992,3840.0
6120448,3572.199951171875
6140928,3050.39990234375
6160384,2531.800048828125
6180864,2877.60009765625
6200320,3709.199951171875
6220800,2690.800048828125
6240256,6300.60009765625
6260736,5535.2001953125
6280192,3966.199951171875
6300672,3235.800048828125
6320128,5367.0
6340608,2592.199951171875
6360064,4265.2001953125
6380544,3419.199951171875
6400000,4138.39990234375
6420480,4621.2001953125
6440960,2611.0
6460416,4607.7998046875
6480896,3427.39990234375
6500352,3123.0
6520832,2472.39990234375
6540288,2640.199951171875
6560768,4511.39990234375
6580224,3204.60009765625
6600704,3284.0
6620160,4256.2001953125
6640640,3328.60009765625
6660096,2994.800048828125
6680576,2662.39990234375
6700032,3174.800048828125
6720512,3353.39990234375
6740992,3905.199951171875
6760448,4040.39990234375
6780928,7116.39990234375
6800384,2985.60009765625
6820864,5822.2001953125
6840320,4354.60009765625
6860800,4477.2001953125
6880256,3327.800048828125
6900736,2352.199951171875
6920192,4819.39990234375
6940672,5999.2001953125
6960128,3594.39990234375
6980608,3077.199951171875
7000064,6131.0
7020544,3343.39990234375
7040000,4513.2001953125
7060480,4850.60009765625
7080960,3041.800048828125
7100416,2952.60009765625
7120896,5276.2001953125
7140352,3530.0
7160832,5367.2001953125
7180288,4678.60009765625
7200768,5193.60009765625
7220224,2968.39990234375
7240704,4156.60009765625
7260160,3415.39990234375
7280640,3784.199951171875
7300096,3274.39990234375
7320576,4155.60009765625
7340032,4466.60009765625
7360512,5797.2001953125
7380992,3061.39990234375
7400448,2841.60009765625
7420928,4640.7998046875
7440384,2987.800048828125
7460864,3474.0
7480320,3129.800048828125
7500800,3934.60009765625
7520256,4572.0
7540736,2665.199951171875
7560192,3228.199951171875
7580672,4236.60009765625
7600128,3797.199951171875
7620608,2487.60009765625
7640064,3200.39990234375
7660544,4837.0
7680000,2711.800048828125
7700480,3288.60009765625
7720960,5338.2001953125
7740416,3381.800048828125
7760896,4815.7998046875
7780352,3581.0
7800832,5796.2001953125
7820288,2796.0
7840768,2831.0
7860224,3147.39990234375
7880704,5144.39990234375
7900160,3594.39990234375
7920640,3674.60009765625
7940096,3196.39990234375
7960576,1924.199951171875
7980032,4182.60009765625
8000512,2607.800048828125
8020992,3217.800048828125
8040448,4240.7998046875
8060928,4045.0
8080384,3812.0
8100864,4100.7998046875
8120320,4422.39990234375
8140800,4356.7998046875
8160256,3822.39990234375
8180736,3908.199951171875
8200192,5076.0
8220672,4701.60009765625
8240128,3896.199951171875
8260608,5480.39990234375
8280064,5131.60009765625
8300544,3530.800048828125
8320000,2677.39990234375
8340480,4159.0
8360960,6112.0
8380416,3921.60009765625
8400896,4575.7998046875
8420352,2747.800048828125
8440832,6650.7998046875
8460288,3256.800048828125
8480768,2372.60009765625
8500224,2690.0
8520704,2872.199951171875
8540160,5392.2001953125
8560640,5212.60009765625
8580096,4192.60009765625
8600576,4605.2001953125
8620032,3522.39990234375
8640512,3188.800048828125
8660992,3437.800048828125
8680448,3629.39990234375
8700928,4087.0
8720384,3022.800048828125
8740864,3913.60009765625
8760320,3388.39990234375
8780800,3403.800048828125
8800256,3480.199951171875
8820736,4871.2001953125
8840192,4683.7998046875
8860672,5219.7998046875
8880128,3078.60009765625
8900608,2689.0
8920064,2960.39990234375
8940544,3167.0
8960000,4059.199951171875
8980480,3292.800048828125
9000960,3633.0
9020416,2789.800048828125
9040896,3888.800048828125
9060352,2449.39990234375
9080832,3235.60009765625
9100288,4941.39990234375
9120768,3771.0
9140224,5513.0
9160704,3976.60009765625
9180160,3582.60009765625
9200640,5384.0
9220096,2485.800048828125
9240576,4693.60009765625
9260032,4288.39990234375
9280512,2318.39990234375
9300992,2604.199951171875
9320448,4390.7998046875
9340928,3152.800048828125
9360384,3490.60009765625
9380864,5017.0
9400320,3584.60009765625
9420800,3601.0
9440256,5152.0
9460736,4463.7998046875
9480192,4874.2001953125
9500672,4118.60009765625
9520128,5065.60009765625
9540608,3522.0
9560064,3601.199951171875
9580544,3976.0
9600000,3190.800048828125
9620480,5013.0
9640960,3988.0
9660416,3628.199951171875
9680896,3670.60009765625
9700352,4848.7998046875
9720832,4098.7998046875
9740288,3792.0
9760768,3524.39990234375
9780224,6661.7998046875
9800704,3248.39990234375
9820160,3578.39990234375
9840640,4092.800048828125
9860096,3433.800048828125
9880576,3566.0
9900032,3051.800048828125
9920512,4172.0
9940992,4986.7998046875
9960448,2214.0
9980928,3505.0
10000384,2910.0
10020864,3595.0
10040320,3275.199951171875
10060800,4767.0
10080256,3412.0
10100736,2408.0
10120192,2912.0
10140672,4303.0
10160128,2447.60009765625
10180608,3004.199951171875
10200064,4452.2001953125
10220544,2958.199951171875
10240000,3434.800048828125
10260480,5191.60009765625
10280960,3803.199951171875
10300416,3546.60009765625
10320896,3523.199951171875
10340352,5002.0
10360832,3769.0
10380288,3025.39990234375
10400768,3560.199951171875
10420224,5788.0
10440704,4520.7998046875
10460160,4772.0
10480640,5207.2001953125
10500096,4535.0
10520576,4537.2001953125
10540032,3925.60009765625
10560512,3630.800048828125
10580992,5921.2001953125
10600448,4255.2001953125
10620928,4481.60009765625
10640384,4578.2001953125
10660864,3396.39990234375
10680320,3499.800048828125
10700800,2905.800048828125
10720256,4691.0
10740736,7125.0
10760192,3166.800048828125
10780672,3767.0
10800128,3837.800048828125
10820608,4384.2001953125
10840064,4349.39990234375
10860544,5178.2001953125
10880000,3783.800048828125
10900480,4191.39990234375
10920960,4188.39990234375
10940416,4372.0
10960896,4172.7998046875
10980352,4147.7998046875
11000832,3723.39990234375
11020288,5181.2001953125
11040768,3516.800048828125
11060224,3005.800048828125
11080704,4024.0
