Step,Value
20480,11220.0
40960,12780.0
60416,14240.0
80896,20340.0
100352,11000.0
120832,11000.0
140288,11000.0
160768,11000.0
180224,11000.0
200704,11000.0
220160,11000.0
240640,11000.0
260096,11000.0
280576,11000.0
300032,11000.0
320512,20500.0
340992,28040.0
360448,28660.0
380928,27340.0
400384,39460.0
420864,24520.0
440320,32140.0
460800,38900.0
480256,28060.0
500736,39040.0
520192,49280.0
540672,47620.0
560128,35880.0
580608,36180.0
600064,34320.0
620544,55220.0
640000,45120.0
660480,37920.0
680960,44580.0
700416,33660.0
720896,41980.0
740352,42220.0
760832,42560.0
780288,42460.0
800768,30000.0
820224,56480.0
840704,47020.0
860160,42460.0
880640,45000.0
900096,63220.0
920576,48100.0
940032,72380.0
960512,48420.0
980992,52540.0
1000448,39060.0
1020928,74680.0
1040384,44020.0
1060864,49320.0
1080320,42480.0
1100800,49880.0
1120256,82180.0
1140736,53220.0
1160192,50840.0
1180672,59240.0
1200128,61760.0
1220608,38940.0
1240064,51940.0
1260544,30840.0
1280000,21020.0
1300480,40480.0
1320960,56860.0
1340416,46080.0
1360896,61320.0
1380352,60520.0
1400832,42220.0
1420288,22900.0
1440768,52460.0
1460224,75840.0
1480704,62760.0
1500160,78140.0
1520640,65020.0
1540096,94240.0
1560576,99680.0
1580032,55940.0
1600512,54140.0
1620992,62260.0
1640448,70300.0
1660928,80600.0
1680384,70700.0
1700864,74020.0
1720320,47720.0
1740800,65200.0
1760256,64340.0
1780736,53500.0
1800192,57880.0
1820672,81240.0
1840128,60640.0
1860608,63900.0
1880064,86520.0
1900544,70460.0
1920000,73620.0
1940480,75680.0
1960960,32000.0
1980416,60580.0
2000896,78300.0
2020352,80260.0
2040832,97860.0
2060288,91700.0
2080768,91220.0
2100224,66580.0
2120704,59740.0
2140160,80620.0
2160640,88280.0
2180096,90520.0
2200576,58680.0
2220032,77680.0
2240512,75320.0
2260992,105700.0
2280448,76160.0
2300928,52740.0
2320384,60820.0
2340864,93400.0
2360320,74660.0
2380800,50800.0
2400256,73980.0
2420736,36180.0
2440192,86660.0
2460672,66340.0
2480128,84500.0
2500608,91640.0
2520064,91680.0
2540544,63960.0
2560000,81240.0
2580480,91220.0
2600960,65880.0
2620416,32180.0
2640896,88280.0
2660352,96000.0
2680832,86560.0
2700288,33960.0
2720768,85780.0
2740224,68720.0
2760704,96320.0
2780160,84840.0
2800640,48640.0
2820096,89400.0
2840576,48720.0
2860032,91000.0
2880512,89020.0
2900992,84480.0
2920448,80580.0
2940928,101900.0
2960384,96020.0
2980864,103820.0
3000320,112820.0
3020800,87080.0
3040256,40880.0
3060736,76200.0
3080192,86080.0
3100672,64680.0
3120128,96260.0
3140608,67840.0
3160064,72320.0
3180544,83640.0
3200000,106260.0
3220480,67960.0
3240960,84860.0
3260416,92080.0
3280896,75200.0
3300352,85260.0
3320832,70340.0
3340288,64040.0
3360768,77840.0
3380224,104000.0
3400704,88060.0
3420160,70700.0
3440640,46660.0
3460096,105000.0
3480576,98320.0
3500032,107420.0
3520512,110980.0
3540992,114140.0
3560448,81920.0
3580928,75840.0
3600384,47680.0
3620864,84280.0
3640320,94720.0
3660800,90580.0
3680256,90720.0
3700736,105440.0
3720192,99500.0
3740672,107420.0
3760128,105140.0
3780608,106860.0
3800064,114500.0
3820544,99480.0
3840000,75900.0
3860480,99760.0
3880960,97700.0
3900416,106540.0
3920896,90420.0
3940352,68540.0
3960832,101280.0
3980288,74800.0
4000768,93260.0
4020224,85040.0
4040704,67620.0
4060160,49200.0
4080640,65480.0
4100096,105460.0
4120576,106480.0
4140032,89440.0
4160512,104160.0
4180992,85500.0
4200448,108700.0
4220928,96580.0
4240384,85420.0
4260864,102440.0
4280320,99140.0
4300800,107820.0
4320256,44160.0
