Step,Value
20480,200.0
40960,114.0
60416,137.0
80896,299.0
100352,208.0
120832,161.0
140288,191.0
160768,112.0
180224,323.0
200704,223.0
220160,254.0
240640,173.0
260096,332.0
280576,159.0
300032,262.0
320512,363.0
340992,373.0
360448,194.0
380928,283.0
400384,216.0
420864,149.0
440320,392.0
460800,173.0
480256,321.0
500736,482.0
520192,571.0
540672,485.0
560128,694.0
580608,480.0
600064,783.0
620544,204.0
640000,860.0
660480,300.0
680960,686.0
700416,588.0
720896,669.0
740352,858.0
760832,1548.0
780288,2061.0
800768,1284.0
820224,1381.0
840704,545.0
860160,2766.0
880640,874.0
900096,2742.0
920576,1384.0
940032,1884.0
960512,1990.0
980992,2282.0
1000448,1097.0
1020928,1298.0
1040384,2407.0
1060864,1384.0
1080320,1810.0
1100800,3344.0
1120256,3055.0
1140736,3702.0
1160192,3269.0
1180672,4344.0
1200128,2305.0
1220608,2712.0
1240064,2756.0
1260544,3224.0
1280000,4986.0
1300480,2998.0
1320960,1492.0
1340416,2426.0
1360896,4288.0
1380352,1650.0
1400832,2720.0
1420288,1526.0
1440768,3992.0
1460224,1994.0
1480704,2452.0
1500160,6419.0
1520640,3349.0
1540096,1190.0
1560576,5438.0
1580032,3591.0
1600512,2474.0
1620992,1822.0
1640448,2726.0
1660928,2991.0
1680384,1337.0
1700864,5810.0
1720320,2604.0
1740800,5561.0
1760256,5812.0
1780736,5115.0
1800192,5713.0
1820672,5226.0
1840128,1515.0
1860608,2129.0
1880064,3600.0
1900544,5165.0
1920000,4062.0
1940480,6225.0
1960960,5947.0
1980416,5518.0
2000896,4919.0
2020352,5792.0
2040832,5391.0
2060288,4553.0
2080768,5915.0
2100224,6672.0
2120704,5219.0
2140160,6697.0
2160640,6395.0
2180096,7893.0
2200576,9141.0
2220032,6920.0
2240512,7132.0
2260992,7548.0
2280448,7423.0
2300928,7281.0
2320384,7626.0
2340864,7132.0
2360320,4463.0
2380800,7672.0
2400256,7610.0
2420736,5246.0
2440192,4200.0
2460672,4175.0
2480128,4791.0
2500608,6402.0
2520064,4404.0
2540544,4551.0
2560000,5012.0
2580480,4221.0
2600960,4002.0
2620416,6620.0
2640896,8661.0
2660352,8151.0
2680832,6637.0
2700288,7931.0
2720768,9892.0
2740224,7036.0
2760704,6458.0
2780160,9815.0
2800640,8182.0
2820096,9863.0
2840576,9846.0
2860032,5427.0
2880512,10288.0
2900992,7936.0
2920448,12565.0
2940928,7532.0
2960384,8039.0
2980864,7263.0
3000320,7111.0
3020800,9559.0
3040256,9470.0
3060736,10813.0
3080192,9037.0
3100672,11186.0
3120128,10015.0
3140608,16821.0
3160064,14834.0
3180544,9146.0
3200000,9941.0
3220480,10432.0
3240960,12107.0
3260416,9297.0
3280896,11035.0
3300352,13869.0
3320832,10488.0
3340288,13443.0
3360768,20923.0
3380224,26002.0
3400704,13214.0
3420160,11597.0
3440640,12868.0
3460096,9371.0
3480576,10734.0
3500032,7105.0
3520512,11937.0
3540992,9784.0
3560448,9371.0
3580928,9600.0
3600384,11411.0
3620864,14634.0
3640320,11280.0
3660800,15751.0
3680256,15954.0
3700736,9266.0
3720192,9032.0
3740672,6424.0
3760128,8404.0
3780608,10850.0
3800064,9358.0
3820544,8072.0
3840000,8444.0
3860480,10475.0
3880960,9356.0
3900416,8652.0
3920896,12742.0
3940352,8598.0
3960832,5953.0
3980288,7045.0
4000768,5628.0
4020224,7670.0
4040704,5059.0
4060160,6870.0
4080640,9191.0
4100096,8672.0
4120576,10352.0
4140032,8051.0
