Step,Value
20480,-18.399999618530273
40960,-16.399999618530273
60416,-18.399999618530273
80896,-16.399999618530273
100352,-18.799999237060547
120832,-17.600000381469727
140288,-16.799999237060547
160768,-14.800000190734863
180224,-20.399999618530273
200704,-21.200000762939453
220160,-19.600000381469727
240640,-19.200000762939453
260096,-21.200000762939453
280576,-17.600000381469727
300032,-21.600000381469727
320512,-16.799999237060547
340992,-15.199999809265137
360448,-18.0
380928,-16.799999237060547
400384,-16.399999618530273
420864,-18.399999618530273
440320,-15.600000381469727
460800,-15.199999809265137
480256,-16.399999618530273
500736,-16.0
520192,-17.200000762939453
540672,-19.200000762939453
560128,-17.600000381469727
580608,-16.799999237060547
600064,-16.0
620544,-16.399999618530273
640000,-16.799999237060547
660480,-18.799999237060547
680960,-16.799999237060547
700416,-17.200000762939453
720896,-17.200000762939453
740352,-14.0
760832,-12.399999618530273
780288,-15.600000381469727
800768,-16.0
820224,-15.600000381469727
840704,-15.600000381469727
860160,-15.600000381469727
880640,-14.399999618530273
900096,-15.199999809265137
920576,-15.199999809265137
940032,-14.399999618530273
960512,-14.800000190734863
980992,-17.200000762939453
1000448,-14.399999618530273
1020928,-14.399999618530273
1040384,-12.0
1060864,-14.800000190734863
1080320,-15.199999809265137
1100800,-15.600000381469727
1120256,-18.0
1140736,-14.399999618530273
1160192,-16.0
1180672,-14.399999618530273
1200128,-8.800000190734863
1220608,-15.199999809265137
1240064,-15.199999809265137
1260544,-14.800000190734863
1280000,-16.799999237060547
1300480,-12.399999618530273
1320960,-12.0
1340416,-14.0
1360896,-15.199999809265137
1380352,-20.399999618530273
1400832,-12.800000190734863
1420288,-14.399999618530273
1440768,-11.600000381469727
1460224,-13.600000381469727
1480704,-16.0
1500160,-10.399999618530273
1520640,-15.199999809265137
1540096,-17.200000762939453
1560576,-13.199999809265137
1580032,-13.600000381469727
1600512,-16.799999237060547
1620992,-10.0
1640448,-10.0
1660928,-12.800000190734863
1680384,-14.0
1700864,-14.0
1720320,-14.399999618530273
1740800,-13.600000381469727
1760256,-15.600000381469727
1780736,-12.0
1800192,-12.800000190734863
1820672,-13.199999809265137
1840128,-15.199999809265137
1860608,-14.800000190734863
1880064,-10.800000190734863
1900544,-12.800000190734863
1920000,-11.199999809265137
1940480,-14.399999618530273
1960960,-14.0
1980416,-13.600000381469727
2000896,-16.399999618530273
2020352,-10.800000190734863
2040832,-9.199999809265137
2060288,-7.199999809265137
2080768,-13.600000381469727
2100224,-4.400000095367432
2120704,-11.600000381469727
2140160,-14.0
2160640,-8.0
2180096,-18.399999618530273
2200576,-16.799999237060547
2220032,-14.800000190734863
2240512,-14.399999618530273
2260992,-20.799999237060547
2280448,-17.200000762939453
2300928,-16.0
2320384,-17.200000762939453
2340864,-16.0
2360320,-6.800000190734863
2380800,-11.600000381469727
2400256,-16.399999618530273
2420736,-16.399999618530273
2440192,-16.399999618530273
2460672,-18.399999618530273
2480128,-18.399999618530273
2500608,-16.399999618530273
2520064,-13.199999809265137
2540544,-15.199999809265137
2560000,-18.799999237060547
2580480,-14.0
2600960,-16.0
