Step,Value
20480,288.0
40960,320.0
60416,304.0
80896,380.0
100352,400.0
120832,644.0
140288,772.0
160768,376.0
180224,524.0
200704,680.0
220160,628.0
240640,600.0
260096,276.0
280576,288.0
300032,560.0
320512,936.0
340992,1040.0
360448,556.0
380928,488.0
400384,592.0
420864,720.0
440320,680.0
460800,1048.0
480256,744.0
500736,340.0
520192,432.0
540672,840.0
560128,508.0
580608,476.0
600064,600.0
620544,1188.0
640000,1004.0
660480,536.0
680960,884.0
700416,652.0
720896,900.0
740352,696.0
760832,876.0
780288,560.0
800768,744.0
820224,1128.0
840704,1088.0
860160,832.0
880640,564.0
900096,1152.0
920576,1024.0
940032,964.0
960512,812.0
980992,688.0
1000448,592.0
1020928,904.0
1040384,1032.0
1060864,632.0
1080320,792.0
1100800,700.0
1120256,1204.0
1140736,1352.0
1160192,1524.0
1180672,608.0
1200128,608.0
1220608,668.0
1240064,988.0
1260544,640.0
1280000,484.0
1300480,1068.0
1320960,1604.0
1340416,712.0
1360896,900.0
1380352,1024.0
1400832,1172.0
1420288,744.0
1440768,1204.0
1460224,984.0
1480704,1340.0
1500160,1088.0
1520640,524.0
1540096,1012.0
1560576,1404.0
1580032,816.0
1600512,1176.0
1620992,704.0
1640448,544.0
1660928,1292.0
1680384,1076.0
1700864,784.0
1720320,772.0
1740800,1108.0
1760256,1188.0
1780736,516.0
1800192,892.0
1820672,928.0
1840128,736.0
1860608,976.0
1880064,640.0
1900544,756.0
1920000,744.0
1940480,1240.0
1960960,1088.0
1980416,860.0
2000896,864.0
2020352,852.0
2040832,1368.0
2060288,900.0
2080768,744.0
2100224,1364.0
2120704,1188.0
2140160,772.0
2160640,1100.0
2180096,884.0
2200576,740.0
2220032,544.0
2240512,756.0
2260992,1248.0
2280448,696.0
2300928,744.0
2320384,860.0
2340864,1008.0
2360320,612.0
2380800,848.0
2400256,924.0
2420736,872.0
2440192,952.0
2460672,1220.0
2480128,508.0
2500608,1524.0
2520064,1008.0
2540544,504.0
2560000,964.0
2580480,1160.0
2600960,768.0
2620416,624.0
2640896,924.0
2660352,1060.0
2680832,1008.0
2700288,936.0
2720768,796.0
2740224,1476.0
2760704,732.0
2780160,840.0
2800640,484.0
2820096,1160.0
