Step,Value
20480,-10.600000381469727
40960,-9.199999809265137
60416,-10.0
80896,-5.599999904632568
100352,-7.400000095367432
120832,-7.400000095367432
140288,-12.199999809265137
160768,-8.0
180224,-5.199999809265137
200704,-9.0
220160,-9.600000381469727
240640,-8.399999618530273
260096,-9.600000381469727
280576,-8.600000381469727
300032,-7.0
320512,-7.400000095367432
340992,-6.599999904632568
360448,-4.599999904632568
380928,-6.800000190734863
400384,-4.0
420864,-6.0
440320,-5.800000190734863
460800,-5.400000095367432
480256,-5.0
500736,-5.800000190734863
520192,-6.199999809265137
540672,-9.199999809265137
560128,-4.199999809265137
580608,-6.599999904632568
600064,-9.199999809265137
620544,-6.0
640000,-6.0
660480,-6.199999809265137
680960,-2.0
700416,-3.799999952316284
720896,-6.400000095367432
740352,-7.199999809265137
760832,-6.800000190734863
780288,-5.800000190734863
800768,-4.800000190734863
820224,-5.400000095367432
840704,-4.599999904632568
860160,-7.199999809265137
880640,-7.599999904632568
900096,-8.399999618530273
920576,-4.400000095367432
940032,-6.599999904632568
960512,-8.199999809265137
980992,-6.599999904632568
1000448,-5.800000190734863
1020928,-6.0
1040384,-6.199999809265137
1060864,-8.0
1080320,-6.0
1100800,-9.600000381469727
1120256,-6.400000095367432
1140736,-7.599999904632568
1160192,-5.599999904632568
1180672,-9.600000381469727
1200128,-5.400000095367432
1220608,-5.400000095367432
1240064,-6.599999904632568
1260544,-6.400000095367432
1280000,-6.199999809265137
1300480,-5.800000190734863
1320960,-7.0
1340416,-6.599999904632568
1360896,-6.599999904632568
1380352,-8.399999618530273
1400832,-8.399999618530273
1420288,-8.399999618530273
1440768,-6.599999904632568
1460224,-5.0
1480704,-5.199999809265137
1500160,-4.199999809265137
1520640,-6.400000095367432
1540096,-5.800000190734863
1560576,-5.199999809265137
1580032,-6.0
1600512,-7.199999809265137
1620992,-7.199999809265137
1640448,-7.199999809265137
1660928,-5.800000190734863
1680384,-7.199999809265137
1700864,-4.800000190734863
1720320,-4.199999809265137
1740800,-4.599999904632568
1760256,-3.5999999046325684
1780736,-3.799999952316284
1800192,-4.800000190734863
1820672,-4.599999904632568
1840128,-6.199999809265137
1860608,-4.800000190734863
1880064,-8.600000381469727
1900544,-4.599999904632568
1920000,-6.800000190734863
1940480,-2.4000000953674316
1960960,-6.0
1980416,-7.400000095367432
2000896,-4.199999809265137
2020352,-5.400000095367432
2040832,-6.0
2060288,-5.199999809265137
2080768,-4.800000190734863
2100224,-4.400000095367432
2120704,-5.599999904632568
2140160,-5.0
2160640,-4.599999904632568
2180096,-6.599999904632568
2200576,-6.199999809265137
2220032,-5.199999809265137
2240512,-6.0
2260992,-5.800000190734863
2280448,-6.400000095367432
2300928,-3.799999952316284
2320384,-5.400000095367432
2340864,-5.0
2360320,-6.0
2380800,-11.0
2400256,-7.599999904632568
2420736,-8.600000381469727
2440192,-6.199999809265137
2460672,-3.5999999046325684
2480128,-5.599999904632568
2500608,-6.400000095367432
2520064,-4.800000190734863
2540544,-5.0
2560000,-5.0
2580480,-6.400000095367432
2600960,-4.599999904632568
2620416,-4.800000190734863
2640896,-5.0
2660352,-9.199999809265137
2680832,-6.400000095367432
2700288,-4.0
2720768,-4.599999904632568
2740224,-5.800000190734863
2760704,-5.0
2780160,-4.800000190734863
2800640,-7.199999809265137
2820096,-6.0
2840576,-4.800000190734863
2860032,-4.199999809265137
2880512,-5.0
2900992,-4.599999904632568
2920448,-7.800000190734863
2940928,-6.599999904632568
2960384,-5.800000190734863
2980864,-5.400000095367432
3000320,-5.199999809265137
3020800,-6.800000190734863
3040256,-6.400000095367432
3060736,-4.599999904632568
3080192,-4.0
3100672,-4.0
3120128,-3.5999999046325684
3140608,-4.199999809265137
3160064,-5.0
3180544,-4.400000095367432
3200000,-5.199999809265137
3220480,-4.199999809265137
3240960,-3.4000000953674316
3260416,-6.800000190734863
3280896,-5.0
3300352,-6.400000095367432
3320832,-4.800000190734863
3340288,-4.400000095367432
3360768,-7.199999809265137
