Step,Value
20480,60.0
40960,0.0
60416,30.0
80896,50.0
100352,20.0
120832,40.0
140288,30.0
160768,30.0
180224,20.0
200704,30.0
220160,10.0
240640,40.0
260096,20.0
280576,20.0
300032,30.0
320512,10.0
340992,20.0
360448,0.0
380928,20.0
400384,10.0
420864,30.0
440320,50.0
460800,60.0
480256,50.0
500736,30.0
520192,50.0
540672,10.0
560128,30.0
580608,20.0
600064,60.0
620544,50.0
640000,90.0
660480,110.0
680960,110.0
700416,190.0
720896,220.0
740352,220.0
760832,240.0
780288,250.0
800768,260.0
820224,240.0
840704,220.0
860160,160.0
880640,350.0
900096,290.0
920576,380.0
940032,470.0
960512,390.0
980992,310.0
1000448,310.0
1020928,320.0
1040384,400.0
1060864,350.0
1080320,320.0
1100800,360.0
1120256,390.0
1140736,310.0
1160192,310.0
1180672,510.0
1200128,280.0
1220608,340.0
1240064,410.0
1260544,370.0
1280000,410.0
1300480,480.0
1320960,420.0
1340416,280.0
1360896,400.0
1380352,410.0
1400832,450.0
1420288,390.0
1440768,390.0
1460224,330.0
1480704,450.0
1500160,320.0
1520640,430.0
1540096,450.0
1560576,500.0
1580032,440.0
1600512,440.0
1620992,380.0
1640448,430.0
1660928,570.0
1680384,450.0
1700864,420.0
1720320,510.0
1740800,420.0
1760256,380.0
1780736,570.0
1800192,580.0
1820672,380.0
1840128,420.0
1860608,530.0
1880064,500.0
1900544,500.0
1920000,520.0
1940480,540.0
1960960,410.0
1980416,370.0
2000896,580.0
2020352,490.0
2040832,560.0
2060288,460.0
2080768,470.0
2100224,490.0
2120704,450.0
2140160,590.0
2160640,460.0
2180096,540.0
2200576,460.0
2220032,450.0
2240512,500.0
2260992,480.0
2280448,490.0
2300928,590.0
2320384,460.0
2340864,450.0
2360320,540.0
2380800,390.0
2400256,540.0
2420736,450.0
2440192,500.0
2460672,480.0
2480128,360.0
2500608,410.0
2520064,520.0
2540544,410.0
2560000,480.0
2580480,440.0
2600960,540.0
2620416,390.0
2640896,430.0
2660352,440.0
2680832,450.0
2700288,490.0
2720768,380.0
2740224,490.0
2760704,540.0
2780160,490.0
2800640,540.0
2820096,430.0
2840576,470.0
2860032,400.0
2880512,430.0
2900992,510.0
2920448,460.0
2940928,530.0
2960384,420.0
2980864,450.0
3000320,410.0
3020800,430.0
3040256,460.0
3060736,500.0
3080192,420.0
3100672,540.0
3120128,390.0
3140608,540.0
3160064,400.0
3180544,510.0
3200000,420.0
3220480,500.0
3240960,350.0
3260416,490.0
3280896,480.0
3300352,490.0
3320832,520.0
3340288,460.0
3360768,490.0
3380224,450.0
3400704,540.0
3420160,550.0
3440640,540.0
3460096,490.0
3480576,440.0
3500032,500.0
3520512,500.0
3540992,450.0
3560448,410.0
3580928,550.0
3600384,430.0
3620864,550.0
3640320,380.0
3660800,430.0
3680256,420.0
3700736,510.0
3720192,450.0
3740672,470.0
3760128,400.0
3780608,480.0
3800064,490.0
3820544,450.0
3840000,430.0
3860480,520.0
3880960,460.0
3900416,390.0
3920896,550.0
3940352,490.0
3960832,380.0
3980288,480.0
4000768,490.0
4020224,430.0
4040704,480.0
4060160,470.0
4080640,460.0
4100096,430.0
4120576,490.0
4140032,430.0
4160512,450.0
4180992,460.0
4200448,500.0
4220928,440.0
4240384,520.0
4260864,430.0
4280320,480.0
4300800,550.0
4320256,400.0
4340736,420.0
4360192,590.0
4380672,480.0
4400128,480.0
4420608,510.0
4440064,490.0
4460544,470.0
4480000,500.0
4500480,610.0
4520960,530.0
4540416,500.0
4560896,470.0
4580352,470.0
4600832,570.0
4620288,480.0
4640768,460.0
4660224,480.0
4680704,470.0
4700160,500.0
4720640,490.0
4740096,460.0
4760576,410.0
4780032,460.0
4800512,510.0
4820992,460.0
4840448,590.0
4860928,510.0
4880384,500.0
4900864,470.0
4920320,610.0
4940800,410.0
4960256,500.0
4980736,470.0
5000192,460.0
5020672,510.0
5040128,490.0
5060608,520.0
5080064,530.0
5100544,480.0
5120000,610.0
5140480,450.0
5160960,510.0
5180416,510.0
5200896,420.0
5220352,480.0
5240832,560.0
5260288,560.0
5280768,490.0
