Step,Value
20480,2721.60009765625
40960,2793.800048828125
60416,2873.39990234375
80896,2753.800048828125
100352,3256.800048828125
120832,2438.0
140288,2876.39990234375
160768,2536.199951171875
180224,3025.0
200704,2595.0
220160,3071.199951171875
240640,3094.199951171875
260096,2962.199951171875
280576,3298.0
300032,3009.0
320512,2879.0
340992,3023.199951171875
360448,3430.0
380928,3019.800048828125
400384,3284.0
420864,3588.60009765625
440320,3167.199951171875
460800,3171.39990234375
480256,3362.0
500736,3483.800048828125
520192,3579.199951171875
540672,3280.800048828125
560128,3082.60009765625
580608,3643.199951171875
600064,3586.199951171875
620544,3422.39990234375
640000,3276.60009765625
660480,3539.60009765625
680960,3331.60009765625
700416,3697.60009765625
720896,3281.39990234375
740352,3423.60009765625
760832,3432.60009765625
780288,3518.0
800768,3171.60009765625
820224,3329.39990234375
840704,3259.800048828125
860160,3442.800048828125
880640,3330.199951171875
900096,3421.39990234375
920576,3202.800048828125
940032,2416.0
960512,3083.60009765625
980992,2896.60009765625
1000448,2251.800048828125
1020928,3081.60009765625
1040384,2771.39990234375
1060864,2883.0
1080320,3472.199951171875
1100800,3378.60009765625
1120256,3281.0
1140736,3702.0
1160192,3692.800048828125
1180672,3400.800048828125
1200128,3412.0
1220608,3079.199951171875
1240064,3151.199951171875
1260544,3711.0
1280000,3517.199951171875
1300480,3510.60009765625
1320960,3835.39990234375
1340416,3763.800048828125
1360896,3550.199951171875
1380352,4039.199951171875
1400832,3519.60009765625
1420288,3904.39990234375
1440768,4024.800048828125
1460224,3568.60009765625
1480704,3798.199951171875
1500160,3693.199951171875
1520640,4156.2001953125
1540096,4022.39990234375
1560576,3679.60009765625
1580032,4077.800048828125
1600512,4364.0
1620992,3918.0
1640448,3316.199951171875
1660928,3862.39990234375
1680384,3745.800048828125
1700864,3880.0
1720320,3784.60009765625
1740800,3922.0
1760256,4265.39990234375
1780736,3500.39990234375
1800192,3820.60009765625
1820672,3467.39990234375
1840128,3531.60009765625
1860608,3304.199951171875
1880064,4125.0
1900544,3883.199951171875
1920000,3548.39990234375
1940480,4369.7998046875
1960960,3546.0
1980416,4416.0
2000896,3625.199951171875
2020352,4018.0
2040832,4097.39990234375
2060288,3934.800048828125
2080768,4205.39990234375
2100224,4443.39990234375
2120704,3582.39990234375
2140160,4821.39990234375
2160640,4021.60009765625
2180096,4439.39990234375
2200576,4684.7998046875
2220032,4402.39990234375
2240512,4408.60009765625
2260992,4237.2001953125
2280448,4054.800048828125
2300928,4338.60009765625
2320384,4267.2001953125
2340864,4155.39990234375
2360320,4319.39990234375
2380800,4550.39990234375
2400256,4349.2001953125
2420736,4701.0
2440192,4195.60009765625
2460672,5076.2001953125
2480128,4791.7998046875
2500608,4498.60009765625
2520064,4606.7998046875
2540544,4436.39990234375
2560000,4430.39990234375
2580480,5248.7998046875
2600960,4414.2001953125
2620416,4939.0
2640896,4197.39990234375
2660352,4078.800048828125
2680832,4379.7998046875
2700288,4578.39990234375
2720768,5019.39990234375
2740224,3099.199951171875
2760704,4570.39990234375
2780160,4014.0
2800640,4823.39990234375
2820096,4116.60009765625
2840576,4438.39990234375
2860032,4922.0
2880512,4186.60009765625
2900992,4270.7998046875
2920448,3892.60009765625
2940928,4137.39990234375
2960384,4781.0
2980864,5066.2001953125
3000320,5374.7998046875
3020800,4932.2001953125
3040256,4264.0
3060736,5232.60009765625
3080192,3826.39990234375
3100672,4288.39990234375
3120128,4481.60009765625
3140608,4662.0
3160064,5137.60009765625
3180544,4003.800048828125
3200000,4882.7998046875
3220480,4134.0
3240960,4990.0
3260416,4608.2001953125
3280896,5117.39990234375
3300352,5305.7998046875
3320832,5609.39990234375
3340288,4973.2001953125
3360768,4596.60009765625
3380224,4480.39990234375
3400704,4495.60009765625
3420160,5193.0
3440640,4868.2001953125
3460096,4161.7998046875
3480576,5438.2001953125
3500032,5354.0
3520512,5118.39990234375
3540992,4438.39990234375
3560448,4424.60009765625
3580928,4915.60009765625
3600384,4664.2001953125
3620864,5378.39990234375
3640320,5132.2001953125
3660800,5108.0
3680256,4646.2001953125
3700736,4479.60009765625
3720192,5183.2001953125
3740672,4871.7998046875
3760128,5580.0
3780608,5021.7998046875
3800064,5428.2001953125
3820544,4629.0
3840000,5221.0
3860480,5194.7998046875
3880960,5363.2001953125
3900416,5337.0
3920896,5559.0
3940352,3535.800048828125
3960832,4337.7998046875
3980288,3966.800048828125
4000768,5297.60009765625
4020224,4322.2001953125
4040704,4609.60009765625
4060160,5105.7998046875
4080640,4944.60009765625
4100096,5420.7998046875
4120576,5026.2001953125
4140032,4817.39990234375
4160512,5589.7998046875
4180992,4514.39990234375
4200448,5582.2001953125
4220928,4944.2001953125
4240384,5192.60009765625
4260864,5224.0
4280320,5316.0
4300800,4892.60009765625
4320256,5538.2001953125
4340736,4514.60009765625
4360192,5345.60009765625
4380672,4677.39990234375
4400128,5079.39990234375
4420608,4610.0
4440064,4815.39990234375
4460544,5698.2001953125
4480000,5817.60009765625
4500480,5092.0
4520960,4184.39990234375
4540416,6122.39990234375
4560896,5804.2001953125
4580352,5317.2001953125
4600832,5128.2001953125
4620288,5590.7998046875
4640768,5535.39990234375
4660224,5089.60009765625
4680704,5355.7998046875
4700160,5383.0
4720640,5222.7998046875
4740096,5064.60009765625
4760576,5897.7998046875
4780032,4983.39990234375
4800512,5053.7998046875
4820992,5300.39990234375
4840448,5207.2001953125
4860928,5214.39990234375
4880384,5652.7998046875
4900864,5275.39990234375
4920320,6118.60009765625
4940800,6260.7998046875
4960256,6147.60009765625
4980736,4914.0
5000192,6021.0
5020672,5453.39990234375
5040128,4723.0
5060608,5719.7998046875
5080064,6357.39990234375
5100544,5548.2001953125
5120000,5569.0
5140480,5215.2001953125
5160960,4413.60009765625
5180416,5569.0
5200896,5121.39990234375
5220352,4987.0
5240832,5590.0
5260288,6198.60009765625
5280768,5128.2001953125
5300224,6000.0
5320704,5690.39990234375
5340160,6060.60009765625
5360640,6696.39990234375
5380096,5528.7998046875
5400576,6070.0
5420032,5845.0
5440512,6171.39990234375
5460992,6333.39990234375
5480448,5426.39990234375
5500928,6127.2001953125
5520384,5954.0
5540864,6496.60009765625
5560320,6265.39990234375
5580800,5994.60009765625
5600256,5885.60009765625
5620736,6301.7998046875
5640192,5520.7998046875
5660672,5916.39990234375
5680128,5610.60009765625
5700608,6039.39990234375
5720064,6398.0
5740544,5950.0
5760000,6339.60009765625
5780480,6015.39990234375
5800960,5453.60009765625
5820416,5554.7998046875
5840896,4802.39990234375
5860352,6174.39990234375
5880832,6388.7998046875
5900288,6361.7998046875
5920768,6379.2001953125
5940224,5998.7998046875
5960704,5543.0
5980160,5856.2001953125
6000640,6656.60009765625
6020096,5946.39990234375
6040576,5195.39990234375
6060032,5400.0
6080512,6060.2001953125
6100992,6116.2001953125
6120448,6155.0
6140928,6837.2001953125
6160384,6481.60009765625
6180864,6310.60009765625
6200320,5472.39990234375
6220800,5383.39990234375
6240256,6155.7998046875
6260736,5570.0
6280192,4660.60009765625
6300672,6379.2001953125
6320128,5672.2001953125
6340608,5737.0
6360064,6080.2001953125
6380544,6780.39990234375
6400000,6841.0
6420480,6335.2001953125
6440960,5461.39990234375
6460416,5734.2001953125
6480896,6114.0
6500352,6745.39990234375
6520832,6497.0
6540288,5935.2001953125
6560768,6755.0
6580224,5271.7998046875
6600704,5701.0
6620160,6383.0
6640640,4076.60009765625
6660096,6830.39990234375
6680576,4864.2001953125
6700032,6205.0
6720512,6646.2001953125
6740992,6413.7998046875
6760448,5893.0
6780928,6268.39990234375
6800384,5743.2001953125
6820864,6309.39990234375
6840320,6742.2001953125
6860800,6642.0
6880256,6254.60009765625
6900736,5749.7998046875
6920192,6694.60009765625
6940672,6290.39990234375
6960128,6279.7998046875
6980608,6660.39990234375
7000064,6815.7998046875
7020544,6215.7998046875
7040000,6297.39990234375
7060480,7410.60009765625
7080960,6468.39990234375
7100416,7254.0
7120896,6205.0
7140352,7138.7998046875
7160832,6471.39990234375
7180288,6847.60009765625
7200768,6548.7998046875
7220224,6733.7998046875
7240704,6137.2001953125
7260160,6563.2001953125
7280640,6474.0
7300096,6192.60009765625
7320576,6379.39990234375
7340032,7036.60009765625
7360512,5509.39990234375
7380992,7106.39990234375
7400448,6724.60009765625
7420928,6232.60009765625
7440384,6694.2001953125
7460864,6420.2001953125
7480320,6773.2001953125
7500800,6451.2001953125
7520256,6786.0
7540736,6852.7998046875
7560192,6701.0
7580672,5241.0
7600128,6775.7998046875
7620608,7315.2001953125
7640064,5784.60009765625
7660544,6047.0
7680000,6629.39990234375
7700480,6886.2001953125
7720960,6896.39990234375
7740416,6169.39990234375
7760896,6521.60009765625
7780352,6821.7998046875
7800832,6473.2001953125
7820288,7254.0
7840768,7293.39990234375
7860224,6261.7998046875
7880704,6494.7998046875
7900160,6876.39990234375
7920640,6826.2001953125
7940096,6228.39990234375
7960576,7396.2001953125
7980032,6436.2001953125
8000512,7453.60009765625
8020992,6637.7998046875
8040448,5607.0
8060928,6865.2001953125
8080384,6435.0
8100864,6035.2001953125
8120320,7163.60009765625
8140800,6592.0
8160256,6799.2001953125
8180736,6556.0
8200192,7342.7998046875
8220672,7105.60009765625
8240128,7522.2001953125
8260608,7002.7998046875
8280064,7123.60009765625
8300544,6074.0
8320000,7106.39990234375
8340480,7298.7998046875
8360960,7459.60009765625
8380416,7629.0
8400896,7087.60009765625
8420352,6468.2001953125
8440832,6908.7998046875
8460288,6830.2001953125
8480768,7016.39990234375
8500224,7073.2001953125
8520704,7587.39990234375
8540160,6732.0
8560640,6944.39990234375
8580096,6851.2001953125
8600576,7018.60009765625
8620032,7523.2001953125
8640512,6898.60009765625
8660992,6830.39990234375
8680448,6515.0
8700928,6998.39990234375
8720384,7133.39990234375
8740864,6985.7998046875
8760320,7535.7998046875
8780800,6685.0
8800256,7129.7998046875
8820736,7542.2001953125
8840192,7237.0
8860672,7632.60009765625
8880128,6989.39990234375
8900608,7603.2001953125
8920064,7354.7998046875
