Step,Value
20480,980.0
40960,3600.0
60416,3540.0
80896,4680.0
100352,4480.0
120832,3840.0
140288,3780.0
160768,3960.0
180224,4120.0
200704,3200.0
220160,4080.0
240640,3520.0
260096,3120.0
280576,2560.0
300032,2660.0
320512,3880.0
340992,4960.0
360448,4520.0
380928,3600.0
400384,4020.0
420864,5700.0
440320,4820.0
460800,4260.0
480256,4660.0
500736,4100.0
520192,3980.0
540672,3720.0
560128,3600.0
580608,4860.0
600064,5260.0
620544,6680.0
640000,5620.0
660480,5400.0
680960,6420.0
700416,7600.0
720896,6880.0
740352,9560.0
760832,14620.0
780288,9080.0
800768,12720.0
820224,12520.0
840704,9020.0
860160,8920.0
880640,8120.0
900096,9560.0
920576,11680.0
940032,13660.0
960512,12380.0
980992,10220.0
1000448,11220.0
1020928,8220.0
1040384,8560.0
1060864,8020.0
1080320,10880.0
1100800,11460.0
1120256,10980.0
1140736,10900.0
1160192,12040.0
1180672,16720.0
1200128,17840.0
1220608,12340.0
1240064,14420.0
1260544,15580.0
1280000,15800.0
1300480,13200.0
1320960,16300.0
1340416,10460.0
1360896,15540.0
1380352,13940.0
1400832,15540.0
1420288,13440.0
1440768,10920.0
1460224,12280.0
1480704,10160.0
1500160,12100.0
1520640,9800.0
1540096,10680.0
1560576,8220.0
1580032,12760.0
1600512,13300.0
1620992,9400.0
1640448,10980.0
1660928,12000.0
1680384,9600.0
1700864,13240.0
1720320,9860.0
1740800,13980.0
1760256,11020.0
1780736,12240.0
1800192,11620.0
1820672,10580.0
1840128,12960.0
1860608,10000.0
1880064,9160.0
1900544,10980.0
1920000,11040.0
1940480,13820.0
1960960,11220.0
1980416,9400.0
2000896,11960.0
2020352,11560.0
2040832,8940.0
2060288,7480.0
2080768,6840.0
2100224,8260.0
2120704,11440.0
2140160,9720.0
2160640,8440.0
2180096,8900.0
2200576,10760.0
2220032,10240.0
2240512,11640.0
2260992,10840.0
2280448,10140.0
2300928,10160.0
2320384,10080.0
2340864,11040.0
2360320,9040.0
2380800,10740.0
2400256,9960.0
2420736,10800.0
2440192,11560.0
2460672,12720.0
2480128,15340.0
2500608,13200.0
