Step,Value
20480,1726.0
40960,2050.0
60416,1600.0
80896,1886.0
100352,2968.0
120832,2156.0
140288,1884.0
160768,2570.0
180224,1822.0
200704,3120.0
220160,2052.0
240640,2874.0
260096,2508.0
280576,2760.0
300032,2322.0
320512,2194.0
340992,2836.0
360448,2554.0
380928,2278.0
400384,3068.0
420864,1750.0
440320,2244.0
460800,1830.0
480256,2848.0
500736,2050.0
520192,2444.0
540672,2748.0
560128,2166.0
580608,2388.0
600064,2418.0
620544,3120.0
640000,2448.0
660480,2350.0
680960,2546.0
700416,1636.0
720896,3192.0
740352,2352.0
760832,2028.0
780288,1770.0
800768,2568.0
820224,2546.0
840704,2746.0
860160,2490.0
880640,2276.0
900096,1800.0
920576,1950.0
940032,2220.0
960512,2526.0
980992,2420.0
1000448,2844.0
1020928,2408.0
1040384,2196.0
1060864,3192.0
1080320,3002.0
1100800,2940.0
1120256,2044.0
1140736,2542.0
1160192,2094.0
1180672,2090.0
1200128,2426.0
1220608,2430.0
1240064,2356.0
1260544,3022.0
1280000,2378.0
1300480,2116.0
1320960,2306.0
1340416,2708.0
1360896,2496.0
1380352,2574.0
1400832,3446.0
1420288,1798.0
1440768,1862.0
1460224,2784.0
1480704,2320.0
1500160,2116.0
1520640,2374.0
1540096,2652.0
1560576,2910.0
1580032,2026.0
1600512,2498.0
1620992,2826.0
1640448,2250.0
1660928,2676.0
1680384,2592.0
1700864,2288.0
1720320,2512.0
1740800,2952.0
1760256,3096.0
1780736,2056.0
1800192,2418.0
1820672,1742.0
1840128,2770.0
1860608,3164.0
1880064,2966.0
1900544,2600.0
1920000,2130.0
1940480,2682.0
1960960,2758.0
1980416,2260.0
2000896,3202.0
2020352,2656.0
2040832,2270.0
2060288,3098.0
2080768,2490.0
2100224,3032.0
2120704,3120.0
2140160,2850.0
2160640,2824.0
2180096,2766.0
2200576,2416.0
2220032,2650.0
2240512,2146.0
2260992,2118.0
2280448,2302.0
2300928,1800.0
2320384,2902.0
2340864,2184.0
2360320,2486.0
2380800,2336.0
2400256,2986.0
2420736,2534.0
2440192,2594.0
2460672,2126.0
2480128,2426.0
2500608,2086.0
2520064,2310.0
2540544,2536.0
2560000,1616.0
2580480,3204.0
2600960,3026.0
2620416,2346.0
2640896,2882.0
2660352,1910.0
2680832,2734.0
2700288,2762.0
2720768,2590.0
2740224,2804.0
2760704,1738.0
2780160,2250.0
2800640,2728.0
2820096,3094.0
2840576,2150.0
2860032,3030.0
2880512,2260.0
2900992,2510.0
2920448,2734.0
2940928,2030.0
2960384,2382.0
2980864,3518.0
3000320,3096.0
3020800,2018.0
3040256,2350.0
3060736,2796.0
3080192,2078.0
3100672,2408.0
3120128,2922.0
3140608,2356.0
3160064,2842.0
3180544,2316.0
3200000,2758.0
3220480,2014.0
3240960,2116.0
3260416,2336.0
3280896,2128.0
3300352,2784.0
3320832,2804.0
3340288,3032.0
3360768,2624.0
3380224,2884.0
3400704,2360.0
3420160,3092.0
3440640,3048.0
3460096,3054.0
3480576,2882.0
3500032,2110.0
3520512,2778.0
3540992,2712.0
3560448,2678.0
3580928,3196.0
3600384,2764.0
3620864,3036.0
3640320,3256.0
3660800,2950.0
3680256,2630.0
3700736,1830.0
3720192,3462.0
3740672,2450.0
3760128,2596.0
3780608,1992.0
3800064,2656.0
3820544,3138.0
3840000,2966.0
3860480,2646.0
3880960,2796.0
3900416,3082.0
3920896,2774.0
3940352,3316.0
3960832,2646.0
3980288,1654.0
4000768,3926.0
4020224,2428.0
4040704,2632.0
4060160,2688.0
4080640,2750.0
4100096,2860.0
4120576,3796.0
4140032,2698.0
4160512,3574.0
4180992,4742.0
4200448,4330.0
4220928,4154.0
4240384,2740.0
4260864,3246.0
4280320,4866.0
4300800,4540.0
4320256,4158.0
4340736,2998.0
4360192,3962.0
4380672,3688.0
4400128,4274.0
4420608,2592.0
4440064,3128.0
4460544,3386.0
4480000,3452.0
4500480,4316.0
4520960,4198.0
4540416,4258.0
4560896,4936.0
4580352,3610.0
4600832,4042.0
4620288,3598.0
4640768,3618.0
4660224,4742.0
4680704,4448.0
4700160,4340.0
4720640,3816.0
4740096,4440.0
4760576,3522.0
4780032,3668.0
4800512,3630.0
4820992,3754.0
4840448,3912.0
4860928,4690.0
4880384,3646.0
4900864,3354.0
4920320,3762.0
4940800,3836.0
4960256,4146.0
4980736,4356.0
5000192,4414.0
5020672,4230.0
5040128,4604.0
5060608,4826.0
5080064,3614.0
5100544,4078.0
5120000,4246.0
5140480,5198.0
5160960,5308.0
5180416,4724.0
5200896,4244.0
5220352,4584.0
5240832,5274.0
5260288,5570.0
5280768,4754.0
5300224,5092.0
5320704,4714.0
5340160,4342.0
