Step,Value
20480,-832.2000122070312
40960,-154.0
60416,-31.399999618530273
80896,-22.399999618530273
100352,-26.799999237060547
120832,-2.4000000953674316
140288,-21.600000381469727
160768,-25.399999618530273
180224,-8.0
200704,-49.599998474121094
220160,-7.800000190734863
240640,0.0
260096,-20.0
280576,-80.0
300032,-2.799999952316284
320512,0.0
340992,-12.199999809265137
360448,-3.799999952316284
380928,-20.399999618530273
400384,-11.399999618530273
420864,-60.0
440320,-59.599998474121094
460800,-40.0
480256,-5.599999904632568
500736,-5.800000190734863
520192,-4.400000095367432
540672,-1.2000000476837158
560128,-37.599998474121094
580608,-8.600000381469727
600064,-4.199999809265137
620544,0.0
640000,-25.600000381469727
660480,-4.800000190734863
680960,-3.0
700416,-20.0
720896,-0.800000011920929
740352,-5.599999904632568
760832,-11.399999618530273
780288,-0.4000000059604645
800768,-4.800000190734863
820224,-37.400001525878906
840704,-80.80000305175781
860160,-195.60000610351562
880640,-9.600000381469727
900096,-24.799999237060547
920576,-162.0
940032,-1.7999999523162842
960512,-86.4000015258789
980992,-8.199999809265137
1000448,-13.199999809265137
1020928,-14.199999809265137
1040384,-7.599999904632568
1060864,-6.199999809265137
1080320,-21.399999618530273
1100800,-134.39999389648438
1120256,-61.79999923706055
1140736,-13.0
1160192,-7.800000190734863
1180672,-5.800000190734863
1200128,-27.399999618530273
1220608,-5.199999809265137
1240064,-0.800000011920929
1260544,-12.0
1280000,-12.800000190734863
1300480,-14.199999809265137
1320960,-9.600000381469727
1340416,-64.80000305175781
1360896,-271.20001220703125
1380352,-161.60000610351562
1400832,-88.0
1420288,-127.80000305175781
1440768,-20.0
1460224,-51.599998474121094
1480704,-40.0
1500160,-113.0
1520640,-98.80000305175781
1540096,-155.0
