Step,Value
20480,100.0
40960,-960.0
60416,2052.39990234375
80896,1119.0
100352,1104.199951171875
120832,-893.7999877929688
140288,2155.0
160768,2020.0
180224,-568.5999755859375
200704,1047.199951171875
220160,3044.39990234375
240640,2065.199951171875
260096,40.0
280576,2069.39990234375
300032,28.799999237060547
320512,1258.800048828125
340992,1251.4000244140625
360448,0.0
380928,0.0
400384,0.0
420864,-466.6000061035156
440320,-349.3999938964844
460800,-165.8000030517578
480256,-200.0
500736,0.0
520192,0.0
540672,-170.8000030517578
560128,0.0
580608,0.0
600064,0.0
620544,0.0
640000,0.0
660480,0.0
680960,0.0
700416,0.0
720896,0.0
740352,0.0
760832,0.0
780288,0.0
800768,0.0
820224,0.0
840704,0.0
860160,-83.4000015258789
880640,0.0
900096,-363.3999938964844
920576,0.0
940032,0.0
960512,0.0
980992,0.0
1000448,0.0
1020928,0.0
1040384,0.0
1060864,0.0
1080320,0.0
1100800,0.0
1120256,0.0
1140736,0.0
1160192,80.0
1180672,-160.0
1200128,80.0
1220608,40.0
1240064,0.0
1260544,100.0
1280000,80.0
1300480,100.0
1320960,60.0
1340416,80.0
1360896,60.0
1380352,80.0
1400832,80.0
1420288,60.0
1440768,100.0
1460224,100.0
1480704,60.0
1500160,100.0
1520640,100.0
1540096,100.0
1560576,100.0
1580032,100.0
1600512,100.0
1620992,100.0
1640448,100.0
1660928,100.0
1680384,100.0
1700864,100.0
1720320,100.0
1740800,100.0
1760256,100.0
1780736,100.0
1800192,100.0
1820672,100.0
1840128,100.0
1860608,100.0
1880064,100.0
1900544,100.0
1920000,100.0
1940480,100.0
1960960,100.0
1980416,100.0
2000896,100.0
2020352,100.0
2040832,100.0
2060288,100.0
2080768,100.0
2100224,100.0
2120704,100.0
2140160,100.0
2160640,100.0
2180096,100.0
2200576,80.0
2220032,100.0
2240512,80.0
2260992,100.0
2280448,100.0
2300928,80.0
2320384,100.0
2340864,100.0
2360320,80.0
2380800,80.0
2400256,100.0
2420736,100.0
2440192,100.0
2460672,100.0
2480128,100.0
2500608,-120.0
2520064,100.0
2540544,60.0
2560000,100.0
2580480,80.0
2600960,100.0
2620416,100.0
2640896,80.0
2660352,80.0
2680832,100.0
2700288,100.0
2720768,100.0
2740224,100.0
2760704,100.0
2780160,100.0
2800640,100.0
2820096,100.0
2840576,100.0
2860032,100.0
2880512,100.0
2900992,80.0
2920448,80.0
2940928,20.0
2960384,100.0
2980864,100.0
3000320,60.0
3020800,100.0
3040256,100.0
3060736,40.0
3080192,100.0
3100672,80.0
3120128,40.0
3140608,100.0
3160064,100.0
3180544,100.0
3200000,80.0
3220480,100.0
3240960,100.0
3260416,100.0
3280896,80.0
3300352,100.0
3320832,100.0
3340288,100.0
3360768,-74.80000305175781
3380224,-370.3999938964844
3400704,-14.0
3420160,-17.600000381469727
3440640,0.0
3460096,0.0
3480576,0.0
3500032,0.0
3520512,-327.79998779296875
3540992,0.0
3560448,0.0
3580928,0.0
3600384,-200.0
3620864,20.0
3640320,0.0
3660800,0.0
3680256,0.0
3700736,0.0
3720192,-200.0
3740672,0.0
3760128,0.0
3780608,-145.0
3800064,-253.8000030517578
3820544,0.0
3840000,0.0
3860480,0.0
3880960,0.0
3900416,0.0
3920896,0.0
3940352,0.0
3960832,0.0
3980288,0.0
4000768,0.0
4020224,0.0
4040704,0.0
4060160,0.0
4080640,0.0
4100096,0.0
4120576,0.0
4140032,0.0
4160512,0.0
4180992,0.0
4200448,0.0
4220928,-65.19999694824219
4240384,0.0
4260864,0.0
4280320,-8.0
4300800,-168.8000030517578
4320256,0.0
4340736,0.0
4360192,0.0
4380672,0.0
4400128,0.0
