Step,Value
20480,1488.0
40960,1562.0
60416,1600.0
80896,1548.0
100352,1478.0
120832,1594.0
140288,1376.0
160768,1908.0
180224,1856.0
200704,1700.0
220160,1814.0
240640,1944.0
260096,2082.0
280576,1508.0
300032,1916.0
320512,2086.0
340992,2094.0
360448,2048.0
380928,2088.0
400384,2176.0
420864,2376.0
440320,2224.0
460800,2196.0
480256,2246.0
500736,2166.0
520192,2146.0
540672,2224.0
560128,2480.0
580608,2252.0
600064,2404.0
620544,2220.0
640000,2306.0
660480,2390.0
680960,2396.0
700416,2436.0
720896,2142.0
740352,2090.0
760832,2412.0
780288,2380.0
800768,2120.0
820224,2092.0
840704,2240.0
860160,2330.0
880640,2260.0
900096,2618.0
920576,2348.0
940032,2508.0
960512,2406.0
980992,2546.0
1000448,2462.0
1020928,2272.0
1040384,2238.0
1060864,2448.0
1080320,2122.0
1100800,2352.0
1120256,2340.0
1140736,2474.0
1160192,2374.0
1180672,2414.0
1200128,2360.0
1220608,2520.0
1240064,2462.0
1260544,2384.0
1280000,2492.0
1300480,2192.0
1320960,2452.0
1340416,2494.0
1360896,2304.0
1380352,2482.0
1400832,2532.0
1420288,2378.0
1440768,2492.0
1460224,2666.0
1480704,2586.0
1500160,2424.0
1520640,2500.0
1540096,2552.0
1560576,2602.0
1580032,2544.0
1600512,2548.0
1620992,2556.0
1640448,2486.0
1660928,2614.0
1680384,2576.0
1700864,2728.0
1720320,2416.0
1740800,2406.0
1760256,2534.0
1780736,2430.0
1800192,2188.0
1820672,2586.0
1840128,2530.0
1860608,2530.0
1880064,2616.0
1900544,2878.0
1920000,2668.0
1940480,2934.0
1960960,2890.0
1980416,2806.0
2000896,3092.0
2020352,2718.0
2040832,3098.0
2060288,2958.0
2080768,2960.0
2100224,2776.0
2120704,3256.0
2140160,2742.0
2160640,3554.0
2180096,3280.0
2200576,3236.0
2220032,3526.0
2240512,3236.0
2260992,3328.0
2280448,3244.0
2300928,4278.0
2320384,3406.0
2340864,3940.0
2360320,2842.0
2380800,3938.0
2400256,3598.0
2420736,3252.0
2440192,4054.0
2460672,4086.0
2480128,4010.0
2500608,3660.0
2520064,4528.0
2540544,4032.0
2560000,5084.0
2580480,4438.0
2600960,3922.0
2620416,3746.0
2640896,3890.0
2660352,4648.0
2680832,3744.0
2700288,4514.0
2720768,4460.0
2740224,3882.0
2760704,4440.0
2780160,4194.0
2800640,5116.0
2820096,4482.0
2840576,4582.0
2860032,5010.0
2880512,4806.0
2900992,4882.0
2920448,3756.0
2940928,4914.0
2960384,4348.0
2980864,5052.0
3000320,4208.0
3020800,4696.0
3040256,5104.0
3060736,5742.0
3080192,5244.0
3100672,5010.0
3120128,5628.0
3140608,6126.0
3160064,5368.0
3180544,5300.0
3200000,4630.0
3220480,4566.0
3240960,5934.0
3260416,4842.0
3280896,4952.0
3300352,5214.0
3320832,4852.0
3340288,4934.0
3360768,5460.0
3380224,4840.0
3400704,5366.0
3420160,5670.0
3440640,5076.0
3460096,5246.0
3480576,4464.0
3500032,5518.0
3520512,5798.0
3540992,5530.0
3560448,5948.0
3580928,5378.0
3600384,5944.0
3620864,5482.0
3640320,4858.0
3660800,5774.0
3680256,6072.0
3700736,4956.0
3720192,4850.0
3740672,5622.0
3760128,6178.0
3780608,5318.0
3800064,5504.0
3820544,6122.0
3840000,5566.0
3860480,4900.0
3880960,6410.0
3900416,6300.0
3920896,5584.0
3940352,5080.0
3960832,6056.0
3980288,6282.0
4000768,5490.0
4020224,6100.0
4040704,6402.0
4060160,5412.0
4080640,6404.0
4100096,6086.0
4120576,5860.0
4140032,5236.0
4160512,4666.0
4180992,5404.0
4200448,5518.0
4220928,5716.0
4240384,6592.0
4260864,5672.0
4280320,5770.0
4300800,5562.0
4320256,4780.0
4340736,5762.0
4360192,5782.0
4380672,5384.0
4400128,6130.0
4420608,4704.0
4440064,5530.0
4460544,5838.0
4480000,5580.0
4500480,5564.0
4520960,5738.0
4540416,5014.0
4560896,5684.0
4580352,6122.0
4600832,6376.0
4620288,5766.0
4640768,6196.0
4660224,5866.0
4680704,6260.0
4700160,5726.0
4720640,5834.0
4740096,6784.0
4760576,4324.0
4780032,6176.0
4800512,6710.0
4820992,6346.0
4840448,5580.0
4860928,5922.0
4880384,5888.0
4900864,5966.0
4920320,5918.0
4940800,6472.0
4960256,6364.0
4980736,4946.0
5000192,5046.0
