Step,Value
20480,900.0
40960,1020.0
60416,2300.0
80896,1560.0
100352,2300.0
120832,2140.0
140288,2140.0
160768,1940.0
180224,2840.0
200704,2300.0
220160,1200.0
240640,2640.0
260096,2380.0
280576,3020.0
300032,1940.0
320512,1600.0
340992,1820.0
360448,2200.0
380928,2960.0
400384,1380.0
420864,2600.0
440320,2560.0
460800,2560.0
480256,2400.0
500736,1420.0
520192,2540.0
540672,3340.0
560128,1880.0
580608,2760.0
600064,2220.0
620544,2600.0
640000,2380.0
660480,1780.0
680960,2580.0
700416,1920.0
720896,2480.0
740352,3680.0
760832,2700.0
780288,2960.0
800768,5320.0
820224,5400.0
840704,5040.0
860160,5100.0
880640,6640.0
900096,7860.0
920576,8940.0
940032,7200.0
960512,8440.0
980992,10540.0
1000448,10080.0
1020928,10560.0
1040384,11020.0
1060864,11240.0
1080320,15660.0
1100800,13420.0
1120256,14020.0
1140736,13900.0
1160192,15300.0
1180672,14480.0
1200128,16160.0
1220608,13640.0
1240064,14440.0
1260544,14840.0
1280000,12500.0
1300480,15980.0
1320960,13660.0
1340416,14700.0
1360896,13940.0
1380352,13380.0
1400832,16060.0
1420288,14260.0
1440768,17420.0
1460224,13880.0
1480704,15420.0
1500160,17180.0
1520640,15840.0
1540096,15220.0
1560576,15700.0
1580032,15000.0
1600512,16440.0
1620992,16360.0
1640448,19700.0
1660928,13480.0
1680384,15680.0
1700864,18240.0
1720320,15100.0
1740800,16820.0
1760256,14800.0
1780736,16540.0
1800192,17660.0
1820672,17900.0
1840128,16880.0
1860608,16060.0
1880064,16540.0
1900544,17180.0
1920000,18500.0
1940480,18480.0
1960960,18500.0
1980416,19500.0
2000896,15680.0
2020352,16100.0
2040832,17100.0
2060288,14740.0
2080768,15600.0
2100224,15300.0
2120704,16520.0
2140160,18840.0
2160640,16980.0
2180096,16060.0
2200576,19120.0
2220032,16700.0
2240512,17140.0
2260992,16980.0
2280448,18400.0
2300928,19020.0
2320384,16380.0
2340864,17500.0
2360320,17940.0
2380800,18480.0
2400256,16740.0
2420736,18600.0
2440192,17400.0
2460672,18320.0
2480128,18580.0
2500608,16500.0
2520064,19260.0
2540544,18300.0
2560000,17740.0
2580480,16640.0
2600960,20140.0
2620416,19280.0
2640896,18100.0
2660352,19340.0
2680832,17760.0
2700288,18040.0
2720768,19520.0
2740224,19300.0
2760704,18920.0
2780160,18700.0
2800640,20060.0
2820096,17780.0
2840576,18300.0
2860032,19320.0
2880512,18440.0
2900992,18560.0
2920448,16220.0
2940928,19500.0
2960384,19200.0
2980864,20680.0
3000320,18700.0
3020800,18780.0
3040256,20200.0
3060736,20340.0
3080192,17820.0
3100672,20320.0
3120128,18600.0
3140608,19180.0
3160064,20160.0
3180544,21220.0
3200000,21040.0
3220480,20160.0
3240960,21180.0
3260416,20840.0
3280896,20300.0
3300352,19320.0
3320832,18960.0
3340288,21580.0
3360768,20760.0
3380224,20880.0
3400704,19880.0
3420160,20380.0
3440640,16680.0
3460096,20840.0
3480576,18220.0
3500032,20800.0
3520512,19720.0
3540992,20780.0
3560448,20420.0
3580928,22220.0
3600384,19180.0
3620864,21200.0
3640320,21460.0
3660800,19320.0
3680256,20820.0
3700736,20620.0
3720192,23480.0
3740672,22120.0
3760128,20520.0
3780608,20520.0
3800064,18500.0
3820544,21120.0
3840000,21100.0
3860480,21360.0
3880960,19380.0
3900416,19800.0
3920896,20420.0
3940352,24780.0
3960832,19520.0
3980288,22460.0
4000768,21340.0
4020224,19780.0
4040704,21280.0
4060160,19640.0
4080640,21620.0
4100096,19380.0
4120576,19760.0
4140032,21560.0
4160512,21840.0
4180992,21760.0
4200448,21380.0
4220928,18680.0
4240384,21980.0
4260864,22580.0
4280320,23120.0
4300800,18260.0
4320256,22280.0
4340736,21120.0
4360192,21380.0
4380672,20560.0
4400128,22060.0
4420608,20380.0
4440064,20400.0
4460544,21040.0
4480000,22500.0
4500480,22620.0
4520960,21340.0
4540416,19340.0
4560896,21820.0
4580352,20860.0
4600832,21040.0
4620288,20780.0
4640768,22740.0
4660224,21740.0
4680704,24420.0
4700160,22260.0
4720640,22500.0
4740096,21100.0
4760576,20400.0
4780032,19340.0
4800512,21520.0
4820992,19580.0
4840448,22340.0
4860928,20540.0
4880384,22880.0
4900864,20260.0
4920320,21480.0
4940800,23760.0
4960256,21240.0
4980736,22860.0
5000192,22300.0
