Step,Value
20480,296.0
40960,408.0
60416,308.0
80896,368.0
100352,400.0
120832,452.0
140288,476.0
160768,248.0
180224,372.0
200704,340.0
220160,476.0
240640,328.0
260096,352.0
280576,508.0
300032,452.0
320512,480.0
340992,556.0
360448,512.0
380928,448.0
400384,524.0
420864,604.0
440320,596.0
460800,656.0
480256,680.0
500736,732.0
520192,632.0
540672,656.0
560128,672.0
580608,724.0
600064,728.0
620544,756.0
640000,804.0
660480,728.0
680960,632.0
700416,752.0
720896,456.0
740352,792.0
760832,796.0
780288,844.0
800768,780.0
820224,820.0
840704,760.0
860160,752.0
880640,744.0
900096,780.0
920576,768.0
940032,788.0
960512,784.0
980992,784.0
1000448,780.0
1020928,860.0
1040384,820.0
1060864,832.0
1080320,820.0
1100800,844.0
1120256,832.0
1140736,864.0
1160192,844.0
1180672,848.0
1200128,812.0
1220608,812.0
1240064,864.0
1260544,800.0
1280000,848.0
1300480,876.0
1320960,876.0
1340416,876.0
1360896,872.0
1380352,876.0
1400832,876.0
1420288,884.0
1440768,828.0
1460224,884.0
1480704,884.0
1500160,840.0
1520640,888.0
1540096,868.0
1560576,884.0
1580032,876.0
1600512,844.0
1620992,828.0
1640448,888.0
1660928,880.0
1680384,860.0
1700864,872.0
1720320,876.0
1740800,860.0
1760256,884.0
1780736,880.0
1800192,820.0
1820672,888.0
1840128,856.0
1860608,852.0
1880064,880.0
1900544,852.0
1920000,888.0
1940480,876.0
1960960,844.0
1980416,884.0
2000896,880.0
2020352,880.0
2040832,868.0
2060288,884.0
2080768,884.0
2100224,884.0
2120704,892.0
2140160,892.0
2160640,856.0
2180096,892.0
2200576,880.0
2220032,884.0
2240512,892.0
2260992,900.0
2280448,892.0
2300928,888.0
2320384,880.0
2340864,884.0
2360320,888.0
2380800,884.0
2400256,884.0
2420736,888.0
2440192,900.0
2460672,908.0
2480128,888.0
2500608,856.0
2520064,880.0
2540544,880.0
2560000,900.0
2580480,884.0
2600960,900.0
2620416,896.0
2640896,900.0
2660352,896.0
2680832,896.0
2700288,904.0
2720768,900.0
2740224,880.0
2760704,904.0
2780160,896.0
2800640,908.0
2820096,904.0
2840576,900.0
2860032,912.0
2880512,896.0
2900992,900.0
2920448,896.0
2940928,896.0
2960384,900.0
2980864,896.0
3000320,900.0
3020800,908.0
3040256,884.0
3060736,892.0
3080192,896.0
3100672,900.0
3120128,888.0
3140608,892.0
3160064,900.0
3180544,896.0
3200000,920.0
3220480,912.0
3240960,908.0
3260416,924.0
3280896,904.0
3300352,912.0
3320832,908.0
3340288,912.0
3360768,896.0
3380224,896.0
3400704,896.0
3420160,904.0
3440640,908.0
3460096,900.0
3480576,912.0
3500032,896.0
3520512,900.0
3540992,896.0
3560448,904.0
3580928,908.0
3600384,916.0
3620864,892.0
3640320,912.0
3660800,892.0
3680256,888.0
3700736,904.0
3720192,888.0
3740672,900.0
3760128,904.0
3780608,916.0
3800064,912.0
3820544,900.0
3840000,912.0
3860480,876.0
3880960,904.0
3900416,900.0
3920896,900.0
3940352,900.0
3960832,908.0
3980288,900.0
4000768,900.0
4020224,916.0
4040704,908.0
4060160,908.0
4080640,904.0
4100096,912.0
4120576,892.0
4140032,928.0
4160512,904.0
4180992,900.0
4200448,900.0
4220928,912.0
4240384,920.0
4260864,912.0
4280320,916.0
4300800,916.0
4320256,892.0
4340736,904.0
4360192,912.0
4380672,916.0
4400128,912.0
4420608,896.0
4440064,908.0
4460544,900.0
4480000,916.0
4500480,904.0
4520960,916.0
4540416,892.0
4560896,904.0
4580352,904.0
4600832,928.0
4620288,928.0
4640768,912.0
4660224,904.0
4680704,908.0
4700160,920.0
4720640,940.0
4740096,912.0
4760576,920.0
4780032,904.0
4800512,920.0
4820992,916.0
4840448,920.0
4860928,904.0
4880384,920.0
4900864,896.0
4920320,916.0
4940800,928.0
4960256,904.0
4980736,904.0
5000192,908.0
