Step,Value
20480,186.0
40960,197.0
60416,240.0
80896,252.0
100352,254.0
120832,196.0
140288,192.0
160768,370.0
180224,173.0
200704,313.0
220160,176.0
240640,273.0
260096,235.0
280576,329.0
300032,246.0
320512,403.0
340992,241.0
360448,316.0
380928,254.0
400384,250.0
420864,328.0
440320,242.0
460800,218.0
480256,346.0
500736,429.0
520192,337.0
540672,159.0
560128,214.0
580608,275.0
600064,302.0
620544,225.0
640000,213.0
660480,271.0
680960,388.0
700416,241.0
720896,181.0
740352,374.0
760832,375.0
780288,308.0
800768,299.0
820224,370.0
840704,301.0
860160,374.0
880640,415.0
900096,356.0
920576,280.0
940032,348.0
960512,373.0
980992,329.0
1000448,198.0
1020928,372.0
1040384,417.0
1060864,294.0
1080320,385.0
1100800,418.0
1120256,344.0
1140736,530.0
1160192,337.0
1180672,296.0
1200128,482.0
1220608,391.0
1240064,468.0
1260544,422.0
1280000,313.0
1300480,354.0
1320960,485.0
1340416,439.0
1360896,423.0
1380352,387.0
1400832,456.0
1420288,506.0
1440768,298.0
1460224,379.0
1480704,308.0
1500160,618.0
1520640,640.0
1540096,652.0
1560576,491.0
1580032,342.0
1600512,615.0
1620992,400.0
1640448,401.0
1660928,641.0
1680384,647.0
1700864,430.0
1720320,594.0
1740800,513.0
1760256,607.0
1780736,520.0
1800192,496.0
1820672,550.0
1840128,549.0
1860608,631.0
1880064,524.0
1900544,691.0
1920000,557.0
1940480,621.0
1960960,637.0
1980416,541.0
2000896,636.0
2020352,619.0
2040832,643.0
2060288,795.0
2080768,799.0
2100224,695.0
2120704,667.0
2140160,601.0
2160640,826.0
2180096,658.0
2200576,648.0
2220032,581.0
2240512,809.0
2260992,703.0
2280448,536.0
2300928,685.0
2320384,671.0
2340864,871.0
2360320,566.0
2380800,712.0
2400256,925.0
2420736,771.0
2440192,773.0
2460672,579.0
2480128,709.0
2500608,659.0
2520064,719.0
2540544,917.0
2560000,744.0
2580480,589.0
2600960,532.0
2620416,724.0
2640896,820.0
2660352,860.0
2680832,793.0
2700288,693.0
2720768,684.0
2740224,670.0
2760704,602.0
2780160,584.0
2800640,546.0
2820096,721.0
2840576,798.0
2860032,860.0
2880512,575.0
2900992,849.0
2920448,891.0
2940928,661.0
2960384,729.0
2980864,604.0
3000320,742.0
3020800,771.0
3040256,960.0
3060736,1030.0
3080192,680.0
3100672,796.0
3120128,605.0
3140608,711.0
3160064,581.0
3180544,679.0
3200000,758.0
3220480,1011.0
3240960,877.0
3260416,729.0
3280896,1037.0
3300352,847.0
3320832,746.0
3340288,818.0
3360768,918.0
3380224,796.0
3400704,908.0
3420160,912.0
3440640,830.0
3460096,988.0
3480576,544.0
3500032,906.0
3520512,603.0
3540992,828.0
3560448,506.0
3580928,956.0
3600384,759.0
3620864,597.0
3640320,1006.0
3660800,743.0
3680256,833.0
3700736,1323.0
3720192,701.0
3740672,1453.0
3760128,777.0
3780608,684.0
3800064,715.0
3820544,992.0
3840000,785.0
3860480,626.0
3880960,1007.0
3900416,635.0
3920896,1034.0
3940352,994.0
3960832,673.0
3980288,804.0
4000768,519.0
4020224,738.0
4040704,781.0
4060160,727.0
4080640,1165.0
4100096,732.0
4120576,666.0
4140032,598.0
4160512,921.0
4180992,716.0
4200448,751.0
4220928,850.0
4240384,990.0
4260864,749.0
4280320,651.0
4300800,1057.0
4320256,984.0
4340736,672.0
4360192,704.0
4380672,878.0
4400128,854.0
4420608,1298.0
4440064,853.0
4460544,676.0
4480000,590.0
4500480,876.0
4520960,541.0
4540416,764.0
4560896,899.0
4580352,1033.0
4600832,689.0
4620288,941.0
4640768,936.0
4660224,796.0
4680704,913.0
4700160,693.0
4720640,1143.0
4740096,851.0
4760576,923.0
4780032,1145.0
4800512,923.0
4820992,724.0
4840448,1033.0
4860928,785.0
4880384,1106.0
4900864,609.0
4920320,603.0
4940800,849.0
4960256,612.0
4980736,793.0
5000192,679.0
