Step,Value
20480,680.0
40960,1140.0
60416,660.0
80896,820.0
100352,920.0
120832,740.0
140288,1020.0
160768,1020.0
180224,1020.0
200704,900.0
220160,1560.0
240640,1400.0
260096,1080.0
280576,1320.0
300032,1940.0
320512,1260.0
340992,1060.0
360448,1380.0
380928,1020.0
400384,1580.0
420864,1640.0
440320,1140.0
460800,1520.0
480256,1220.0
500736,2000.0
520192,2080.0
540672,2480.0
560128,1760.0
580608,2200.0
600064,1340.0
620544,2780.0
640000,2100.0
660480,2100.0
680960,2120.0
700416,2340.0
720896,1640.0
740352,2820.0
760832,3000.0
780288,2080.0
800768,2420.0
820224,3600.0
840704,2500.0
860160,3080.0
880640,4420.0
900096,2880.0
920576,4240.0
940032,4180.0
960512,4040.0
980992,3880.0
1000448,3900.0
1020928,4840.0
1040384,5060.0
1060864,4380.0
1080320,4180.0
1100800,4460.0
1120256,4940.0
1140736,3960.0
1160192,4500.0
1180672,3300.0
1200128,5520.0
1220608,3520.0
1240064,5220.0
1260544,7360.0
1280000,6020.0
1300480,8340.0
1320960,4600.0
1340416,6400.0
1360896,5020.0
1380352,6520.0
1400832,5920.0
1420288,11980.0
1440768,9580.0
1460224,4820.0
1480704,6400.0
1500160,8160.0
1520640,8860.0
1540096,4420.0
1560576,7240.0
1580032,6520.0
1600512,6580.0
1620992,4620.0
1640448,5480.0
1660928,8080.0
1680384,9980.0
1700864,10420.0
1720320,7660.0
1740800,9880.0
1760256,10740.0
1780736,13220.0
1800192,12400.0
1820672,9560.0
1840128,10540.0
1860608,12560.0
1880064,6520.0
1900544,9660.0
1920000,9540.0
1940480,13240.0
1960960,9180.0
1980416,6260.0
2000896,12060.0
2020352,10400.0
2040832,9720.0
2060288,13460.0
2080768,19100.0
2100224,10520.0
2120704,15880.0
2140160,8440.0
2160640,10200.0
2180096,16280.0
2200576,14120.0
2220032,10960.0
2240512,14200.0
2260992,15800.0
2280448,11340.0
2300928,13120.0
2320384,20320.0
2340864,10700.0
2360320,13460.0
2380800,9900.0
2400256,14620.0
2420736,12560.0
2440192,10080.0
2460672,9740.0
2480128,15980.0
2500608,14020.0
2520064,12480.0
2540544,11320.0
2560000,13900.0
2580480,18900.0
2600960,16600.0
2620416,11620.0
2640896,10100.0
2660352,12580.0
2680832,19640.0
2700288,11920.0
2720768,16160.0
2740224,18500.0
2760704,19620.0
2780160,14660.0
2800640,9760.0
2820096,17120.0
2840576,20600.0
2860032,10660.0
2880512,13800.0
2900992,12540.0
2920448,18540.0
2940928,17640.0
2960384,14820.0
2980864,13460.0
3000320,18640.0
3020800,13980.0
3040256,22440.0
3060736,15520.0
3080192,15320.0
3100672,16960.0
3120128,13020.0
3140608,16560.0
3160064,20460.0
3180544,11760.0
3200000,15720.0
3220480,10940.0
3240960,18580.0
3260416,22200.0
3280896,20660.0
3300352,19200.0
3320832,19700.0
3340288,16760.0
3360768,17640.0
3380224,15640.0
3400704,10120.0
3420160,24840.0
3440640,23880.0
3460096,18520.0
3480576,16680.0
3500032,17040.0
3520512,17060.0
3540992,22240.0
3560448,16120.0
3580928,15160.0
3600384,18620.0
3620864,20700.0
3640320,25960.0
3660800,20520.0
3680256,21340.0
3700736,19800.0
3720192,19760.0
3740672,18920.0
3760128,26280.0
3780608,24000.0
3800064,29060.0
3820544,14860.0
3840000,15800.0
3860480,28800.0
3880960,12780.0
3900416,22200.0
3920896,24000.0
3940352,19540.0
3960832,21440.0
3980288,23200.0
4000768,20760.0
4020224,18540.0
4040704,14060.0
4060160,22480.0
4080640,16520.0
4100096,19000.0
4120576,18620.0
4140032,17200.0
4160512,15780.0
4180992,22920.0
4200448,27960.0
4220928,20640.0
4240384,18540.0
4260864,17280.0
4280320,21840.0
4300800,16420.0
4320256,15180.0
4340736,23160.0
4360192,26820.0
4380672,20440.0
4400128,29660.0
4420608,30200.0
4440064,21580.0
4460544,14160.0
4480000,20200.0
4500480,23000.0
4520960,22960.0
4540416,19660.0
4560896,13120.0
4580352,24100.0
4600832,17740.0
4620288,20960.0
4640768,22760.0
4660224,17560.0
4680704,16500.0
4700160,27640.0
4720640,21780.0
4740096,28000.0
4760576,16520.0
4780032,33480.0
4800512,25240.0
4820992,31180.0
4840448,24780.0
4860928,16860.0
4880384,16480.0
4900864,27960.0
4920320,28840.0
4940800,25860.0
4960256,29240.0
4980736,20320.0
5000192,28140.0
