Step,Value
20480,-24.0
40960,-24.0
60416,-24.0
80896,-24.0
100352,-24.0
120832,-23.799999237060547
140288,-24.0
160768,-24.0
180224,-23.799999237060547
200704,-24.0
220160,-24.0
240640,-23.0
260096,-24.0
280576,-15.600000381469727
300032,-23.0
320512,-14.800000190734863
340992,-21.0
360448,-18.399999618530273
380928,-23.799999237060547
400384,-24.0
420864,-24.0
440320,-18.0
460800,-22.600000381469727
480256,-15.0
500736,-13.800000190734863
520192,-19.799999237060547
540672,-16.600000381469727
560128,-13.399999618530273
580608,-12.399999618530273
600064,-7.800000190734863
620544,-13.600000381469727
640000,-8.399999618530273
660480,-16.399999618530273
680960,-10.399999618530273
700416,-11.399999618530273
720896,-16.600000381469727
740352,-5.199999809265137
760832,-7.400000095367432
780288,-6.199999809265137
800768,-10.199999809265137
820224,-14.399999618530273
840704,-8.600000381469727
860160,-8.0
880640,-8.199999809265137
900096,-10.800000190734863
920576,-8.0
940032,-17.200000762939453
960512,-12.800000190734863
980992,-9.600000381469727
1000448,-9.800000190734863
1020928,-14.0
1040384,-15.600000381469727
1060864,-13.800000190734863
1080320,-17.200000762939453
1100800,-15.399999618530273
1120256,-14.0
1140736,-12.199999809265137
1160192,-15.399999618530273
1180672,-15.0
1200128,-17.0
1220608,-13.600000381469727
1240064,-6.0
1260544,-11.199999809265137
1280000,-9.0
1300480,-2.799999952316284
1320960,-4.800000190734863
1340416,-1.7999999523162842
1360896,-8.199999809265137
1380352,-11.0
1400832,-12.600000381469727
1420288,-2.5999999046325684
1440768,-9.199999809265137
1460224,-1.600000023841858
1480704,-9.800000190734863
1500160,-10.600000381469727
1520640,-6.0
1540096,-10.0
1560576,-9.0
1580032,-10.0
1600512,-10.0
1620992,-12.199999809265137
1640448,-12.600000381469727
1660928,-7.800000190734863
1680384,-9.399999618530273
1700864,-9.199999809265137
1720320,-5.0
1740800,-11.399999618530273
1760256,-2.5999999046325684
1780736,-7.400000095367432
1800192,-1.600000023841858
1820672,-2.200000047683716
1840128,-2.0
1860608,-4.800000190734863
1880064,-12.399999618530273
1900544,-16.0
1920000,-8.199999809265137
1940480,-7.599999904632568
1960960,-10.199999809265137
1980416,-9.199999809265137
2000896,-5.800000190734863
2020352,-8.800000190734863
2040832,-9.800000190734863
2060288,-3.5999999046325684
2080768,-6.400000095367432
2100224,-4.599999904632568
2120704,-6.599999904632568
2140160,-4.800000190734863
2160640,-12.800000190734863
2180096,-20.799999237060547
2200576,-9.399999618530273
2220032,-14.800000190734863
2240512,-15.800000190734863
2260992,-23.799999237060547
2280448,-16.799999237060547
2300928,-15.199999809265137
2320384,-22.799999237060547
2340864,-21.0
2360320,-22.799999237060547
2380800,-17.399999618530273
2400256,-7.199999809265137
2420736,-15.199999809265137
2440192,-18.399999618530273
2460672,-11.800000190734863
2480128,-7.800000190734863
2500608,-12.399999618530273
2520064,-18.799999237060547
2540544,-14.800000190734863
2560000,-19.600000381469727
2580480,-19.399999618530273
2600960,-15.0
2620416,-23.799999237060547
2640896,-19.200000762939453
2660352,-24.0
2680832,-24.0
2700288,-22.0
2720768,-24.0
2740224,-17.399999618530273
2760704,-11.0
2780160,-10.800000190734863
2800640,-10.600000381469727
2820096,-17.200000762939453
2840576,-21.0
2860032,-20.799999237060547
2880512,-19.0
2900992,-24.0
2920448,-16.399999618530273
2940928,-19.799999237060547
2960384,-12.399999618530273
2980864,-15.600000381469727
3000320,-9.399999618530273
3020800,-16.600000381469727
3040256,-7.800000190734863
3060736,-15.199999809265137
3080192,-14.199999809265137
3100672,-15.0
3120128,-24.0
3140608,-17.0
3160064,-21.0
3180544,-17.600000381469727
3200000,-13.399999618530273
3220480,-11.199999809265137
3240960,-18.200000762939453
3260416,-15.600000381469727
3280896,-22.799999237060547
3300352,-17.799999237060547
3320832,-21.399999618530273
3340288,-23.799999237060547
3360768,-20.200000762939453
3380224,-6.599999904632568
3400704,-10.399999618530273
3420160,-13.800000190734863
3440640,-11.399999618530273
3460096,-14.399999618530273
3480576,-17.200000762939453
3500032,-15.199999809265137
3520512,-20.799999237060547
3540992,-6.800000190734863
3560448,-19.600000381469727
3580928,-15.199999809265137
3600384,-11.199999809265137
