Step,Value
20480,882.0
40960,1216.0
60416,1760.0
80896,966.0
100352,1692.0
120832,1208.0
140288,1058.0
160768,1878.0
180224,920.0
200704,1614.0
220160,2418.0
240640,1736.0
260096,1314.0
280576,1754.0
300032,1338.0
320512,2386.0
340992,1314.0
360448,1332.0
380928,1180.0
400384,1082.0
420864,2672.0
440320,2050.0
460800,1902.0
480256,2180.0
500736,2628.0
520192,2308.0
540672,2412.0
560128,1302.0
580608,1574.0
600064,1968.0
620544,894.0
640000,2328.0
660480,2820.0
680960,2660.0
700416,2634.0
720896,2042.0
740352,3626.0
760832,3834.0
780288,2022.0
800768,2590.0
820224,1610.0
840704,3154.0
860160,3262.0
880640,4942.0
900096,2266.0
920576,4098.0
940032,5634.0
960512,2968.0
980992,4126.0
1000448,3948.0
1020928,4018.0
1040384,2414.0
1060864,5210.0
1080320,4664.0
1100800,4822.0
1120256,4648.0
1140736,5004.0
1160192,6640.0
1180672,4836.0
1200128,4194.0
1220608,4564.0
1240064,8256.0
1260544,4520.0
1280000,5414.0
1300480,3368.0
1320960,4762.0
1340416,5176.0
1360896,5674.0
1380352,6680.0
1400832,7714.0
1420288,8956.0
1440768,6314.0
1460224,3352.0
1480704,7414.0
1500160,16048.0
1520640,13332.0
1540096,6102.0
1560576,8200.0
1580032,8698.0
1600512,12978.0
1620992,9470.0
1640448,13778.0
1660928,6542.0
1680384,17674.0
1700864,13424.0
1720320,10466.0
1740800,5150.0
1760256,14352.0
1780736,6316.0
1800192,7198.0
1820672,10928.0
1840128,17306.0
1860608,14286.0
1880064,6792.0
1900544,8426.0
1920000,9328.0
1940480,5578.0
1960960,11586.0
1980416,7142.0
2000896,3116.0
2020352,5042.0
2040832,11522.0
2060288,9378.0
2080768,8308.0
2100224,4560.0
2120704,9874.0
2140160,17022.0
2160640,15906.0
2180096,12298.0
2200576,12630.0
2220032,12182.0
2240512,12418.0
2260992,8710.0
2280448,18364.0
2300928,7658.0
2320384,14650.0
2340864,7814.0
2360320,9146.0
2380800,10958.0
2400256,9344.0
2420736,13210.0
2440192,9074.0
2460672,12414.0
2480128,16860.0
2500608,13830.0
2520064,13608.0
2540544,17898.0
2560000,9340.0
2580480,9848.0
2600960,21912.0
2620416,11518.0
2640896,22578.0
2660352,25358.0
2680832,20756.0
2700288,14876.0
2720768,15792.0
2740224,17072.0
2760704,5824.0
2780160,5286.0
2800640,15790.0
2820096,21952.0
2840576,8590.0
2860032,13668.0
2880512,10454.0
2900992,13766.0
2920448,20738.0
2940928,17958.0
2960384,18282.0
2980864,20832.0
3000320,18982.0
3020800,6982.0
3040256,7344.0
3060736,10990.0
3080192,14016.0
3100672,13916.0
3120128,8174.0
3140608,8778.0
3160064,12872.0
3180544,6162.0
3200000,6846.0
3220480,5774.0
3240960,9608.0
3260416,11206.0
3280896,4918.0
3300352,5494.0
3320832,3488.0
3340288,4118.0
3360768,9416.0
3380224,14940.0
3400704,8562.0
3420160,9266.0
3440640,2584.0
3460096,5588.0
3480576,3086.0
3500032,4900.0
3520512,5100.0
3540992,9130.0
3560448,4158.0
3580928,8338.0
3600384,5638.0
3620864,6664.0
3640320,7226.0
3660800,9336.0
3680256,5650.0
3700736,8706.0
3720192,7540.0
3740672,13674.0
3760128,11418.0
3780608,11484.0
3800064,11182.0
3820544,11178.0
3840000,8592.0
3860480,10478.0
3880960,9078.0
3900416,11410.0
3920896,5296.0
3940352,10696.0
3960832,10182.0
3980288,9960.0
4000768,9156.0
4020224,11436.0
4040704,5484.0
4060160,10954.0
4080640,10754.0
4100096,16900.0
4120576,17688.0
4140032,17628.0
4160512,8474.0
4180992,6712.0
4200448,7870.0
4220928,13010.0
4240384,11894.0
4260864,12262.0
4280320,9976.0
4300800,14570.0
4320256,20502.0
4340736,11382.0
4360192,18036.0
4380672,10220.0
4400128,22796.0
4420608,8730.0
4440064,8432.0
4460544,13596.0
4480000,14198.0
4500480,10826.0
4520960,11188.0
4540416,13084.0
4560896,11158.0
4580352,10642.0
4600832,16352.0
4620288,17340.0
4640768,14096.0
4660224,11160.0
4680704,15700.0
4700160,16486.0
4720640,12378.0
4740096,12036.0
4760576,21086.0
4780032,12438.0
4800512,14574.0
4820992,14582.0
4840448,8062.0
4860928,14970.0
4880384,17308.0
4900864,11558.0
4920320,13920.0
4940800,13214.0
4960256,23060.0
4980736,17118.0
5000192,9792.0
