Step,Value
20480,28595.599609375
40960,14269.0
60416,14587.2001953125
80896,18291.19921875
100352,13385.7998046875
120832,28137.19921875
140288,34012.0
160768,22124.0
180224,63830.80078125
200704,27239.599609375
220160,17110.400390625
240640,34004.80078125
260096,20861.400390625
280576,19491.0
300032,37159.6015625
320512,61706.0
340992,29349.400390625
360448,23935.19921875
380928,49192.3984375
400384,24515.0
420864,80639.3984375
440320,24278.400390625
460800,53932.3984375
480256,31685.19921875
500736,45140.6015625
520192,20541.19921875
540672,25248.0
560128,12164.7998046875
580608,12045.2001953125
600064,24615.0
620544,28480.599609375
640000,34198.0
660480,26621.400390625
680960,21703.400390625
700416,36348.0
720896,24892.400390625
740352,48225.80078125
760832,29040.400390625
780288,32879.6015625
800768,37139.6015625
820224,20878.599609375
840704,27483.0
860160,49482.0
880640,51194.19921875
900096,27782.599609375
920576,27040.400390625
940032,33657.6015625
960512,38869.19921875
980992,27118.400390625
1000448,35256.0
1020928,23813.599609375
1040384,45025.0
1060864,33612.3984375
1080320,35068.80078125
1100800,26601.19921875
1120256,23053.19921875
1140736,42650.0
1160192,14241.400390625
1180672,24187.19921875
1200128,23642.400390625
1220608,20459.0
1240064,30526.19921875
1260544,30324.0
1280000,30819.400390625
1300480,40137.3984375
1320960,22946.0
1340416,6274.0
1360896,18573.19921875
1380352,18967.599609375
1400832,20614.599609375
1420288,17968.400390625
1440768,10577.599609375
1460224,33098.80078125
1480704,9344.7998046875
1500160,27234.19921875
1520640,43847.6015625
1540096,22733.80078125
1560576,52689.0
1580032,19512.19921875
1600512,42950.6015625
1620992,23331.80078125
1640448,18931.400390625
1660928,36565.80078125
1680384,13020.599609375
1700864,22176.19921875
1720320,25976.400390625
1740800,33581.0
1760256,19653.0
1780736,43411.80078125
1800192,22571.0
1820672,22766.400390625
1840128,19446.599609375
1860608,32454.599609375
1880064,22809.599609375
1900544,27401.80078125
1920000,17571.400390625
1940480,50766.6015625
1960960,66685.6015625
1980416,19368.80078125
2000896,21815.80078125
2020352,41550.3984375
2040832,14534.400390625
2060288,13207.7998046875
2080768,20831.80078125
2100224,39394.0
2120704,30991.599609375
2140160,11200.599609375
2160640,26991.80078125
2180096,20087.0
2200576,16993.80078125
2220032,25900.19921875
2240512,24779.400390625
2260992,19601.0
2280448,51980.19921875
2300928,30509.400390625
2320384,52203.3984375
2340864,15793.400390625
2360320,26477.599609375
2380800,42080.80078125
2400256,26248.400390625
2420736,31776.599609375
2440192,20555.400390625
2460672,30783.0
2480128,20987.400390625
2500608,24922.599609375
2520064,20962.400390625
2540544,49137.19921875
2560000,29241.599609375
2580480,88158.796875
2600960,39882.19921875
2620416,77380.6015625
2640896,38573.6015625
2660352,44232.6015625
2680832,30023.400390625
2700288,51189.80078125
2720768,21533.19921875
2740224,28598.19921875
2760704,18992.0
2780160,14122.400390625
2800640,30786.599609375
2820096,33794.3984375
2840576,50699.80078125
2860032,17004.0
2880512,19953.400390625
2900992,52625.6015625
2920448,34096.0
2940928,15764.7998046875
2960384,29460.0
2980864,25061.19921875
3000320,7973.2001953125
3020800,19951.0
3040256,48666.6015625
3060736,25597.0
3080192,53529.6015625
3100672,43031.3984375
3120128,17157.80078125
3140608,29864.400390625
3160064,22057.0
3180544,28550.19921875
3200000,24655.400390625
3220480,24154.0
3240960,38102.19921875
3260416,23050.400390625
3280896,36158.80078125
3300352,14711.599609375
3320832,23911.599609375
3340288,50659.80078125
3360768,35064.3984375
3380224,24671.599609375
3400704,32437.400390625
3420160,14783.599609375
3440640,17821.599609375
3460096,18311.80078125
3480576,23715.0
3500032,27981.80078125
3520512,35669.3984375
3540992,26938.0
3560448,25875.400390625
3580928,26222.400390625
3600384,25825.0
3620864,24163.80078125
3640320,31903.599609375
3660800,22374.0
3680256,27517.400390625
3700736,52556.80078125
3720192,33752.80078125
3740672,35151.80078125
3760128,40800.80078125
3780608,20311.19921875
3800064,22723.400390625
3820544,23789.400390625
3840000,23778.0
3860480,20875.0
3880960,40267.19921875
3900416,20813.80078125
3920896,27646.0
3940352,29513.80078125
3960832,69630.3984375
3980288,25359.19921875
4000768,29161.0
4020224,47393.6015625
4040704,13039.2001953125
4060160,20107.19921875
4080640,49796.0
4100096,18873.0
4120576,16946.599609375
4140032,29477.80078125
4160512,31478.80078125
4180992,20928.599609375
4200448,37748.6015625
4220928,22601.0
4240384,27547.400390625
4260864,39766.19921875
4280320,17248.80078125
4300800,17145.599609375
4320256,39642.3984375
4340736,28420.80078125
4360192,28372.400390625
4380672,17822.19921875
4400128,18090.599609375
4420608,45959.19921875
4440064,21917.0
4460544,39737.3984375
4480000,29229.0
4500480,35470.19921875
4520960,18995.19921875
4540416,35303.0
4560896,30136.599609375
4580352,24974.599609375
4600832,16828.19921875
4620288,28215.599609375
4640768,33162.0
4660224,32321.400390625
4680704,20888.400390625
4700160,15073.2001953125
4720640,16584.599609375
4740096,30263.599609375
4760576,28315.599609375
4780032,19964.400390625
4800512,49431.80078125
4820992,71806.203125
4840448,24233.599609375
4860928,23967.0
4880384,25471.19921875
4900864,18158.0
4920320,21244.0
4940800,43116.0
4960256,35154.6015625
4980736,17644.19921875
5000192,25713.0
