Step,Value
20480,960.0
40960,1020.0
60416,400.0
80896,1440.0
100352,1180.0
120832,780.0
140288,1260.0
160768,360.0
180224,520.0
200704,640.0
220160,580.0
240640,920.0
260096,1040.0
280576,1360.0
300032,1800.0
320512,620.0
340992,620.0
360448,1360.0
380928,1320.0
400384,720.0
420864,760.0
440320,960.0
460800,1300.0
480256,380.0
500736,640.0
520192,1380.0
540672,880.0
560128,320.0
580608,780.0
600064,1980.0
620544,480.0
640000,1360.0
660480,1140.0
680960,1560.0
700416,580.0
720896,1200.0
740352,1140.0
760832,580.0
780288,1540.0
800768,600.0
820224,1380.0
840704,800.0
860160,1080.0
880640,1560.0
900096,1640.0
920576,1260.0
940032,1600.0
960512,1000.0
980992,760.0
1000448,1000.0
1020928,920.0
1040384,960.0
1060864,960.0
1080320,1020.0
1100800,1320.0
1120256,2480.0
1140736,1480.0
1160192,700.0
1180672,1200.0
1200128,780.0
1220608,720.0
1240064,900.0
1260544,880.0
1280000,1240.0
1300480,1040.0
1320960,2320.0
1340416,1620.0
1360896,2080.0
1380352,3020.0
1400832,1800.0
1420288,1180.0
1440768,960.0
1460224,660.0
1480704,2860.0
1500160,2680.0
1520640,1300.0
1540096,900.0
1560576,1260.0
1580032,1720.0
1600512,1800.0
1620992,1920.0
1640448,1220.0
1660928,1020.0
1680384,1640.0
1700864,1680.0
1720320,1660.0
1740800,2120.0
1760256,1980.0
1780736,1520.0
1800192,1360.0
1820672,2300.0
1840128,1060.0
1860608,1420.0
1880064,2220.0
1900544,1680.0
1920000,2360.0
1940480,1880.0
1960960,1080.0
1980416,1040.0
2000896,1320.0
2020352,1260.0
2040832,1540.0
2060288,920.0
2080768,1600.0
2100224,1980.0
2120704,1260.0
2140160,1560.0
2160640,1540.0
2180096,1400.0
2200576,1760.0
2220032,1620.0
2240512,1820.0
2260992,1540.0
2280448,1660.0
2300928,1620.0
2320384,1560.0
2340864,1360.0
2360320,1620.0
2380800,2860.0
2400256,1460.0
2420736,1680.0
2440192,1100.0
2460672,3400.0
2480128,2020.0
2500608,1700.0
2520064,1920.0
2540544,1540.0
2560000,1700.0
2580480,1540.0
2600960,3940.0
2620416,1440.0
2640896,1560.0
2660352,4980.0
2680832,2020.0
2700288,3420.0
2720768,1700.0
2740224,1300.0
2760704,1520.0
2780160,2240.0
2800640,1620.0
2820096,3060.0
2840576,1980.0
2860032,2100.0
2880512,1540.0
2900992,1160.0
2920448,1380.0
2940928,1680.0
2960384,1820.0
2980864,1040.0
3000320,2040.0
3020800,1800.0
3040256,1760.0
3060736,1740.0
3080192,1860.0
3100672,1300.0
3120128,3280.0
3140608,1740.0
3160064,1500.0
3180544,2020.0
3200000,1300.0
3220480,1860.0
3240960,1840.0
3260416,1500.0
3280896,1760.0
3300352,1400.0
3320832,3300.0
3340288,1680.0
3360768,2200.0
3380224,3120.0
3400704,1820.0
3420160,1300.0
3440640,1780.0
3460096,1840.0
3480576,2060.0
3500032,2340.0
3520512,2660.0
3540992,1580.0
3560448,2080.0
3580928,2840.0
3600384,4040.0
3620864,2300.0
3640320,1680.0
3660800,3020.0
3680256,1960.0
3700736,2200.0
3720192,2880.0
3740672,1720.0
3760128,1520.0
3780608,2560.0
3800064,2200.0
3820544,2460.0
3840000,1720.0
3860480,2200.0
3880960,3100.0
3900416,2740.0
3920896,1760.0
3940352,3000.0
3960832,2900.0
3980288,1880.0
4000768,4000.0
4020224,3700.0
4040704,4100.0
4060160,3000.0
4080640,1880.0
4100096,4500.0
4120576,2700.0
4140032,1620.0
4160512,3340.0
4180992,4420.0
4200448,2780.0
4220928,3160.0
4240384,3360.0
4260864,5280.0
4280320,2340.0
4300800,1620.0
4320256,4680.0
4340736,3440.0
4360192,4000.0
4380672,3880.0
4400128,2220.0
4420608,3860.0
4440064,5060.0
4460544,3920.0
4480000,3400.0
4500480,4040.0
4520960,3700.0
4540416,2960.0
4560896,2040.0
4580352,4240.0
4600832,2940.0
4620288,3080.0
4640768,1380.0
4660224,4100.0
4680704,2280.0
4700160,1680.0
4720640,7400.0
4740096,3140.0
4760576,4020.0
4780032,2980.0
4800512,4060.0
4820992,2300.0
4840448,3140.0
4860928,3100.0
4880384,3940.0
4900864,2080.0
4920320,3260.0
4940800,3260.0
4960256,3880.0
4980736,6080.0
5000192,2160.0
