Step,Value
20480,0.0
40960,0.0
60416,0.0
80896,0.0
100352,0.0
120832,380.0
140288,460.0
160768,600.0
180224,440.0
200704,220.0
220160,560.0
240640,540.0
260096,560.0
280576,420.0
300032,460.0
320512,240.0
340992,600.0
360448,320.0
380928,600.0
400384,560.0
420864,280.0
440320,320.0
460800,0.0
480256,0.0
500736,0.0
520192,0.0
540672,80.0
560128,80.0
580608,180.0
600064,360.0
620544,1380.0
640000,160.0
660480,340.0
680960,360.0
700416,0.0
720896,40.0
740352,0.0
760832,40.0
780288,40.0
800768,40.0
820224,700.0
840704,300.0
860160,480.0
880640,160.0
900096,560.0
920576,240.0
940032,200.0
960512,200.0
980992,80.0
1000448,240.0
1020928,360.0
1040384,280.0
1060864,1060.0
1080320,680.0
1100800,520.0
1120256,200.0
1140736,900.0
1160192,60.0
1180672,800.0
1200128,1000.0
1220608,780.0
1240064,880.0
1260544,320.0
1280000,1620.0
1300480,1420.0
1320960,860.0
1340416,400.0
1360896,1920.0
1380352,3740.0
1400832,2360.0
1420288,2100.0
1440768,2720.0
1460224,3040.0
1480704,1840.0
1500160,2260.0
1520640,1260.0
1540096,3440.0
1560576,1020.0
1580032,2600.0
1600512,1820.0
1620992,2540.0
1640448,3680.0
1660928,2120.0
1680384,1700.0
1700864,1600.0
1720320,920.0
1740800,900.0
1760256,2280.0
1780736,2840.0
1800192,1680.0
1820672,2200.0
1840128,3180.0
1860608,1140.0
1880064,2920.0
1900544,3120.0
1920000,3180.0
1940480,1380.0
1960960,2940.0
1980416,2160.0
2000896,1800.0
2020352,3240.0
2040832,2540.0
2060288,1220.0
2080768,1760.0
2100224,1560.0
2120704,2960.0
2140160,4060.0
2160640,2420.0
2180096,3320.0
2200576,2140.0
2220032,2760.0
2240512,3940.0
2260992,3580.0
2280448,3180.0
2300928,1820.0
2320384,3020.0
2340864,2540.0
2360320,2520.0
2380800,3820.0
2400256,3680.0
2420736,3180.0
2440192,3480.0
2460672,2980.0
2480128,3980.0
2500608,4160.0
2520064,3260.0
2540544,4020.0
2560000,3220.0
2580480,3200.0
2600960,4500.0
2620416,2300.0
2640896,3220.0
2660352,4380.0
2680832,4680.0
2700288,3660.0
2720768,3520.0
2740224,3700.0
2760704,4060.0
2780160,2760.0
2800640,2560.0
2820096,3560.0
2840576,3340.0
2860032,3340.0
2880512,3520.0
2900992,4600.0
2920448,4320.0
2940928,4240.0
2960384,5120.0
2980864,3760.0
3000320,4060.0
3020800,3900.0
3040256,4400.0
3060736,3920.0
3080192,4060.0
3100672,4920.0
3120128,4380.0
3140608,4820.0
3160064,5000.0
3180544,4500.0
3200000,6500.0
3220480,5940.0
3240960,3620.0
3260416,3380.0
3280896,3960.0
3300352,5660.0
3320832,4620.0
3340288,5300.0
3360768,3980.0
3380224,4280.0
3400704,5560.0
3420160,6880.0
3440640,4960.0
3460096,6620.0
3480576,5640.0
3500032,4880.0
3520512,4260.0
3540992,4480.0
3560448,4780.0
3580928,5100.0
3600384,5880.0
3620864,4240.0
3640320,5820.0
3660800,5260.0
3680256,4840.0
3700736,4880.0
3720192,5020.0
3740672,5960.0
3760128,4060.0
3780608,5760.0
3800064,4620.0
3820544,6120.0
3840000,5360.0
3860480,5240.0
3880960,5480.0
3900416,7060.0
3920896,7200.0
3940352,6040.0
3960832,5260.0
3980288,5360.0
4000768,6480.0
4020224,5560.0
4040704,6360.0
4060160,5400.0
4080640,5400.0
4100096,6580.0
4120576,6500.0
4140032,6660.0
4160512,5840.0
4180992,7140.0
4200448,5760.0
4220928,5060.0
4240384,5880.0
4260864,5720.0
4280320,6840.0
4300800,5900.0
4320256,6860.0
4340736,6120.0
4360192,6260.0
4380672,6100.0
4400128,6060.0
4420608,6400.0
4440064,6320.0
4460544,5280.0
4480000,5540.0
4500480,5600.0
4520960,5400.0
4540416,4140.0
4560896,5180.0
4580352,6480.0
4600832,5300.0
4620288,7580.0
4640768,4400.0
4660224,6240.0
4680704,6240.0
4700160,7240.0
4720640,6400.0
4740096,5940.0
4760576,6020.0
4780032,6020.0
4800512,5820.0
4820992,6340.0
4840448,5140.0
4860928,7400.0
4880384,5360.0
4900864,6360.0
4920320,6080.0
4940800,4640.0
4960256,5940.0
4980736,8400.0
5000192,6300.0
